Term,Context,Occurrences
eragile,I O M E D I KO - KI RU R G I KO A K II F I S I O T ER API A G R A D UA M ED I K U N T Z A E TA ER I Z AI N T Z A FAK U LTAT E A Rakel.Berriozabalgoitia@ehu.eus ?INFEKZIOA DEFINIZIOA Infekzioa kanpoko **eragile** kutsakor batek organismo ostalari batean sortutako kolonizazioa da. Eragile kutsakorrak: � Bakterioak � Birusak � Parasitoak � Onddoak ?NERBIO SISTEMAREN INFEKZIOAK 1. MENINGITISA 2. SIFILIS. TABES D,426
eragile,I K U N T Z A E TA ER I Z AI N T Z A FAK U LTAT E A Rakel.Berriozabalgoitia@ehu.eus ?INFEKZIOA DEFINIZIOA Infekzioa kanpoko eragile kutsakor batek organismo ostalari batean sortutako kolonizazioa da. **Eragile** kutsakorrak: � Bakterioak � Birusak � Parasitoak � Onddoak ?NERBIO SISTEMAREN INFEKZIOAK 1. MENINGITISA 2. SIFILIS. TABES DORTSALA 3. GARUNEKO ABZESUA 4. ENZEFALITISA 5. MIELITISA ?NERBIO SISTEMAREN,426
eragile,tzionala. 5. Aparatuak ?MALOKLUSIOA ETA OHITURAK ? MALOKLUSIOAREN ETIOLOGIA ? Hazkuntza eta garapenean eragina duten faktoreen arteko interakzio konplexua. ? EZ faktore etiologiko espezifiko bakarra! **Eragile** espezifikoak. Inguruneko eragileak. Funtzioa. ? Elkarreragina: ?MALOKLUSIOA ETA OHITURAK ? ERAGILE ESPEZIFIKOAK ENBRIOI edo HORTZ GARAPENAREN ASALDURAK ?MALOKLUSIOA ETA OHITURAK ? ERAGILE ESPEZIFIKOA,426
eragile,ean eragina duten faktoreen arteko interakzio konplexua. ? EZ faktore etiologiko espezifiko bakarra! Eragile espezifikoak. Inguruneko eragileak. Funtzioa. ? Elkarreragina: ?MALOKLUSIOA ETA OHITURAK ? **ERAGILE** ESPEZIFIKOAK ENBRIOI edo HORTZ GARAPENAREN ASALDURAK ?MALOKLUSIOA ETA OHITURAK ? ERAGILE ESPEZIFIKOAK: HERENTZIA III KLASEA ?MALOKLUSIOA ETA OHITURAK ? FUNTZIOA ? Morfologia anatomikoa eta funtzioare,426
eragile,"ko bakarra! Eragile espezifikoak. Inguruneko eragileak. Funtzioa. ? Elkarreragina: ?MALOKLUSIOA ETA OHITURAK ? ERAGILE ESPEZIFIKOAK ENBRIOI edo HORTZ GARAPENAREN ASALDURAK ?MALOKLUSIOA ETA OHITURAK ? **ERAGILE** ESPEZIFIKOAK: HERENTZIA III KLASEA ?MALOKLUSIOA ETA OHITURAK ? FUNTZIOA ? Morfologia anatomikoa eta funtzioaren artean, harremana. BELARJALEA HARAGIJALEA ?MALOKLUSIOA ETA OHITURAK ? Hortz arkuak inda",426
eragile,SKETA ? Indar arin eta jarraiak >> jarraiak ez diren presio handiak � Ezpain/masail/mihia atseden egoeran ? eragin handia. � Indar etenduek apenas eraginik. ? Aurpegiko hezurrengan ez hain nabaria: ? **Eragile** genetikoek garrantzi handia. ? Aurpegi biotipoak maloklusioa leundu/areagotu. ?MALOKLUSIOA ETA OHITURAK TOMESen korridorea: � M. orbikular eta bukzinadorea (indar zentripetoak) � Mihia (indar zentrif,426
eragile,AIZE HOZKADA HOZKADA NORMALA ATZEKO HOZKADA GURUTZATUA � Kuspide-kuspide. � Kuspide-hobi. ? Alde bietan/bakarrean. ? Hortz bakarrekoa/ugarikoa. ?1. ATZEKO HOZKADA GURUTZATUA (CROSSBITE) ? Etiologia � **Eragile** genetikoak. ? Goiko maxilar hipoplasikoa. ? Beheko maxilar hiperplasikoa. ? Biak. MAXILAR HIPOPLASIKOA BARAILEZUR HIPERPLASIKOA 1. ?ATZEKO HOZKADA GURUTZATUA (CROSSBITE) ? Etiologia 1. Hartutako erag,426
eragile,"a), argaltzeko joera eta abar. II motako DM edo intsulinaren menpekoa ez den DM. Helduaroan nahiz zahartzaroan agertzen den diabetesa da. Diabetes mota guztietatik %80-85 mota horretakoak dira. Ez da **eragile** zehatza ezagutzen. Gehienetan (%60-90), pertsonak loditasuna izan ohi du, eta horrek, intsulinaren eginkizuna zaildu egiten du. Areko ß zelulen funtzioa gutxitua egon ohi da, baina intsulina sortzeko",426
eragile,"izioa Gaitasun eza Giltzurrunetako gutxiegitasun akutuaEtiologia Fisiopatologia Atalak edo faseak Erizaintza-balioespena Erizaintza-diagnostikoak + Arazo interdep. Erizaintza-jarduera Etiologia:**Eragile** asko. Asaldura askoren konplikazioa1. Giltzurrun aurreko eragileak: - hipobolemia: hemorragiagatik, aszitisagatik... - bihotz-gutxiegitasuna: miokardioko infartoagatik, arritmiengatik... - giltzurrun",426
eragile,"riko deformazioaDefinizioa: muskuluen, tendoien, ligamentuen nahiz larruazalaren zurruntasuna. Mugimendu normala eragozten du Ehun konektibo elastikoa ehun ez elastikoz ordezkatua denean gertatzen da **Eragile** ohikoenak:Ibilgetzea edo immobilizazioa Erredurak Orbaintze-prozesuak Gihar-distrofiak Beste prozesuak, adibidez, Dupuytrenen kontraktura Oin ekinoa Erizaintza-jardueraAriketak egitea, fisioterapia F",426
eragile,"orako emakumeen erdiek osteoporosiaren ondorioz aldakako nahiz eskumuturreko nahiz bizkar-ornotako fraktura pairatuko duela estimatzen da Emakumeetan gizonenkoetan baino maiztasun handiagoa Eragileak **Eragile** nagusiena: hormona gutxiegitasuna: - emakumeetan, menopausian estrogenoen gutxiagotzen bat gertatzen da - gizonezkoetan, testosteronaren gutxiagotze bat gertatzen daZahartzaroa Elikadura eskasa: kalt",426
eragile,bete baino gehiago irauten duen lunbagoa kronikoa kontsideratzen da Min ziatikoa: disko batek bizkar-muineko nerbio bat mintzen duenean: mina izterraldera zabaltzen da Eragileak Gutxitan aurkitzen da **eragile** zehatza. Arrisku-faktoreak:Forma fisiko eskasa Gune lunbarra kargatzen duten lanak Eserita ordu asko ematea Zutik ordu asko ematea Tentsio emozionala Ibilgetzeak Eragileek gune lunbarreko estrukturen,426
eragile,", kirurgia beharrezkoa da. Hainbat teknika daude: Ligadura egitea: gomazko erraztun batez inguratu hemorroidea, desegin dadin. Hemorroidektomia. Laser bidez koagulatu. 9. Koloneko minbizia Eragileak: **eragile** zehatzak ez dira ezagutzen. Ondorioz, minbizi honen arrisku-faktoreak: zeinu eta sintoma goiztiarrakOdola galtzea gorotzekin zeinu eta sintoma berantiarrakGorotzak kanporatzeko ohituretan aldaketak:",426
eragile,"txarra: bitamina liposolugarrien zurgapen txarra 3. Areako minbiziaDefinizioa:Areako zenbait zelulek ugalketa erregulatzeko gaitasuna galtzen dute, eta tumore gaiztoa eratzen dute. Eragileak: Ez dago **eragile** zehatzik. Minbiziaren arrisku-faktoreak: kasu honetan: -erretzea -loditasuna -familian aurrekariak izatea Zeinu eta sintomak: hasieran oharkabean; gerora: -sabelaldeko mina, jaterakoan okerragotzen d",426
eragile,"nikoaren kontzeptua eta helburuak. Farmakoterapia arrazionala. Efikazia klinikoaren, efizientziaren, efektibitatearen eta seguritate/arriskuaren kontzeptuak. Onura/kalte erlazioa. Medikamentua osasun-**eragile** gisa, produktu industrial gisa eta merkataritzako eta kontsumo-produktu gisa (automedikazioa). 2. Ikasgaia. Farmakozinetika eta farmakodinamia klinikoak. Parametro farmakozinetiko nagusiak: plasma-ga",426
eragile,"k agertzeko arriskua gutxitzea Infekzioak tratatzeko irizpideak: Faktore klinikoak: diagnostiko kliniko zuzena, infekzioaren kokapena aztertu, gaixoaren ezaugarriak aztertu. Faktore mikrobiologikoak: **eragile** etiologikoa identifikatu, erresistentziak aztertu, mikroorganismoen erresistentzia-mekanismoak ezagutu. Faktore farmakologikoak: farmakoen ezaugarriak eta mekanismoak ezagutu (denbora, kontzentrazioa",426
eragile,"u sintomatikoak huts egin baldin badu. Aukerako tratamenduak: amoxizilina + klabulanikoa. Iraupena: 5-10 egun. Tratamendu sintomatikoa: AIEEak. Gernu-infekzioak Beheko bideetako infekzioa (zistitisa) **Eragile** etiologikoak Enterobakteriak izaten dira. Normalki sintomak dira disuria, poliakiuria eta txiza egitean mina. Tratamenduaren helburuak izango dira sintomak arintzea eta berragerpenak saihestea, eta a",426
