Term,Translation,Context
balioztapen,validación,Medical Sciences > Pharmaceutical Technology
balioztapen,evaluación; valoración,Technological Sciences > Environmental technology and engineering
beira,vidrio,Medical Sciences > Pharmaceutical Technology
beira,cristal,Technological Sciences > Environmental technology and engineering
berogailu,estufa,Medical Sciences > Pharmaceutical Technology
berogailu,calentador,Technological Sciences > Environmental technology and engineering
betetze,llenado,Medical Sciences > Pharmaceutical Technology
betetze,relleno,Technological Sciences > Environmental technology and engineering
elikagai,alimento,Medical Sciences > Pharmaceutical Technology
elikagai,nutriente,Technological Sciences > Environmental technology and engineering
eragile,inductor,Medical Sciences > Pharmaceutical Technology
eragile,actuador,Technological Sciences > Environmental technology and engineering
eragin,efecto,Medical Sciences > Pharmaceutical Technology
eragin,impacto,Technological Sciences > Environmental technology and engineering
estalki,recubrimiento,Medical Sciences > Pharmaceutical Technology
estalki,cubierta,Technological Sciences > Environmental technology and engineering
ezaugarri organoleptiko,características organolepticas,Medical Sciences > Pharmaceutical Technology
ezaugarri organoleptiko,característica organoléptica; propiedad organoléptica,Technological Sciences > Environmental technology and engineering
garbiketa,limpieza,Medical Sciences > Pharmaceutical Technology
garbiketa,lavado,Technological Sciences > Environmental technology and engineering
hauskortasun,friabilidad,Medical Sciences > Pharmaceutical Technology
hauskortasun,fragilidad,Technological Sciences > Environmental technology and engineering
indargetzaile,tampón,Medical Sciences > Pharmaceutical Technology
indargetzaile,amortiguador; debilitante,Technological Sciences > Environmental technology and engineering
ioi,Ion,Medical Sciences > Pharmaceutical Technology
ioi,ión,Technological Sciences > Environmental technology and engineering
izozte,congelación,Medical Sciences > Pharmaceutical Technology
izozte,helada,Technological Sciences > Environmental technology and engineering
jalkin,precipitado,Medical Sciences > Pharmaceutical Technology
jalkin,sedimento,Technological Sciences > Environmental technology and engineering
oxidazio-prozesu,proceso oxidativo,Medical Sciences > Pharmaceutical Technology
oxidazio-prozesu,proceso de oxidación,Technological Sciences > Environmental technology and engineering
pikor,granulo,Medical Sciences > Pharmaceutical Technology
pikor,gránulo; grano,Technological Sciences > Environmental technology and engineering
talka,percusión,Medical Sciences > Pharmaceutical Technology
talka,colisión,Technological Sciences > Environmental technology and engineering
trinkotasun,consistencia,Medical Sciences > Pharmaceutical Technology
trinkotasun,compactación,Technological Sciences > Environmental technology and engineering
urradura,rozadura,Medical Sciences > Pharmaceutical Technology
urradura,abrasión,Technological Sciences > Environmental technology and engineering
xafla,cuchilla,Medical Sciences > Pharmaceutical Technology
xafla,lámina; plancha,Technological Sciences > Environmental technology and engineering
