Term,Context,Occurrences
temperature,"ollowed by a relocation to another sub-domain. Each relocation is followed by more fluctuations within the new closed volume. This pattern describes a fluid at thermal equilibrium, defined by a given **temperature**. Within such a fluid, there exists no preferential direction of flow (as in transport phenomena). More specifically, the fluid's overall linear and angular momenta remain null over time. The kinetic",338
temperature,"s, and how many atoms there are in a mole, or the molecular weight in grams, of a gas. In accordance to Avogadro's law, this volume is the same for all ideal gases, which is 22.414 liters at standard **temperature** and pressure. The number of atoms contained in this volume is referred to as the Avogadro number, and the determination of this number is tantamount to the knowledge of the mass of an atom, since the",338
temperature,"ference in density of particles separated by a height difference, of formula_25, is the Boltzmann constant (the ratio of the universal gas constant, , to the Avogadro constant, ), and is the absolute **temperature**. Dynamic equilibrium is established because the more that particles are pulled down by gravity, the greater the tendency for the particles to migrate to regions of lower concentration. The flux is gi",338
temperature,"zmann constant as , and the fourth equality follows from Stokes's formula for the mobility. By measuring the mean squared displacement over a time interval along with the universal gas constant , the **temperature** , the viscosity , and the particle radius , the Avogadro constant can be determined. The type of dynamical equilibrium proposed by Einstein was not new. It had been pointed out previously by J. J. Th",338
temperature,"e energy of the system. A colloid is stable if the interaction energy due to attractive forces between the colloidal particles is less than kT, where k is the Boltzmann constant and T is the absolute **temperature**. If this is the case, then the colloidal particles will repel or only weakly attract each other, and the substance will remain a suspension. If the interaction energy is greater than kT, the attracti",338
temperature,"often required for the formulator to use further accelerating methods to reach reasonable development time for new product design. Thermal methods are the most commonly used and consist of increasing **temperature** to accelerate destabilisation (below critical temperatures of phase inversion or chemical degradation). Temperature affects not only viscosity, but also interfacial tension in the case of non-ionic s",338
temperature,"roduct design. Thermal methods are the most commonly used and consist of increasing temperature to accelerate destabilisation (below critical temperatures of phase inversion or chemical degradation). **Temperature** affects not only viscosity, but also interfacial tension in the case of non-ionic surfactants or more generally interactions forces inside the system. Storing a dispersion at high temperatures enable",338
temperature,the formulator must accelerate this process in order to test products in a reasonable time during product design. Thermal methods are the most commonly used – these consist of increasing the emulsion **temperature** to accelerate destabilization (if below critical temperatures for phase inversion or chemical degradation). Temperature affects not only the viscosity but also the interfacial tension in the case of,338
temperature,"l methods are the most commonly used – these consist of increasing the emulsion temperature to accelerate destabilization (if below critical temperatures for phase inversion or chemical degradation). **Temperature** affects not only the viscosity but also the interfacial tension in the case of non-ionic surfactants or, on a broader scope, interactions between droplets within the system. Storing an emulsion at hi",338
temperature,"s"" means that the components of the mixture form a single phase. ""Heterogeneous"" means that the components of the mixture are of different phase. The properties of the mixture (such as concentration, **temperature**, and density) can be uniformly distributed through the volume but only in absence of diffusion phenomena or after their completion. Usually, the substance present in the greatest amount is considered",338
