Term,Translation,Context
ácido clorhídrico,chlorhydric acid,Medical Sciences > Pharmaceutical Technology
ácido clorhídrico,hydrochloric acid,Technological Sciences > Environmental technology and engineering
brillo,shine,Medical Sciences > Pharmaceutical Technology
brillo,brightness,Technological Sciences > Environmental technology and engineering
cierre,closure; lock,Medical Sciences > Pharmaceutical Technology
cierre,close down; closing,Technological Sciences > Environmental technology and engineering
cloruro,klorure,Medical Sciences > Pharmaceutical Technology
cloruro,chloride,Technological Sciences > Environmental technology and engineering
colorante,colouring,Medical Sciences > Pharmaceutical Technology
colorante,colorant; colourant; dye,Technological Sciences > Environmental technology and engineering
componente,ingredient,Medical Sciences > Pharmaceutical Technology
componente,component,Technological Sciences > Environmental technology and engineering
determinación,assessment,Medical Sciences > Pharmaceutical Technology
determinación,determination,Technological Sciences > Environmental technology and engineering
dosificación,dosage,Medical Sciences > Pharmaceutical Technology
dosificación,dosing,Technological Sciences > Environmental technology and engineering
eficacia,efficiency,Medical Sciences > Pharmaceutical Technology
eficacia,efficacy,Technological Sciences > Environmental technology and engineering
enlace,link,Medical Sciences > Pharmaceutical Technology
enlace,bond,Technological Sciences > Environmental technology and engineering
ensayo,assay,Medical Sciences > Pharmaceutical Technology
ensayo,experiment; test; trial,Technological Sciences > Environmental technology and engineering
flujo,flux,Medical Sciences > Pharmaceutical Technology
flujo,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
indicador biológico,biological marker,Medical Sciences > Pharmaceutical Technology
indicador biológico,bioindicator; biological indicator,Technological Sciences > Environmental technology and engineering
inspección,inspection,Medical Sciences > Pharmaceutical Technology
inspección,audit,Technological Sciences > Environmental technology and engineering
material filtrante,filtration material,Medical Sciences > Pharmaceutical Technology
material filtrante,filter material,Technological Sciences > Environmental technology and engineering
medio,media,Medical Sciences > Pharmaceutical Technology
medio,environment; medium,Technological Sciences > Environmental technology and engineering
normativa,regulations,Medical Sciences > Pharmaceutical Technology
normativa,legislation,Technological Sciences > Environmental technology and engineering
núcleo,core,Medical Sciences > Pharmaceutical Technology
núcleo,nucleus,Technological Sciences > Environmental technology and engineering
polvo,powder,Medical Sciences > Pharmaceutical Technology
polvo,dust,Technological Sciences > Environmental technology and engineering
producción,manufacturing,Medical Sciences > Pharmaceutical Technology
producción,output; production,Technological Sciences > Environmental technology and engineering
productor,manufacturer,Medical Sciences > Pharmaceutical Technology
productor,producer,Technological Sciences > Environmental technology and engineering
rayo,beam,Medical Sciences > Pharmaceutical Technology
rayo,ray,Technological Sciences > Environmental technology and engineering
ruptura,breaking,Medical Sciences > Pharmaceutical Technology
ruptura,break; rupture,Technological Sciences > Environmental technology and engineering
sonda,probe,Medical Sciences > Pharmaceutical Technology
sonda,sound,Technological Sciences > Environmental technology and engineering
substrato,substract,Medical Sciences > Pharmaceutical Technology
substrato,substrate; substratum,Technological Sciences > Environmental technology and engineering
temperatura ambiente,room temperature,Medical Sciences > Pharmaceutical Technology
temperatura ambiente,ambient temperature,Technological Sciences > Environmental technology and engineering
unidad de volumen,unit of volume,Medical Sciences > Pharmaceutical Technology
unidad de volumen,volume unit,Technological Sciences > Environmental technology and engineering
valoración,assay,Medical Sciences > Pharmaceutical Technology
valoración,titration; volumetric analysis; assessment; evaluation; valuation,Technological Sciences > Environmental technology and engineering
vapor,steam,Medical Sciences > Pharmaceutical Technology
vapor,vapor; vapour,Technological Sciences > Environmental technology and engineering
