Term,Context,Occurrences
conexión en serie,e en uso están diseñados según los principios descubiertos por estos tres ingenieros. Sus patentes incluían otra innovación relacionada importante: el uso de conexiones en paralelo (en oposición a la **conexión en serie**) para la distribución de energía. Ottó Bláthy también inventó el primer vatihorímetro de CA. La fiabilidad de este tipo de tecnología de CA recibió un gran impulso después de que Ganz Works electrifi,2
conexión en serie,"ctor de disipación "" X"" - reactancia capacitiva Por otro lado, la impedancia del condensador es igual a: Un condensador ideal tiene una reactancia X, que es un componente de la impedancia Z. Para una **conexión en serie** de resistencia y condensador el módulo de ""Z "" es: La reactancia Xse calcula mediante la fórmula: El módulo | ""Z ""| se puede determinar a partir de la ley de Ohm el suministro de tensión alterna sinu",2
masa,"e manera más científica en 1921 por el matemático alemán Hermann Weyl, sin embargo, no usó el término ""agujero de gusano"" (habló de ""tubos unidimensionales""), cuando este relacionó sus análisis de la **masa** en términos de la energía de un campo electromagnético con la teoría de la relatividad de Albert Einstein publicada en 1916. En la actualidad, la teoría de cuerdas admite la existencia de más de tres",1692
masa,"agujeros blancos. Los agujeros de gusano de Schwarzschild inspiraron a Kip Thorne a imaginar el tránsito por ellos mediante la sujeción de su ""garganta ""y su apertura por medio de materia exótica (de **masa** y energía negativas). Los agujeros de gusano practicables de Lorentz, también llamados atravesables, permitirían viajar no solo de una parte del universo a otra, sino incluso de un universo a otro. L",1692
masa,"uesta en el modelo estándar de física de partículas. Recibe su nombre en honor a Peter Higgs, quien, junto con otros, propuso en 1964 el hoy llamado ""mecanismo de Higgs"" para explicar el origen de la **masa** de las partículas elementales. El bosón de Higgs constituye el cuanto del campo de Higgs (la más pequeña excitación posible de este campo). Según el modelo propuesto, no posee espín, carga eléctrica",1692
masa,"s. La existencia del bosón de Higgs y del campo de Higgs asociado serían el más simple de varios métodos del modelo estándar de física de partículas que intentan explicar la razón de la existencia de **masa** en las partículas elementales. Esta teoría sugiere que un campo impregna todo el espacio y que las partículas elementales que interactúan con él adquieren masa, mientras que las que no interactúan co",1692
masa,"n explicar la razón de la existencia de masa en las partículas elementales. Esta teoría sugiere que un campo impregna todo el espacio y que las partículas elementales que interactúan con él adquieren **masa**, mientras que las que no interactúan con él no la tienen. En particular, dicho mecanismo justifica la enorme masa de los bosones vectoriales W y Z, como también la ausencia de masa de los fotones. Ta",1692
masa,"gna todo el espacio y que las partículas elementales que interactúan con él adquieren masa, mientras que las que no interactúan con él no la tienen. En particular, dicho mecanismo justifica la enorme **masa** de los bosones vectoriales W y Z, como también la ausencia de masa de los fotones. Tanto las partículas W y Z como el fotón son bosones sin masa propia. Los primeros muestran una enorme masa porque i",1692
masa,"n con él adquieren masa, mientras que las que no interactúan con él no la tienen. En particular, dicho mecanismo justifica la enorme masa de los bosones vectoriales W y Z, como también la ausencia de **masa** de los fotones. Tanto las partículas W y Z como el fotón son bosones sin masa propia. Los primeros muestran una enorme masa porque interactúan fuertemente con el campo de Higgs, y el fotón no muestra",1692
masa,"en. En particular, dicho mecanismo justifica la enorme masa de los bosones vectoriales W y Z, como también la ausencia de masa de los fotones. Tanto las partículas W y Z como el fotón son bosones sin **masa** propia. Los primeros muestran una enorme masa porque interactúan fuertemente con el campo de Higgs, y el fotón no muestra ninguna masa porque no interactúa en absoluto con el campo de Higgs. El bosón",1692
