Term,Context,Occurrences
proceso,"tudio estadístico de la población humana. Población, en un término más simple, es el número de personas en una ciudad o pueblo, región, país o mundo; la población generalmente está determinada por un **proceso** llamado censo, es decir, un proceso de recopilación, análisis, compilación y publicación de datos sobre la población y otras variables relacionadas como localidad de residencia, vivienda, ingreso, ni",1149
proceso,"mana. Población, en un término más simple, es el número de personas en una ciudad o pueblo, región, país o mundo; la población generalmente está determinada por un proceso llamado censo, es decir, un **proceso** de recopilación, análisis, compilación y publicación de datos sobre la población y otras variables relacionadas como localidad de residencia, vivienda, ingreso, nivel educativo y otras. En geografía",1149
proceso,"cer una enfermedad determinada."""" La percepción que tiene una persona del riesgo y su reacción a este dependen de su experiencia y de la información y los valores recibidos su entorno. Se trata de un **proceso** de aprendizaje que comienza en la infancia y se actualiza constantemente. Algunos riesgos escapan al control individual, pero otros dependen de cada persona, que puede aumentarlos o reducirlos a volu",1149
proceso,"ctan la capa de ozono se han eliminado progresivamente. Ahora se espera la recuperación completa de la capa ozono en las próximas cuatro décadas. Deforestación La deforestación o desforestación es un **proceso** provocado por la acción de los humanos, en el que se destruye o agota la superficie forestal, generalmente con el objetivo de destinar el suelo a otra actividad. En la actualidad, está directamente r",1149
proceso,"e la calidad de los bosques (por ejemplo, la pérdida de biodiversidad en el bosque, la densidad y la estructura, la biomasa, entre otros). El investigador británico Norman Myers define a este tipo de **proceso** como ""una degradación tan severa que el bosque residual no puede calificarse como bosque en ningún sentido práctico de la palabra"". Esta definición es mayormente utilizada por conservacionistas, biol",1149
proceso,"En la lengua castellana se utiliza el término ""desmonte"" para referirse a la deforestación, especialmente en ciertas áreas geográficas como Argentina. El término desmonte, sin embargo, se refiere al **proceso** de ""cortar en un monte o en parte de él los árboles o matas"", probablemente en alusión a la vegetación existente en los ecosistemas de monte. Aunque se utiliza de manera intercambiable con ""deforesta",1149
proceso,", quedándose con el carbono, que incorporan a su estructura (raíces, tallos, hojas, flores) en forma de moléculas orgánicas y liberando parte del oxígeno. Aunque también liberan algo de CO durante su **proceso** normal de respiración. Solo cuando un árbol o un bosque crecen pueden extraer carbono de la atmósfera, almacenándolo en sus tejidos. Tanto la putrefacción de la madera como su quema devuelven a la at",1149
proceso,"en plantaciones de monocultivo, pero que las especies potencialmente amenazadas son pocas, y que los árboles y el resto de la flora permanecen estables y muy extendidos. La comprensión científica del **proceso** de extinción es insuficiente para hacer predicciones acertadas sobre el impacto de la deforestación en la biodiversidad. La mayoría de las predicciones de pérdida de biodiversidad ocasionada por oper",1149
proceso,"ientíficos (incluyendo, por ejemplo, Paul y Anne Ehrlich y Gretchen Daily) propusieron que la humanidad debería trabajar para estabilizar sus números absolutos, como punto de partida para comenzar el **proceso** de reducción de los números totales. Sugirieron las siguientes soluciones y políticas: seguir una norma sociocultural y conductual de tamaño pequeño en todo el mundo (especialmente el límite de un ni",1149
proceso,"ón que se halla en la tercera edad. Según el modelo de la transición demográfica los cambios en una población tienen tres componentes: nacimientos, muertes y migración. La transición demográfica como **proceso**, disminuye el efecto de cuatro grandes riesgos sociodemográficos: la alta mortalidad, la elevada fecundidad, el acelerado crecimiento demográfico y la estructura etaria joven. Con mayor o menor inten",1149
