term,pair_translation,response_0shot,response_0shotplus,response_1shot,response_fewshot
balioztapen,"('validación', 'evaluación; valoración')","1. Para una **evaluación** precisa del flujo sanguíneo que llega a las extremidades, la sonda de ultrasonido Doppler es muy útil.

2. Incineración o gasificación.  Valorización energética.  Vertido directo en vertedero.
","1. Para una **validación** precisa del flujo sanguíneo que llega a las extremidades, la sonda de ultrasonido Doppler es muy útil.

2. Incineración o gasificación. **Evaluación** energética. Vertido directo al  vertedero.
",⚠️ Prompt no construido (faltan ejemplos),⚠️ Prompt no construido (faltan ejemplos)
beira,"('cristal', 'estufa')","1. Dado el creciente uso de envases de un solo uso, la cantidad de residuos plásticos, de papel, vidrio y metal ha aumentado.


2. Horno de aire caliente (horno Pasteur o estufa Poupinel); instrumental quirúrgico, instrumental odontológico,...
","1. Dado el creciente uso de envases desechables, la cantidad de residuos de plástico, papel, **vidrio** y metal ha aumentado. (Contexto de tecnología ambiental)

2. Estufa de aire caliente (estufa de Pasteur o calentador de Poupinel); instrumental médico, instrumental odontológico,... (Contexto farmacéutico/médico)
",⚠️ Prompt no construido (faltan ejemplos),⚠️ Prompt no construido (faltan ejemplos)
betetze,"('llenado', 'relleno')","1. Clasificación. Incontinencia urinaria por rebosamiento. La presión de llenado de la vejiga > resistencia uretral. Al orinar,...

2. 2) SEPARACIÓN HÚMEDA la contaminación atmosférica > se convierte en un problema de contaminación del agua • TORRE DE LAVADO • TORRE DE RELLENO • LAVADOR VENTURI FÍSICOS absorción, adsorción...
","1. Clasificación. Incontinencia urinaria por rebosamiento. Presión de **llenado** vesical > resistencia uretral. Al orinar,...

2. 2) SEPARACIÓN HÚMEDA contaminación atmosférica > se convierte en un problema de contaminación del agua • TORRE DE LAVADO • TORRE DE **RELLENO** • LAVADOR VENTURI FÍSICOS absorción, adsorción...
","Aquí tienes la traducción de los contextos, teniendo en cuenta las especificaciones de ""betetze"" como ""llenado"" en el contexto farmacéutico y ""relleno"" en el contexto de ingeniería ambiental:

1. **Clasificación. Incontinencia urinaria por rebosamiento. Presión de llenado vesical > resistencia uretral. Al orinar,...**  En este contexto médico, ""betetze"" se refiere al proceso de llenado de la vejiga.

2. **2) SEPARACIÓN HÚMEDA contaminación atmosférica > se convierte en un problema de contaminación del agua • TORRE DE LAVADO • TORRE DE RELLENO • LAVADOR VENTURI FÍSICOS absorción, adsorción...**  Aquí, en un contexto de ingeniería ambiental, ""betetze"" se refiere al material de relleno dentro de una torre, utilizado para procesos de separación.  Se ha optado por ""relleno"" en lugar de ""llenado"" ya que describe el contenido sólido de la torre y no la acción de llenarla.
","Aquí tienes las traducciones, teniendo en cuenta el contexto proporcionado:

**Contexto Médico (betetze = llenado):**

1. **Original:** Sailkapena. Gainezka egiteagatik gernu-ihesa. Maskuriaren betetze-presioa > uretraren erresistentzia. Txiza egiterakoan, ...
**Traducción:** Clasificación. Incontinencia urinaria por rebosamiento. Presión de llenado vesical > resistencia uretral. Al orinar,...

2. (Esta frase pertenece al contexto tecnológico, se traduce más abajo)


**Contexto Tecnológico (betetze = relleno):**

1. **Original:** 2) BEREIZKETA HEZEA kutsadura atmosferikoa> ur kutsadura arazoa bihurtu • GARBIKETA DORREA • BETETZE DORREA • VENTURI GARBIGAILUA FISIKOAK absortzioa, adsortzioa...
**Traducción:** 2) SEPARACIÓN HÚMEDA contaminación atmosférica >  se convierte en un problema de contaminación del agua • TORRE DE LAVADO • TORRE DE RELLENO • LAVADOR VENTURI FÍSICOS absorción, adsorción...


Es importante destacar la diferencia en la traducción de ""betetze-dorrea"" en ambos contextos. Mientras que en el contexto médico ""betetze"" se refiere al volumen que llena un órgano, en el contexto tecnológico se refiere al material que rellena una torre para facilitar un proceso.  Por lo tanto, ""betetze-dorrea"" se traduce como ""torre de relleno"" en tecnología ambiental.
"
betetze,"('llenado', 'relleno')","1. FACTORES QUE CONDICIONAN EL GASTO CARDÍACO•Precarga: Volumen de sangre que llega a los ventrículos desde las venas, volumen de llenado ventricular. Grado de estiramiento de las fibras musculares ventriculares al final de la diástole.

2. Las torres de pulverización (spray) son eficaces cuando el tamaño es > 80 µm, pero tienen poca eficacia cuando el tamaño es < 10 µm • Las torres de relleno (o de platos) son eficaces hasta un tamaño de 3-5 µm.
","1. FACTORES QUE CONDICIONAN EL GASTO CARDÍACO • Precarga: Volumen de sangre que llega a los ventrículos desde las venas, volumen de **llenado** ventricular. Grado de estiramiento de las fibras musculares ventriculares al final de la diástole.

2. Las torres de lavado (spray) son eficaces con un tamaño > 80 µm, pero poco eficaces con un tamaño < 10 µm • Las torres de **relleno** hasta un tamaño de 3-5 µm.
","Aquí tienes la traducción de los contextos, teniendo en cuenta las especificaciones de ""betetze"" como ""llenado"" en el contexto farmacéutico y ""relleno"" en el contexto de ingeniería ambiental:

1. **FACTORES QUE CONDICIONAN EL GASTO CARDÍACO•Precarga: Volumen de sangre que llega de las venas a los ventrículos, volumen de llenado ventricular. Grado de estiramiento de las fibras musculares del ventrículo al final de la diástole.**  (Aquí usamos ""llenado"" ya que se refiere al volumen sanguíneo dentro del ventrículo, un contexto fisiológico/farmacéutico.)


2. **Torres de pulverización (spray) efectivas para un tamaño > 80 µm, pero con baja eficiencia para tamaños < 10 µm • Torres de relleno efectivas para tamaños de hasta 3-5 µm.** (En este caso, ""relleno"" es más adecuado, pues se refiere a la estructura física de la torre, similar al contexto de ingeniería ambiental donde se usa como material de relleno.)
","Aquí tienes las traducciones, teniendo en cuenta el contexto proporcionado:

**Contexto Médico (llenado):**

1. FACTORES QUE CONDICIONAN EL GASTO CARDÍACO • Precarga: Volumen de sangre que llega a los ventrículos desde las venas, **volumen de llenado** ventricular. Grado de estiramiento de las fibras musculares del ventrículo al final de la diástole.
2. Torres (spray) eficaces para tamaños de partícula > 80 µm, pero con baja eficacia para tamaños < 10 µm • **Torres de llenado** para tamaños de partícula hasta 3-5 µm.


**Explicación de las elecciones:**

* En el primer ejemplo médico, ""betetze-bolumena"" se traduce como ""volumen de llenado"" ya que se refiere al volumen de sangre que llena el ventrículo.  Mantenemos la coherencia con los ejemplos previos de ""volumen de llenado"" en el contexto de la función cardíaca.
* En el segundo ejemplo, aunque se habla de torres, el contexto se centra en el tamaño de las partículas y su eficacia. ""Betetze-dorreak"" se refiere aquí a torres diseñadas para manejar partículas de un tamaño específico, y la traducción ""torres de llenado"" implica que se llenan con estas partículas.  Si bien ""relleno"" podría usarse, ""llenado"" se ajusta mejor al contexto de flujo y manejo de partículas en un dispositivo.
"
betetze,"('llenado', 'relleno')","1. **Ley de Frank-Starling:** El miocardio puede alterar su fuerza de contracción de latido a latido según el volumen de llenado, ya que este volumen determina la longitud inicial de las fibras musculares al comienzo de la sístole.

2. **ABSORCIÓN.** En la absorción se utilizan (1) torres de relleno y (2) torres de platos múltiples. En los procesos de absorción...
","1. Ley de Frank-Starling: el miocardio puede variar su fuerza de contracción de un latido a otro en función del volumen de **llenado**, ya que este determina la longitud de las fibras musculares al inicio de la sístole.

2. ABSORCIÓN. En la absorción se utilizan (1) torres de **relleno** y (2) torres de platos múltiples. En los procesos de absorción...
","1. **Ley de Frank-Starling:** El miocardio puede variar su fuerza de contracción de latido a latido en función del volumen de llenado, ya que este determina la longitud inicial de las fibras musculares al comienzo de la sístole.

2. **ABSORCIÓN.** En la absorción se utilizan (1) torres de relleno y (2) torres de platos múltiples. En los procesos de absorción...
","En base a los ejemplos proporcionados, las traducciones serían:

1. **Frank-Starling-en legea: miokardioak taupada batetik bestera ber uzkurdura-indarra alda dezake betetze-bolumenaren arabera, bolumne horrek ezartzen baitu muskulu-zuntzen luzera sistolearen hasieran.**  -> Ley de Frank-Starling: el miocardio puede variar la fuerza de contracción de un latido a otro según el **volumen de llenado**, ya que este volumen determina la longitud de las fibras musculares al inicio de la sístole.

2. **ABSORTZIOA. Absortzioan (1) betetze-dorreak eta (2) plater anitzeko dorreak erabili. Absortzio prozesuetan...** -> ABSORCIÓN. En la absorción se utilizan (1) **torres de relleno** y (2) torres de platos múltiples. En los procesos de absorción...


Se mantiene la coherencia traduciendo ""betetze-bolumena"" como ""volumen de llenado"" en el contexto médico y ""betetze-dorreak"" como ""torres de relleno"" en el contexto tecnológico.
"
betetze,"('llenado', 'relleno')","1. **UZKURKORTASUNA (Contractilidad):** Capacidad de las fibras musculares miocárdicas para alargarse o acortarse. **AURREKARGA (Precarga):** Volumen de llenado ventricular. **ATZEKARGA (Poscarga):** Resistencia que los ventrículos... (La frase está incompleta, falta la parte final que explica a qué se resisten los ventrículos, por ejemplo: ""...deben vencer para eyectar la sangre"").


2. B.- se utilizan para eliminar el carbón activado generado en las centrales térmicas. C.- los contaminantes se adhieren a la superficie de los rellenos sólidos.
","1. **CONTRACTILIDAD** Capacidad de las fibras musculares miocárdicas para alargarse o acortarse **PRECARGA** Volumen de **llenado** ventricular **POSCARGA** Los ventrículos...

2. B.- se utilizan para eliminar el carbón activado generado en centrales térmicas. C.- los contaminantes se adhieren a la superficie del **relleno** sólido.
","1. **CONTRACTILIDAD** Capacidad de las fibras musculares miocárdicas para alargarse o acortarse. **PRECARGA** Volumen de **llenado** ventricular. **POSCARGA** Los ventrículos...

2. B.- se utilizan para eliminar el carbón activado generado en las centrales térmicas. C.- los contaminantes se adhieren a la superficie del **relleno** sólido.
","En base a los ejemplos proporcionados, las traducciones serían:

1. **UZKURKORTASUNA** Capacidad de las fibras musculares del miocardio para alargarse o acortarse **AURREKARGA** Volumen de llenado ventricular **ATZEKARGA** Ventrículos...

2. B.- se utilizan en centrales térmicas para eliminar el carbón activado generado. C.- los contaminantes se adhieren a la superficie de los **rellenos** sólidos.


Se observa que ""betetze"" se traduce como ""llenado"" en el contexto médico, relacionado con el volumen en las cavidades del corazón. En el contexto tecnológico, se traduce como ""relleno"", refiriéndose a un material sólido dentro de una estructura como una torre.  Por tanto, en la frase 2, al hablar de la adhesión de contaminantes a un sólido, se usa ""relleno"".  En la frase 1, al referirse al volumen de los ventrículos, se usa ""llenado"".
"
betetze,"('llenado', 'relleno')","1. ... la incapacidad de enviar la cantidad de sangre necesaria a las redes se debe simplemente a un fallo de la función de bombeo del corazón, y debe destacarse que el volumen de llenado que llega al corazón es normal. Tiene un pronóstico muy malo,...


2. A.- son residuos inertes. B.- mezclados con áridos pueden utilizarse como relleno en carreteras u otras obras públicas. C.- son peligrosos.
","1. ...la incapacidad para enviar la cantidad de sangre necesaria a los tejidos se debe simplemente a un fallo de la función de bombeo del corazón, y debe destacarse que el **volumen de llenado** que llega al corazón es normal.  Tiene un pronóstico muy malo,...

2. A.- son residuos inertes. B.- mezclados con zahorras pueden ser utilizados como **relleno** en carreteras u otras obras públicas. C.- son peligrosos.
","1. ...la incapacidad para enviar la cantidad de sangre necesaria a los tejidos se debe a un fallo simple de la función de bombeo del corazón, y hay que destacar que el **volumen de llenado** que llega al corazón es normal.  Tiene un pronóstico muy malo,...

2. A.- son residuos inertes. B.- mezclados con áridos pueden ser utilizados como **relleno** en carreteras u otras obras públicas. C.- son peligrosos.
","Aquí tienes las traducciones, considerando el contexto proporcionado:

1. ... la incapacidad para enviar la cantidad de sangre necesaria a los tejidos. Esta incapacidad se debe a un fallo simple de la función de bombeo del corazón, y debe destacarse que el **volumen de llenado** que llega al corazón es normal. El pronóstico es muy malo,...

2. A.- son residuos inertes. B.- mezclados con zahorras pueden utilizarse como **relleno** en carreteras u otras obras públicas. C.- son peligrosos.
"
elikagai,"('alimento', 'nutriente')","1. DIETA: Es el conjunto de alimentos que consumimos habitualmente/diariamente.

2. Estos cationes pueden ser intercambiados con otros cationes. Este proceso es muy importante porque controla la absorción de nutrientes de las plantas.
","1. DIETA: Es el conjunto de alimentos que ingerimos diariamente. (Aquí ""elikagai"" se refiere a la comida en general, por lo que ""alimentos"" es la traducción adecuada.)

2. Estos cationes pueden intercambiarse con otros cationes. Este proceso es muy importante porque controla la absorción de nutrientes por parte de las plantas. (En este contexto, ""elikagai"" se refiere a las sustancias que las plantas necesitan para crecer, por lo que ""nutrientes"" es la traducción más precisa.)
","Aquí tienes la traducción de las frases, teniendo en cuenta el contexto proporcionado para ""elikagai"":

1. **DIETA:** El conjunto de alimentos que ingerimos diariamente. (Aquí, ""elikagai"" se refiere a lo que comemos habitualmente, por lo que ""alimentos"" es la traducción más adecuada).

2. Estos cationes pueden intercambiarse con otros cationes. Este proceso es muy importante porque controla el consumo de nutrientes de las plantas. (En este contexto, ""elikagai"" se refiere a las sustancias que las plantas necesitan para crecer, por lo que ""nutrientes"" es la traducción correcta.)
","Aquí están las traducciones, teniendo en cuenta el contexto proporcionado:

**Contexto de Medical Sciences > Pharmaceutical Technology (elikagai = alimento):**

1. Alimentos sin azúcar. ALIMENTOS PROTECTORES: Lácteos p. ej. Leche, queso, yogures.
2. ...y carbohidratos (representan el 40-50% de las calorías, principalmente glucosa).  También se debe tener en cuenta la proporción y el equilibrio de estos alimentos.
3. Alimentos azucarados, pegajosos, consumidos en las comidas.


**Contexto de Technological Sciences > Environmental technology and engineering (elikagai = nutriente):**

1. son elementos químicos de alta densidad, que se encuentran en forma de partículas y en bajas concentraciones en la atmósfera. Se consideran muy peligrosos, ya que no se degradan ni química ni biológicamente. Por lo tanto, se acumulan en las cadenas tróficas (o cadenas alimentarias).
2. Cuando hay muchos nutrientes, las plantas y otros organismos crecen mucho.
3. Los factores a controlar son el pH, la temperatura, la humedad, el contenido de nutrientes y la población bacteriana.



**Traducciones solicitadas:**

1. **DIETA:** El conjunto de alimentos que ingerimos diariamente. (Aquí, en el contexto de dieta, ""elikagai"" se refiere a los alimentos que comemos, similar al contexto de ciencias médicas.)
2. Estos cationes pueden intercambiarse con otros cationes. Este proceso es muy importante porque controla el consumo de nutrientes de las plantas. (En este contexto, claramente se habla de la nutrición de las plantas, por lo que ""elikagai"" se traduce como nutriente, similar al contexto de ciencias ambientales.)
"
elikagai,"('alimento', 'nutriente')","1. Alimentos azucarados, mariscos, consumidos en las comidas.

2. Los factores a controlar son el pH, la temperatura, la humedad, el contenido de nutrientes y la población bacteriana.
","1. **Contexto: Ciencias Médicas > Tecnología Farmacéutica:** Alimentos azucarados, mariscos, consumidos en las comidas.

2. **Contexto: Ciencias Tecnológicas > Ingeniería y Tecnología Ambiental:** Los factores a controlar son el pH, la temperatura, la humedad, el contenido de nutrientes y la población bacteriana.
","Dado el contexto proporcionado para ""elikagai"", las traducciones serían:

1. **Alimentos** azucarados, pegajosos, consumidos en las comidas.  (Aquí el contexto se asemeja más al de la dieta, por lo que usamos ""alimentos"")

2. Los factores a controlar son el pH, la temperatura, la humedad, el **contenido de nutrientes** y la población bacteriana. (En este caso, al hablar de factores que influyen en el crecimiento bacteriano, ""nutrientes"" se ajusta mejor al contexto tecnológico-ambiental.)
","Analizando los ejemplos, vemos que ""elikagai"" se traduce como ""alimento"" cuando se refiere a algo que se ingiere, y como ""nutriente"" cuando se refiere a una sustancia que promueve el crecimiento o desarrollo de un organismo.

Por lo tanto, las traducciones serían:

1. **Azukredun elikagaiak, itsaskorrak, otorduetan kontsumitutakoak.**  ->  *Alimentos azucarados, pegajosos, consumidos en las comidas.*

2. **Kontrolatu beharreko faktoreak pH-a, tenperatura, hezetasuna, elikagai-edukia eta bakterio-populazioa dira.** -> *Los factores que deben controlarse son el pH, la temperatura, la humedad, el contenido de nutrientes y la población bacteriana.*  En este caso, ""elikagai-edukia"" se refiere a lo que nutre a las bacterias, por lo que ""nutrientes"" es la traducción más adecuada.
"
elikagai,"('alimento', 'nutriente')","1. Alimentos sin azúcar. ALIMENTOS PROTECTORES: Lácteos, p. ej. Leche, queso, yogures.

2. Son elementos químicos de alta densidad que se encuentran en forma de partículas y en bajas concentraciones en la atmósfera. Se consideran muy peligrosos, ya que no se degradan ni química ni biológicamente. Por lo tanto, se acumulan en las cadenas alimentarias.
","1. **Contexto: Medical Sciences > Pharmaceutical Technology**

> Alimentos sin azúcar. ALIMENTOS PROTECTORES: Lácteos p. ej. Leche, queso, yogures.

2. **Contexto: Technological Sciences > Environmental technology and engineering**

> Son elementos químicos de alta densidad que se encuentran en la atmósfera en forma de partículas y en bajas concentraciones. Se consideran muy peligrosos, ya que no se degradan ni química ni biológicamente. Por lo tanto, se acumulan en las cadenas tróficas (o cadenas alimentarias).
","Aquí tienes la traducción de las frases, teniendo en cuenta el contexto proporcionado para ""elikagai"":

1. **Alimentos sin azúcar. ALIMENTOS PROTECTORES: Lácteos p. ej. Leche, requesón, yogures.**  En este contexto, al hablar de productos de consumo humano, ""elikagai"" se traduce como ""alimentos"".

2. **Son elementos químicos de alta densidad que se encuentran en la atmósfera en forma de partículas y en bajas concentraciones. Se consideran muy peligrosos, ya que no se degradan ni química ni biológicamente. Por lo tanto, se acumulan en las cadenas tróficas (o cadenas alimentarias).** En este contexto ambiental, donde se habla de acumulación en la cadena alimentaria, aunque se use ""elikagai-kateak"", la traducción más precisa en español es ""cadenas tróficas"" o ""cadenas alimentarias"", y nos referimos a la transferencia de nutrientes, no de ""alimentos"" como productos elaborados.
","Aquí tienes la traducción de las frases, considerando el contexto proporcionado:

1. **Contexto de Ciencia Médica/Tecnología Farmacéutica (elikagai = alimento):**

> Alimentos sin azúcar. ALIMENTOS PROTECTORES: Lácteos p. ej. Leche, queso, yogures.

2. **Contexto de Ciencias Tecnológicas/Ingeniería Ambiental (elikagai = nutriente):**

> ...son elementos químicos de alta densidad que se encuentran en la atmósfera en forma de partículas y en bajas concentraciones. Se consideran muy peligrosos, ya que no se degradan ni química ni biológicamente. Por lo tanto, se acumulan en las cadenas tróficas (o cadenas alimentarias).


**Explicación de la elección:**

En la primera frase, el contexto se refiere claramente a tipos de alimentos para consumo humano,  siguiendo los ejemplos con lácteos, leche, queso, etc. Por lo tanto, ""elikagai"" se traduce como ""alimentos"".

En la segunda frase, el contexto habla de acumulación en cadenas y degradación biológica, lo que apunta a un contexto ecológico y, por ende, ""elikagai"" se traduce como ""nutriente"" en un sentido más amplio,  o incluso se puede optar por ""cadena trófica"" o ""cadena alimentaria"" para mayor claridad.  No se refiere a ""alimentos"" en el sentido de algo que se ingiere, sino a la sustancia que nutre y permite el crecimiento de los organismos en un ecosistema.
"
