term,pair_translation,response_0shot,response_0shotplus,response_1shot,response_fewshot
acoplar,"('couple', 'connect')","1. ...vation), but the sum of the two angular momenta usually is. For example, the spin and motion of an electron can interact through spin-orbit coupling, in which case it is useful to **couple** their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, can interact through Coulomb forces, and then it is useful to couple the momenta...

2. ...be much greater than the frequency at which the temperature oscillates. Or add a repeater after the thermocouple so that the signal in the cable is stronger and the receiving equipment is compensated to be able to **integrate/interface with/connect** that repeater. These voltages can be caused either by inductive reception (a problem when measuring the temperature of motor parts and transformers) or by junctions at connections...


In the second context, ""acoplar"" doesn't quite mean ""couple"" in the same physics sense as the first.  It's more about connecting or interfacing two systems. While ""couple"" might work,  it's less precise.  ""Integrate,"" ""interface with,"" or simply ""connect"" are better translations depending on the specific technical details.
","1. ...vation), but the sum of the two angular momenta usually is. For example, the spin and the motion of an electron can interact by spin-orbit **coupling**, in which case it is useful to **couple** their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, can interact via Coulomb forces, and then it is useful to couple the moment...

2. ...is much greater than the frequency with which the temperature oscillates. Or add a repeater after the thermocouple so that the signal in the cable is stronger and the receiving equipment is compensated to be able to **connect** that repeater. These voltages can be caused either by inductive reception (a problem when measuring the temperature of motor parts and transformers) or by junctions at connec...
","1. ...(observation), but the sum of the two angular momenta usually is. For example, the spin and motion of an electron can interact by spin-orbit **coupling**, in which case it is useful to **couple** their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, may interact by Coulomb forces, and then it is useful to couple the angular momenta...

2. ...is much greater than the frequency with which the temperature oscillates. Or put a repeater after the thermocouple so that the signal in the cable is stronger and the receiving equipment is compensated to be able to **connect** that repeater. These voltages can be caused either by inductive reception (a problem when measuring the temperature of motor parts and transformers) or by the junctions to faulty connections... 
","1. ... conserved), but the sum of the two angular momenta normally is. For example, the spin and motion of an electron can interact by spin-orbit coupling, in which case it is useful to **couple** their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, can interact via Coulomb forces, and then it is useful to couple the angular momenta...

2. ...much greater than the frequency with which the temperature oscillates. Or put a repeater after the thermocouple so that the signal in the cable is greater and the receiving equipment is compensated to be able to **connect** that repeater. These voltages can be caused either by inductive reception (a problem when measuring the temperature of engine parts and transformers) or by junctions to terminal connections...
"
acoplar,"('couple', 'connect')","1. ...so it is useful to **couple** their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, can interact via Coulomb forces, and then it is useful to **combine** the angular momenta of each particle resulting in a total angular momentum, as a step towards solving the two-particle Schrödinger equation. The coupling of angular momenta in...


2. ...processors currently used in almost all personal computers are multi-core. A multi-core processor implements multiprocessing in a single physical package. Designers can **couple** cores in a multi-core device tightly or loosely. For example, cores may or may not share caches, and may implement inter-core communication methods of shared memory...


While ""couple"" works in both contexts, using ""combine"" in the first example clarifies the meaning.  ""Coupling"" implies a more intricate interaction than simply adding the values together, which might be misleading for someone unfamiliar with the physics concept.  ""Combine"" in this context more directly translates the act of adding the angular momenta.  ""Couple"" is still appropriate in the second example, as it suggests a close relationship between the cores.
","1. ...so it is useful to **couple** their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, can interact through Coulomb forces, and then it is useful to **couple** the angular momenta of each particle resulting in a total angular momentum, as a step in solving the two-particle Schrödinger equation. The coupling of angular momenta in...

2. ...processors currently used in almost all personal computers are multi-core. A multi-core processor implements multiprocessing in a single physical package. Designers can **connect** cores in a multi-core device tightly or loosely. For example, cores may or may not share caches, and may implement inter-core communication methods of shared memory...
","1. ...it is useful to **couple** their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, may interact by Coulomb forces, and then it is useful to **couple** the angular momenta of each particle resulting in a total angular momentum, as a step towards solving the two-particle Schrödinger equation. The coupling of angular momenta in...

2. ...processors used in nearly all personal computers today are multi-core. A multi-core processor implements multiprocessing in a single physical package. Designers may **connect** cores in a multi-core device tightly or loosely. For example, cores may or may not share caches, and may implement message passing or shared memory inter-core communication methods...
","1. ... it is useful to **couple** their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, may interact by Coulomb forces, and then it is useful to **couple** the angular momenta of each particle resulting in a total angular momentum, as a step towards solving the two-particle Schrödinger equation. The coupling of angular momenta in...


2. ...processors used in nearly all personal computers today are multi-core. A multi-core processor implements multiprocessing in a single physical package. Designers may **couple** cores in a multi-core device tightly or loosely. For example, cores may or may not share caches, and they may implement message passing or shared memory inter-core communication methods.
"
acoplar,"('couple', 'connect')","1. ...its primary and secondary coils are loosely magnetically coupled, creating a resonant air-core transformer. However, unlike a conventional transformer, which can **couple** 97%+ of the magnetic fields between the windings, these are coupled, sharing only 10-20% of their respective magnetic fields.  Most oil-filled isolation transformers...

2. ...to values suitable for the circuit requirements, either directly at the power frequency or through a switched-mode power supply. Signal and audio transformers are used to **couple** amplifier stages and to match devices such as microphones and record players to the amplifier inputs. Audio transformers allow telephone circuits to carry on a c...


In both cases, ""acoplar"" translates to **couple**.  This refers to the magnetic linking of the primary and secondary windings of a transformer, allowing energy transfer.  The difference highlighted is the *degree* of coupling – tight coupling in conventional transformers vs. loose coupling in the resonant air-core transformer.
","1. ...its primary and secondary coils are weakly **coupled** magnetically, creating a resonant air-core transformer. However, unlike a conventional transformer, which can **couple** upwards of 97% of the magnetic fields between windings, these are coupled, sharing only 10-20% of their respective magnetic fields. Most oil-filled isolation transformers...

2. ...to values suitable for the circuit requirements, either directly at the power frequency or through a switching power supply. Signal and audio transformers are used to **connect** amplifier stages and to **connect** devices such as microphones and tape recorders to the input of amplifiers. Audio transformers allow telephone circuits to carry a c...
","1. ...its primary and secondary coils are weakly *coupled* magnetically, creating a resonant air-core transformer. However, unlike a conventional transformer, which can *couple* 97%+ of the magnetic fields between the windings, these are coupled, sharing only 10-20% of their respective magnetic fields. Most oil-filled isolation transformers...

2. ...to suitable values for the circuit requirements, either directly at the power frequency or through a switched-mode power supply. Signal and audio transformers are used to *connect* amplifier stages and to *connect* devices such as microphones and tape recorders to the input of amplifiers. Audio transformers allow telephone circuits to carry a c...
","Here are the translations of the new examples, taking into account the provided context and examples:

1. ...the primary and secondary coils are weakly magnetically coupled, creating a resonant air-core transformer. However, unlike a conventional transformer, which can **couple** 97%+ of the magnetic fields between the windings, these are coupled, sharing only 10-20% of their respective magnetic fields. Most oil-filled isolation transformers...

2. ...to values suitable for the circuit requirements, either directly at the power frequency or through a switched-mode power supply. Signal and audio transformers are used to **couple** amplifier stages and to couple devices such as microphones and tape recorders to the amplifier input. Audio transformers allow telephone circuits to carry on a...


In both of these new examples, ""acoplar"" refers to the connection or interaction of components in an electrical circuit, therefore ""couple"" is the appropriate translation.
"
acoplar,"('couple', 'connect')","1. ...and therefore cannot occur in isolated molecules. A second type of non-radiative transition is internal conversion (IC), which occurs when a vibrational state of an excited state can **couple** to a high vibrational state of a lower electronic level. A third type is intersystem crossing (ISC), which is a transition to a state with a different spin multiplicity. In molecul...

2. ...Isolation transformers reduce current leakage between the secondary circuit and are used in medical equipment and construction sites. Resonant transformers are used to **couple** stages in radio receivers, or in high-voltage Tesla coils. The phenomenon of electromagnetic induction on which the operation of the transformer is based was discovered by Michael...
","1. ...and therefore cannot occur in isolated molecules. A second type of non-radiative transition is internal conversion (IC), which occurs when a vibrational state of an excited state can **couple** to a high vibrational state of a lower electronic level. A third type is intersystem crossing (ISC), which is a transition to a state with a different spin multiplicity. In molecul...

2. ...Isolation transformers reduce current leakage between the secondary circuit and are used in medical equipment and on construction sites. Resonant transformers are used to **connect** stages of radio receivers, or in high-voltage Tesla coils. The phenomenon of electromagnetic induction on which the transformer is based was discovered by Michael...
","1. ...and therefore cannot occur in isolated molecules. A second type of non-radiative transition is internal conversion (IC), which occurs when a vibrational state of an excited state can **couple** to a high vibrational state of a lower electronic level. A third type is intersystem crossing (ISC), which is a transition to a state with a different spin multiplicity. In molecule...

2. ...Isolation transformers reduce leakage current between the secondary circuit and are used in medical equipment and on construction sites. Resonant transformers are used to **connect** stages of radio receivers or in high-voltage Tesla coils. The phenomenon of electromagnetic induction on which the transformer is based was discovered by Michael...
","Here are the translations of the new examples, keeping in mind the provided context for ""acoplar"":

1. ...and therefore cannot occur in isolated molecules. A second type of non-radiative transition is internal conversion (IC), which occurs when a vibrational state of an excited state can **couple** to a high vibrational state of a lower electronic level. A third type is intersystem crossing (ISC) which is a transition to a state with a different spin multiplicity. In molecules...


2. Isolation transformers reduce leakage current between the secondary circuit and are used in medical equipment and construction sites. Resonant transformers are used to **couple** between stages of radio receivers, or in high-voltage Tesla coils. The phenomenon of electromagnetic induction on which the transformer is based was discovered by Michael... 
"
acoplar,"('couple', 'connect')","1. ...keeping its optical thickness (absorption of light in an absorbing medium) constant. Firstly, metallic nanoparticles can be used as wavelength-scale scattering elements to **couple** and freely trap the Sun's plane waves into a thin absorbing semiconductor film, transferring the light into a thin absorber layer. Secondly, metallic nanoparticles can...

2. ...wireless electric vehicle charging (WEVC), has two main types of systems: WEVC technology uses magnetic resonance to **couple** the energy from a Base Charging Unit (BCU) to a Vehicle Charging Unit (VCU). The energy is transferred from the VCU pad by means of coupling...
","1. ...keeping its optical thickness (absorption of light in an absorbing medium) constant. First, metallic nanoparticles can be used as wavelength-scale scattering elements to **couple** and freely trap plane waves from the Sun in a thin absorbing semiconductor film, transferring the light into a thin absorber layer. Second, metallic nanoparticles...

2. ...wireless electric vehicle charging (WEVC), has two main types of systems: WEVC technology uses magnetic resonance to **couple** energy from a Base Charging Unit (BCU) to a Vehicle Charging Unit (VCU). Energy is transferred from the VCU pad by means of coup...
","1. ...while keeping its optical thickness (absorption of light in an absorbing medium) constant. First, metallic nanoparticles can be used as wavelength-scale scattering elements to **couple** and freely trap the Sun's plane waves in a thin absorbing semiconductor film, transferring the light into a thin absorber layer. Second, metallic nanoparticles can...

2. ...Wireless Electric Vehicle Charging (WEVC), has two main types of systems: WEVC technology uses magnetic resonance to **couple** energy from a Base Charging Unit (BCU) to a Vehicle Charging Unit (VCU). Energy is transferred from the VCU pad through **coupling**.
","Here are the translations of the new examples, keeping in mind the provided context for ""acoplar"":

1. ...while keeping its optical thickness (light absorption in an absorbing medium) constant. Firstly, metallic nanoparticles can be used as wavelength-scale scattering elements to **couple** and freely trap the Sun's plane waves in a thin absorbing semiconductor film, transferring the light within a thin absorber layer. Secondly, metallic nanoparticles can...

2. ...Wireless Electric Vehicle Charging (WEVC), has two main types of systems: The WEVC technology uses magnetic resonance to **couple** the energy from a Base Charging Unit (BCU) to a Vehicle Charging Unit (VCU). The energy is transferred from the VCU pad through coupling...


In both these new examples, ""acoplar"" refers to a linking or connecting process, aligning more with the ""connect"" translation used in technological contexts.  It's about establishing a link for energy transfer or wave interaction.
"
acoplar,"('couple', 'connect')","1. ...ionization in technically used plasmas is usually very low, typically a few per thousand or less. The electrical conductivity generated by these free charge carriers is used to **couple** electrical energy. By colliding with other atoms or molecules in the gas, free electrons can transfer their energy and thus generate highly reactive species that act on the material being treated...

2. ...resonant transformer, an electrical component consisting of two high-Q coils wound on the same core with capacitors connected between the windings to **couple** the two LC circuits. Resonant transformers are widely used in radio circuits as bandpass filters, and in contactors for electrical power supplies. The inductive coupling...
","1. ...ization in technically used plasmas is usually very low, typically a few per thousand or less. The electrical conductivity generated by these free charge carriers is used to **couple** electrical energy. By colliding with other atoms or molecules in the gas, free electrons can transfer their energy and thus generate highly reactive species that act on the material being...

2. ...resonant transformer, an electrical component consisting of two high-Q coils wound on the same core with capacitors connected between the windings to **couple** the two LC circuits. Resonant transformers are widely used in radio circuits as bandpass filters, and in contactors for electric power supplies.  The inductive coupling...
","1. ...ization in technically utilized plasmas is usually very low, typically a few per thousand or less. The electrical conductivity generated by these free charge carriers is used to **couple** electrical energy. By colliding with other atoms or molecules of the gas, the free electrons can transfer their energy and thus generate highly reactive species that act on the material being treated...

2. ...resonant transformer, an electrical component consisting of two high-Q coils wound on the same core with capacitors connected between the windings to **connect** the two LC circuits. Resonant transformers are widely used in radio circuits as bandpass filters, and in switch-mode power supplies. The inductive coupling... 
","1. ...ization in technically used plasmas is usually very low, typically a few per thousand or less. The electrical conductivity generated by these free charge carriers is used to **couple** electrical energy. By colliding with other atoms or molecules in the gas, the free electrons can transfer their energy to them and thus generate highly reactive species that act on the material being treated...

2. ...resonant transformer, an electrical component that consists of two high-Q coils wound on the same core with capacitors connected between the windings to **couple** the two LC circuits. Resonant transformers are widely used in radio circuits as bandpass filters, and in contactors for electric power supplies. Inductive coupling... 
"
acoplar,"('couple', 'connect')","1. ...which also explains the ) factor and the subscripts named in the following formulas, are given by. Here, the first factors on the right-hand side are the Clebsch-Gordan coefficients for **coupling**  with  to obtain . The second factors are the ""reduced matrix elements"". They do not depend on  or , but they do depend on  and, of course, on . To obtain a complete list of equations that...

2. ...wavelength, they radiate little energy from the transmitter towards infinity. One use of the resonant transformer is in the CCFL inverter. Another use of the resonant transformer is for **coupling** between stages of a superheterodyne receiver, where the selectivity of the receiver is achieved by tuning the transformers at the intermediate frequency of the amplifiers. The Tesla coil is a...
","1. ...which also explains the ) factor and the subscripts are named in the following formulas, are given by Here, the first factors on the right-hand side are the Clebsch-Gordan coefficients for **coupling**  with  to obtain . The second factors are the ""reduced matrix elements"". They do not depend on  or , but they do depend on  and, of course, on . To obtain a complete list of equations that...

2. ...wavelength they radiate little energy from the transmitter towards infinity. One use of the resonant transformer is in the CCFL inverter. Another use of the resonant transformer is to **couple** stages of a superheterodyne receiver, where the selectivity of the receiver is obtained by tuning the transformers at the intermediate frequency of the amplifiers. The Tesla coil is a...
","1. ...which also explains the factor ) and the subscripts are labeled in the following formulas, are given by Here, the first factors on the right-hand side are the Clebsch-Gordan coefficients for **coupling**  with  to obtain . The second factors are the ""reduced matrix elements."" They do not depend on  or , but they do depend on  and, of course, on . For a complete list of equations that...

2. ...wavelength, they radiate little energy from the transmitter towards infinity. One use of the resonant transformer is in the CCFL inverter. Another use of the resonant transformer is to **connect** stages of a superheterodyne receiver, where the selectivity of the receiver is obtained by tuning the transformers at the intermediate frequency of the amplifiers. The Tesla coil is a...
","1. ...which also explains the factor ) and the subscripts are named in the formulas below, are given by  Here, the first factors on the right-hand side are the Clebsch-Gordan coefficients for **coupling**  with  to obtain . The second factors are the ""reduced matrix elements"". They do not depend on  or , but they do depend on and, of course, on . To obtain a complete list of equations that n...

2. ...wavelength the same radiate little energy from the transmitter to infinity. One use of the resonant transformer is in the CCFL inverter. Another use of the resonant transformer is to **couple** stages of a superheterodyne receiver, where the selectivity of the receiver is obtained by tuning the transformers at the intermediate frequency of the amplifiers. The Tesla coil is a...
"
aislador,"('isolator', 'insulator')","1. ...They are electrically insulated and are typically used together with insulator strings. The function of the corona ring is to distribute and homogenize the electric field intensity around the **insulator** in the lower zone, where the applied voltage distribution is greater, and to eliminate possible causes of material deterioration and contaminant accumulation on the insulator surface. The rings...

2. ...construct informal housing, and this, in turn, causes other environmental impacts and overloads local infrastructure and public services. Disc Insulators Disc insulators are a type of **insulator** used in transmission and distribution power lines. They are mainly made of glass and ceramic and their characteristics are standardized according to the supportable weight or force, contamination level...
","1. ...They are electrically isolated and are usually used together with insulator strings. The function of the corona ring is to distribute and homogenize the electric field intensity around the **insulator** in the lower zone, where the distribution of the applied voltage is greatest, and to eliminate possible causes of material deterioration and accumulation of contaminants on the insulator surface. The rings...

2. ...construct informal housing, and this, in turn, causes other environmental impacts and overloads local infrastructure and public services. Disc Insulators Disc insulators are a type of **insulator** used in transmission and distribution power lines. They are mainly made of glass and ceramic and their characteristics are standardized according to the weight or force they can withstand, contamination level... 
","1. They are electrically isolated and are typically used together with insulator strings. The function of the corona ring is to distribute and homogenize the intensity of the electric field around the **insulator** in the lower zone, where the distribution of the applied voltage is greater, and to eliminate possible causes of material deterioration and accumulation of contaminants on the insulator's surface. The rings...

2. ...build informal housing, and this, in turn, causes other environmental impacts and overloads local infrastructure and public services. Disc Insulators Disc insulators are a type of **insulator** used in transmission and distribution power lines. They are mainly made of glass and ceramic, and their characteristics are standardized according to the weight or force they can withstand, the pollution level...
","1. ...They are electrically insulated and are usually used together with insulator strings. The function of the corona ring is to distribute and homogenize the intensity of the electric field around the **insulator** in the lower area, where the distribution of the applied voltage is greater and to eliminate possible causes of material deterioration and accumulation of contaminants on the insulator surface. The rings...

2. ...build informal housing, and this, in turn, causes other environmental impacts and overloads local infrastructure and public services. Disc insulators Disc insulators are a type of **insulator** used in transmission and distribution power lines.  They are mainly made of glass and ceramic and their characteristics are standardized according to the weight or sustainable force, pollution level...
"
aislador,"('isolator', 'insulator')","1. ...older ones used a vacuum tube called a klystron to generate microwaves, but modern spectrometers use a Gunn diode. Immediately after the microwave source, there is an **isolator** which serves to attenuate any reflections going back to the source, which could result in fluctuations of the microwave frequency. The microwaves then pass through a directional coupler...

2. ...behaviour in the face of pollution, this type of insulator has been progressively falling into disuse. In this type of application, a string of disc insulators is now replaced by a single polymeric **insulator**, which also simplifies its installation or replacement. Three Laws of Robotics The Three Laws of Robotics or Asimov's Laws are a set of rules developed by the science fiction writer...
","1. ...older ones used a vacuum tube called a klystron to generate microwaves, but modern spectrometers use a Gunn diode. Immediately after the microwave source, there is an **isolator** to attenuate any reflections going back to the source, which could result in fluctuations of the microwave frequency. The microwaves then pass through a directional coupler...

2. ...behavior in the face of pollution, this type of insulator has been progressively falling into disuse. In this type of application, a string of disc insulators is now replaced by a single polymeric **insulator**, which also simplifies its installation or replacement.  Three Laws of Robotics  The Three Laws of Robotics or Asimov's Laws are a set of rules developed by the science fiction writer...
","1. ...older ones used a vacuum tube called a klystron to generate microwaves, but modern spectrometers use a Gunn diode. Immediately following the microwave source is an **isolator** that serves to attenuate any reflections back to the source which could result in fluctuations of the microwave frequency. The microwaves then pass through a directional coupler...

2. ...performance against pollution, this type of insulator has progressively fallen into disuse. In these types of applications, a string of disc insulators is now replaced by a single polymeric **insulator**, which also simplifies its installation or replacement.  Three Laws of Robotics  The Three Laws of Robotics, or Asimov's Laws, are a set of rules devised by the science fiction writer...
","1. ... older ones used a vacuum tube called a klystron to generate microwaves, but modern spectrometers use a Gunn diode. Immediately after the microwave source, there is an **isolator** that serves to attenuate any reflections back to the source, which could result in fluctuations of the microwave frequency. The microwaves then pass through a directional coupler...

2. ...performance against contamination, this type of insulator has progressively fallen into disuse. In this type of application, a string of disc insulators is now replaced by a single polymeric **insulator**, which also simplifies its installation or replacement. Three Laws of Robotics The Three Laws of Robotics or Asimov's Laws are a set of rules developed by the science fiction writer...
"
aislador,"('isolator', 'insulator')","1. ...of the line. Corrosion and erosion due to ozone and nitrogen oxides created by the corona are processes that coexist with corona discharge. Therefore, corrosion occurs in the **insulator** made of porcelain (the 2 separations formed can be seen in the figure below). Corona Effect: environmental and safety concerns As mentioned, partial discharge, being a source of audible noise...

2. ...behaves like a short circuit, reflecting all the power, so there will be no voltage at the detector output. Since the power is reflected back towards the generator, some type of **isolator** is usually included for its protection. The high Q of these cavities makes it difficult to locate the resonance, so a dissipative element is usually included to decrease it. Even so, the wavemeter allows a very accurate measurement...
","1. ...of the line. Corrosion and erosion due to ozone and nitrogen oxides created by corona are processes that coexist with corona discharge. This leads to corrosion in the **insulator** (the two separations formed can be seen in the figure below). Corona Effect: Environmental and Safety Concerns As mentioned, partial discharge, as a source of audible noise...

2. ...behaves like a short circuit, reflecting all the power, so that there will be no voltage at the detector output. Since the power is reflected back towards the generator, some type of **isolator** is usually included for its protection. The high Q of these cavities makes it difficult to locate the resonance, so a dissipative element is usually included to decrease it. Even so, the wavemeter allows a very accurate measurement...
","1. ...of the line. Corrosion and erosion due to ozone and nitrogen oxides created by corona are processes that coexist with corona discharge. This leads to corrosion in the **insulator** (the 2 separations formed can be seen in the figure below). Corona Effect: Environmental and Safety Concerns As mentioned, partial discharge, as a source of audio noise...

2. ...behaves as a short circuit, reflecting all the power, so that there will be no voltage at the detector output. Since the power is reflected back towards the generator, some type of **isolator** is usually included for its protection. The high Q of these cavities makes it difficult to locate the resonance, so a dissipative element is usually included to decrease it. Even so, the wavemeter allows a very precise measurement...
","1. ...of the line. Corrosion and erosion due to ozone and nitrogen oxides created by corona are processes that coexist with corona discharge.  This leads to corrosion in the **insulator** (the 2 separations formed are visible in the figure below). Corona Effect: environmental and safety concern As mentioned, partial discharge, being a source of audible noise...

2. ...behaves like a short circuit, reflecting all the power, so that there will be no voltage at the detector output.  Since the power is reflected towards the generator, some type of **isolator** is usually included for its protection. The high Q of these cavities makes it difficult to locate the resonance, so a dissipative element is usually included to decrease it. Even so, the wavemeter allows a very precise measurement...
"
