term,pair_translation,response_0shot,response_0shotplus,response_1shot,response_fewshot
balioztapen,"('validación', 'evaluación; valoración')","Claro, aquí tienes las traducciones al español:

1. La **evaluación** precisa del flujo sanguíneo que llega a las extremidades es muy útil con la sonda de ultrasonido Doppler.
2. Incineración o gasificación. Evaluación energética. Llevar directamente al vertedero.","1. La validación precisa del flujo sanguíneo que llega a las extremidades del cuerpo es posible gracias a la sonda de ultrasonido Doppler.
2. Incineración o gasificación. Evaluación energética. Llevado directamente al vertedero.",⚠️ Prompt no construido (faltan ejemplos),⚠️ Prompt no construido (faltan ejemplos)
beira,"('cristal', 'estufa')","Claro, aquí tienes las traducciones al español:

1. Dado que se utilizan cada vez más envases desechables, la cantidad de residuos de plástico, papel, vidrio y metal ha aumentado.
2. Horno de aire caliente (horno de Pasteur o calentador de Poupinel); instrumental médico, instrumental odontológico,...","1. A medida que aumenta el uso de envases desechables, también ha aumentado la cantidad de residuos de plástico, papel, cristal y metal.

2. Horno de aire caliente (horno de Pasteur o estufas de Poupinel); instrumental de curación, instrumental odontológico,...",⚠️ Prompt no construido (faltan ejemplos),⚠️ Prompt no construido (faltan ejemplos)
betetze,"('llenado', 'relleno')","1. Clasificación. Incontinencia urinaria por desbordamiento. La presión de llenado de la vejiga es mayor que la resistencia de la uretra. Al orinar, ...

2. 2) SEPARACIÓN HÚMEDA contaminación atmosférica > problema de contaminación del agua • TORRE DE LIMPIEZA • TORRE DE LLENADO • LAVADOR VENTURI FÍSICO absorción, adsorción...","1. Clasificación. Incontinencia urinaria por rebosamiento. Presión de llenado de la vejiga > resistencia de la uretra. Al orinar, ...

2. 2) SEPARACIÓN HÚMEDA contaminación atmosférica > problema de contaminación del agua • TORRE DE LIMPIEZA • TORRE DE RELLENO • LAVADOR VENTURI FÍSICO absorción, adsorción...","Aquí tienes las traducciones de los contextos proporcionados:

1. Clasificación. Incontinencia urinaria por rebosamiento. La presión de llenado de la vejiga es mayor que la resistencia uretral. Al orinar, ...

2. 2) SEPARACIÓN HÚMEDA contaminación atmosférica > problema de contaminación del agua • TORRE DE LIMPIEZA • TORRE DE RELLENO • LAVADOR VENTURI FÍSICO absorción, adsorción...","Claro, aquí tienes la traducción de los contextos al español:

1. Clasificación. Incontinencia urinaria por rebosamiento. La presión de llenado de la vejiga es mayor que la resistencia uretral. Al orinar, ...

2. 2) SEPARACIÓN HÚMEDA la contaminación atmosférica se convierte en un problema de contaminación del agua • TORRE DE LAVADO • TORRE DE RELLENO • LAVADOR VENTURI FÍSICO: absorción, adsorción..."
betetze,"('llenado', 'relleno')","1. FACTORES QUE CONDICIONAN EL GASTO CARDÍACO • Precarga: Volumen de sangre que llega a los ventrículos desde las venas, volumen de llenado de los ventrículos. Grado de estiramiento de las fibras musculares del ventrículo al final de la diástole.

2. Las torres de pulverización son eficaces cuando el tamaño es > 80 µm, pero tienen baja eficacia cuando el tamaño es < 10 µm • Las torres de llenado hasta tamaños de 3-5 µm.","1. FACTORES QUE CONDICIONAN EL GASTO CARDÍACO: • Precarga: Volumen de sangre que llega a los ventrículos desde las venas, volumen de llenado de los ventrículos. Grado de elongación de las fibras musculares del ventrículo al final de la diástole.

2. Las torres de pulverización (spray) son efectivas cuando el tamaño es > 80 µm, pero tienen baja eficiencia cuando el tamaño es < 10 µm • Las torres de relleno tienen un tamaño de hasta 3-5 µm.","Claro, aquí tienes las traducciones teniendo en cuenta el contexto específico de cada término:

1. FACTORES QUE CONDICIONAN EL GASTO CARDIACO: • Precarga: El volumen de sangre que llega a los ventrículos desde las venas, el volumen de llenado de los ventrículos. El grado de estiramiento de las fibras musculares del ventrículo al final de la diástole.

2. Las torres de spray son efectivas cuando la medida es > 80 µm, pero tienen poca efectividad cuando la medida es < 10 µm • Las torres de relleno hasta medidas de 3-5 µm.","Aquí tienes las traducciones basadas en los contextos proporcionados:

En Ciencias Médicas > Tecnología Farmacéutica, donde ""betetze"" se traduce como ""llenado"":
1. FACTORES QUE CONDICIONAN EL GASTO CARDIACO • Precarga: Volumen de sangre que llega desde las venas a los ventrículos, el volumen de llenado de los ventrículos. El grado de elongación de las fibras musculares ventriculares al finalizar la diástole.

En Ciencias Tecnológicas > Tecnología ambiental e ingeniería, donde ""betetze"" se traduce como ""relleno"":
2. Las torres de pulverización (spray) son eficaces cuando el tamaño es > 80 µm, pero tienen baja eficiencia cuando el tamaño es < 10 µm • Las torres de relleno hasta tamaños de 3-5 µm."
betetze,"('llenado', 'relleno')","1. La ley de Frank-Starling: el miocardio puede cambiar su fuerza de contracción de un latido a otro según el volumen de llenado, ya que este volumen determina la longitud de las fibras musculares al comienzo de la sístole.

2. ABSORCIÓN. En la absorción se utilizan (1) torres de llenado y (2) torres de platos múltiples. En los procesos de absorción...","1. Ley de Frank-Starling: el miocardio puede modificar su fuerza de contracción de un latido al siguiente según el volumen de llenado, ya que este volumen determina la longitud de las fibras musculares al inicio de la sístole.

2. ABSORCIÓN. En la absorción, utilizar (1) torres de relleno y (2) torres de platos múltiples. En los procesos de absorción...","Claro, aquí tienes la traducción de los contextos al español:

1. Ley de Frank-Starling: el miocardio puede modificar su fuerza de contracción de un latido a otro según el volumen de llenado, ya que este volumen determina la longitud de las fibras musculares al inicio de la sístole.

2. ABSORCIÓN. Utilizar (1) torres de relleno y (2) torres de platos múltiples en la absorción. En los procesos de absorción...","Aquí tienes las traducciones de los contextos proporcionados:

1. La ley de Frank-Starling: el miocardio puede modificar su fuerza de contracción de un latido a otro según el volumen de llenado, ya que este volumen determina la longitud de las fibras musculares al inicio de la sístole.

2. ABSORCIÓN. En la absorción se utilizan (1) torres de relleno y (2) torres con múltiples platos. En los procesos de absorción..."
betetze,"('llenado', 'relleno')","1. UZKURKORTASUNA: Miocardioaren zuntz muskularrek luzatzeko edo laburtzeko gaitasuna. AURREKARGA: Bentrikuluen betetze-bolumena. ATZEKARGA: Bentrikuluak...

2. B.- Zentral termikoetan sortzen den ikatz aktibatua ezabatzeko erabiltzen dira. C.- Kutsatzaileak betetze solidoen gainazalean atxikitzen dira.","1. UZKURKORTASUNA: La capacidad de las fibras musculares del miocardio para alargarse o acortarse. AURREKARGA: El volumen de llenado de los ventrículos. ATZEKARGA: Los ventrículos...

2. B.- Se utilizan para eliminar el carbón activado que se genera en las centrales térmicas. C.- Los contaminantes se adhieren a la superficie de los rellenos sólidos.","Aquí tienes las traducciones de los contextos proporcionados:

1. CONTRACTILIDAD: Capacidad de las fibras musculares del miocardio para alargarse o acortarse. PRE-CARGA: Volumen de llenado de los ventrículos. POST-CARGA: Los ventrículos...

2. B.- Se utilizan para eliminar el carbón activado generado en las centrales térmicas. C.- Los contaminantes se adhieren a la superficie de los rellenos sólidos.","Claro, aquí tienes las traducciones teniendo en cuenta los contextos específicos:

1. CONTRACTILIDAD: Capacidad de las fibras musculares del miocardio para alargarse o acortarse. PRE-CARGA: Volumen de llenado de los ventrículos. POST-CARGA: Los ventrículos...

2. B.- Se utilizan para eliminar el carbón activado generado en las centrales térmicas. C.- Los contaminantes se adhieren a la superficie de los rellenos sólidos."
betetze,"('llenado', 'relleno')","1. ... la incapacidad del corazón para enviar la cantidad necesaria de sangre a los tejidos se debe a un fallo simple de la función de bombeo del corazón, y cabe destacar que el volumen de llenado que llega al corazón es normal. Tiene un pronóstico muy malo,...

2. A.- son residuos inertes. B.- se pueden utilizar mezclados con escorias en carreteras o como relleno en otras obras públicas. C.- son peligrosos.","1. ... la incapacidad para enviar la cantidad de sangre necesaria a los tejidos se debe únicamente al fallo de la función de bombeo del corazón, y es importante destacar que el volumen de llenado que llega al corazón es normal. Tiene un pronóstico muy malo,...

2. A.- son residuos inertes. B.- se pueden utilizar como relleno mezclados con escorias en carreteras u otras obras públicas. C.- son peligrosos.","Claro, aquí tienes las traducciones de los contextos proporcionados:

1. ... la incapacidad de enviar la cantidad de sangre necesaria a los tejidos se debe únicamente a la falla de la función de bombeo del corazón, y es importante destacar que el volumen de llenado que llega al corazón es normal. Tiene un pronóstico muy malo,...

2. A.- son residuos inertes. B.- pueden ser utilizados como relleno mezclados con escoria en carreteras u otras obras públicas. C.- son peligrosos.","Aquí tienes la traducción de los contextos que proporcionaste, siguiendo las indicaciones dadas para la traducción de ""betetze"":

1. ... la incapacidad para enviar la cantidad necesaria de sangre a los tejidos se debe a un simple fallo de la función de bombeo del corazón, y es importante destacar que el volumen de llenado que llega al corazón es normal. Tiene un pronóstico muy malo,...

2. A.- son residuos inertes. B.- se pueden utilizar mezclados con escorias en carreteras u otras obras públicas como relleno. C.- son peligrosos."
elikagai,"('alimento', 'nutriente')","Claro, aquí tienes las traducciones al español:

1. DIETA: Es el conjunto de alimentos que consumimos diariamente.
2. Estos cationes pueden intercambiarse con otros cationes. Este proceso es muy importante porque controla el consumo de nutrientes de las plantas.","1. DIETA: El conjunto de alimentos que consumimos diariamente.
2. Estos cationes pueden intercambiarse con otros cationes. Este proceso es muy importante porque controla el consumo de nutrientes de las plantas.","1. DIETA: El conjunto de alimentos que consumimos diariamente.
2. Estos cationes pueden intercambiarse con otros cationes. Este proceso es muy importante porque controla el consumo de nutrientes por parte de las plantas.","Claro, aquí tienes las traducciones de los contextos al español:

En Ciencias Médicas > Tecnología Farmacéutica, donde elikagai se traduce como alimento:
1. DIETA: El conjunto de alimentos que consumimos diariamente.
2. Estos cationes pueden ser intercambiados con otros cationes. Este proceso es muy importante porque controla el consumo de nutrientes de las plantas. 

En Ciencias Tecnológicas > Tecnología y ingeniería ambiental, donde elikagai se traduce como nutriente:
1. DIETA: El conjunto de nutrientes que consumimos diariamente.
2. Estos cationes pueden ser intercambiados con otros cationes. Este proceso es muy importante porque controla el consumo de nutrientes de las plantas. 

Espero que estas traducciones sean útiles para ti."
elikagai,"('alimento', 'nutriente')","Claro, aquí tienes las traducciones al español:

1. Alimentos azucarados, pegajosos, consumidos durante las comidas.
2. Los factores que deben controlarse son el pH, la temperatura, la humedad, el contenido de alimentos y la población bacteriana.","Claro, aquí tienes las traducciones considerando el contexto específico:

1. Alimentos azucarados, pegajosos, consumidos durante las comidas. (Medical Sciences > Pharmaceutical Technology)
   
2. Los factores a controlar son el pH, la temperatura, la humedad, el contenido de nutrientes y la población bacteriana. (Technological Sciences > Environmental technology and engineering)","1. Alimentos azucarados y pegajosos consumidos durante las comidas.

2. Los factores que deben controlarse son el pH, la temperatura, la humedad, el contenido de nutrientes y la población bacteriana.","Claro, aquí tienes las traducciones de los contextos proporcionados:

En Ciencias Médicas > Tecnología Farmacéutica:
1. Alimentos con azúcar, pegajosos, consumidos en las comidas.
2. Los factores que deben controlarse son el pH, la temperatura, la humedad, el contenido de alimentos y la población bacteriana.

En Ciencias Tecnológicas > Tecnología y ingeniería ambiental:
1. Nutrientes con azúcar, pegajosos, consumidos en las comidas.
2. Los factores que deben controlarse son el pH, la temperatura, la humedad, el contenido de nutrientes y la población bacteriana."
elikagai,"('alimento', 'nutriente')","Claro, aquí tienes las traducciones al español:

1. Alimentos sin azúcar. ALIMENTOS PROTECTORES: Lácteos, por ejemplo, leche, queso, yogures.
2. Son elementos químicos de alta densidad que se encuentran en la atmósfera en forma de partículas y en concentraciones bajas. Se consideran muy peligrosos porque no se degradan ni química ni biológicamente. Por lo tanto, se acumulan en las cadenas alimentarias.","1. Alimentos sin azúcar. ALIMENTOS PROTECTORES: Lácteos, por ejemplo, leche, queso, yogures.

2. Son elementos químicos de alta densidad que se encuentran en la atmósfera en forma de partículas y en bajas concentraciones. Se consideran muy peligrosos, ya que no se degradan ni química ni biológicamente. Por lo tanto, se acumulan en las cadenas de nutrientes.","Por supuesto, aquí tienes las traducciones:

1. Alimentos sin azúcar. ALIMENTOS PROTECTORES: Lácteos, por ejemplo, leche, queso, yogures.
2. Son elementos químicos de alta densidad, se encuentran en forma de partículas y en concentraciones bajas en la atmósfera. Se consideran muy peligrosos, ya que no se degradan ni química ni biológicamente. Por lo tanto, se acumulan en las cadenas alimentarias.","Claro, aquí tienes las traducciones:

1. Alimentos sin azúcar. ALIMENTOS PROTECTORES: Lácteos, por ejemplo, leche, queso, yogures.

2. Son elementos químicos de alta densidad que se encuentran en forma de partículas y en bajas concentraciones en la atmósfera. Se consideran muy peligrosos, ya que no se degradan ni química ni biológicamente. Por lo tanto, se acumulan en las cadenas tróficas."
