term,pair_translation,response_0shot,response_0shotplus,response_1shot,response_fewshot
acoplar,"('couple', 'connect')","1. ...vation), but the sum of the two angular momenta usually is. For example, the spin and the motion of an electron can interact through spin-orbit coupling, in which case it is useful to **couple** their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, can interact through Coulomb forces, and then it is useful to couple their momenta...

2. ...be much greater than the frequency at which the temperature oscillates. Or place a repeater after the thermocouple so that the signal in the cable is stronger and the receiving equipment is compensated to be able to **couple** with that repeater. These tensions can be caused by inductive reception (a problem when measuring the temperature of motor and transformer parts) or by connections to t...","1. ...vation), but the sum of the two angular momenta usually is. For example, the spin and the motion of an electron can interact through spin-orbit coupling, in which case it is useful to **couple** their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, can interact through Coulomb forces, and then it is useful to couple the moment...

2. ...is much higher than the frequency at which the temperature oscillates. Or place a repeater after the thermocouple so that the signal in the cable is stronger and the receiving equipment is calibrated to be able to **connect** that repeater. These tensions can be caused either by inductive reception (a problem when measuring the temperature of motor parts and transformers) or by the connections to...","1. ...vation), but the sum of the two angular momenta usually is. For example, the spin and motion of an electron can interact through spin-orbit coupling, in which case it is useful to couple their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, can interact through Coulomb forces, and then it is useful to couple the momenta...

2. ...is much higher than the frequency at which the temperature oscillates. Or place a repeater after the thermocouple so that the signal in the cable is greater and the receiving equipment is compensated to connect that repeater. These voltages can be caused by inductive reception (a problem when measuring the temperature of engine parts and transformers) or by the connections to terminal connections...","Here are the translations based on the provided examples:

1. ...vation), but the sum of the two angular momenta usually is. For example, the spin and motion of an electron can interact through spin-orbit coupling, in which case it is useful to **couple** their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, can interact via Coulomb forces, and then it is useful to couple the angular momenta...

2. ...much greater than the frequency at which the temperature oscillates. Or place a repeater after the thermocouple so that the signal in the cable is stronger and the receiving equipment is compensated to be able to **connect** that repeater. These voltages can be caused by both inductive reception (a problem when measuring the temperature of motor parts and transformers) or by junctions to connection t..."
acoplar,"('couple', 'connect')","1. ...so it is useful to couple their orbital and spin angular moments. Or two charged particles, each with a well-defined angular moment, can interact through Coulomb forces, and then it is useful to **couple** the angular moments of each particle, resulting in a total angular moment, as a step towards solving the two-particle Schrödinger equation. The coupling of angular moments in...

2. ...that are currently used in almost all personal computers are multicore. A multicore processor implements multiprocessing in a single physical package. Designers can **couple** cores in a multicore device either tightly or loosely. For example, the cores may or may not share caches, and they may implement methods of inter-core communication through shared memory...","1. ...so it is useful to couple their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, can interact through Coulomb forces, and then it is useful to **couple** the angular momenta of each particle, resulting in a total angular momentum, as a step towards solving the two-particle Schrödinger equation. The coupling of angular momenta in...

2. ...that are currently used in almost all personal computers are multicore. A multicore processor implements multiprocessing in a single physical package. Designers can **connect** cores in a multicore device either tightly or loosely. For example, the cores may or may not share caches, and they can implement methods of inter-core communication using shared memory...","1. ...it is useful to couple their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, may interact through Coulomb forces, and then it is useful to couple the angular momenta of each particle, resulting in a total angular momentum, as a step towards solving the Schrödinger equation for two particles. The coupling of angular momenta in...

2. ...that are currently used in almost all personal computers are multicore. A multicore processor implements multiprocessing in a single physical package. Designers can connect cores in a multicore device either tightly or loosely. For example, the cores may or may not share caches, and they may implement inter-core communication methods using shared memory...","Here are the translations of the new examples, considering the context and examples you provided:

1. ...thus it is useful to couple their orbital and spin angular momenta. Or two charged particles, each with a well-defined angular momentum, can interact through Coulomb forces, and then it is useful to couple the angular momenta of each particle resulting in a total angular momentum, as a step for solving the Schrödinger equation for two particles. The coupling of angular momenta in...

2. ...processors currently used in almost all personal computers are multicore. A multicore processor implements multiprocessing in a single physical package. Designers can connect cores in a multicore device tightly or loosely. For example, the cores may or may not share caches, and they may implement methods of inter-core communication through shared memory..."
acoplar,"('couple', 'connect')","Certainly! Here are the translations of the provided contexts into English:

1. ...the primary and secondary coils are weakly magnetically coupled, creating a resonant air-core transformer. However, unlike a conventional transformer, which can **couple** 97%+ of the magnetic fields between the windings, these are coupled, sharing only 10-20% of their respective magnetic fields. Most transformers insulated by oil...

2. ...to suitable values for the circuit's requirements, either directly at the power frequency or through a switched source. Signal and audio transformers are used to **couple** amplifier stages and to couple devices like microphones and recorders to the amplifier inputs. Audio transformers allow telephone circuits to carry a c...","1. ...the primary and secondary coils are weakly magnetically coupled, creating a resonant air-core transformer. However, unlike a conventional transformer, which can couple over 97% of the magnetic fields between the windings, these are coupled, sharing only 10-20% of their respective magnetic fields. Most transformers insulated by oil...

2. ...to suitable values for the circuit's requirements, either directly at the power frequency or through a switched source. Signal and audio transformers are used to connect amplifier stages and to connect devices like microphones and recorders to the input of amplifiers. Audio transformers allow telephony circuits to carry a c...","1. ...the primary and secondary coils are weakly magnetically coupled, creating a resonant air-core transformer. However, unlike a conventional transformer, which can couple over 97% of the magnetic fields between the windings, these are coupled, sharing only 10-20% of their respective magnetic fields. Most oil-insulated transformers...

2. ...to suitable values for the circuit requirements, either directly at the power frequency or through a switched source. Signal and audio transformers are used to couple amplifier stages and to connect devices like microphones and recorders to the input of amplifiers. Audio transformers allow telephone circuits to carry a c...","Certainly! Here are the translations for the new examples:

1. ...the primary and secondary coils are weakly coupled magnetically, creating a resonant air-core transformer. However, unlike a conventional transformer, which can **couple** 97%+ of the magnetic fields between the windings, these are coupled, sharing only 10-20% of their respective magnetic fields. Most oil-insulated transformers...
   
2. ...to suitable values for the circuit's requirements, either directly at the power frequency or through a switched source. Signal and audio transformers are used to **connect** amplifier stages and to connect devices like microphones and recorders to amplifier inputs. Audio transformers allow telephone circuits to carry a c..."
acoplar,"('couple', 'connect')","1. ...and therefore cannot occur in isolated molecules. A second type of non-radiative transition is internal conversion (ic), which occurs when a vibrational state of an excited state can **couple** to a high vibrational state of a lower electronic level. A third type is intersystem crossing (isc), which is a transition to a state with a different spin multiplicity. In molecules...

2. ...Isolation transformers reduce current leakage between the secondary circuit and are used in medical equipment and construction sites. Resonant transformers are used to **couple** between stages of radio receivers, or in high-voltage Tesla coils. The phenomenon of electromagnetic induction on which the operation of the transformer is based was discovered by Michael...","1. ...and therefore cannot occur in isolated molecules. A second type of non-radiative transition is internal conversion (ic), which occurs when a vibrational state of an excited state can **couple** to a high vibrational state of a lower electronic level. A third type is intersystem crossing (isc), which is a transition to a state with a different spin multiplicity. In molecules...

2. ...Isolation transformers reduce current leakage between the secondary circuit and are used in medical equipment and construction sites. Resonant transformers are used to **connect** between stages of radio receivers, or in high-voltage Tesla coils. The phenomenon of electromagnetic induction on which the operation of the transformer is based was discovered by Michael...","1. ...and therefore cannot occur in isolated molecules. A second type of non-radiative transition is internal conversion (ic), which occurs when a vibrational state of an excited state can be **coupled** to a high vibrational state of a lower electronic level. A third type is intersystem crossing (isc), which is a transition to a state with a different spin multiplicity. In molecules...

2. ...Isolation transformers reduce current leakage between the secondary circuit and are used in medical equipment and construction sites. Resonant transformers are used to **couple** stages between radio receivers, or in high-voltage Tesla coils. The phenomenon of electromagnetic induction on which the operation of the transformer is based was discovered by Michael...","Here are the translations for the new examples, using the context provided:

1. ...and therefore cannot occur in isolated molecules. A second type of non-radiative transition is internal conversion (ic), which occurs when a vibrational state of an excited state can **couple** to a high vibrational state of a lower electronic level. A third type is intersystem crossing (isc), which is a transition to a state with a different spin multiplicity. In molecules...

2. ...Isolation transformers reduce current leakage between the secondary circuit and are used in medical equipment and construction sites. Resonant transformers are used to **couple** between stages of radio receivers or in high-voltage Tesla coils. The phenomenon of electromagnetic induction on which the operation of the transformer is based was discovered by Michael..."
acoplar,"('couple', 'connect')","1. ...keeping constant their optical thickness (light absorption in an absorbing medium). Firstly, metal nanoparticles can be used as wavelength scattering elements to **couple** and freely trap the Sun's plane waves in a thin absorbing semiconductor film, transferring the light into a thin absorbing layer. Secondly, metal nanoparticles can...

2. ...wireless charging of electric vehicles (WEVC), has two main types of systems: WEVC technology uses magnetic resonance to **couple** the energy from a Base Charging Unit (BCU) to a Vehicle Charging Unit (VCU). The energy is transferred from the VCU pad through coupling...","1. ...keeping its optical thickness constant (light absorption in an absorbing medium). Firstly, metallic nanoparticles can be used as wavelength scattering elements to **couple** and freely trap the Sun's plane waves in an absorbent semiconductor thin film, transferring the light into a thin absorbing layer. Secondly, the metallic nanoparticles can...

2. ...wireless electric vehicle charging (WEVC) has two main types of systems: WEVC technology uses magnetic resonance to **connect** the energy from a Base Charging Unit (BCU) to a Vehicle Charging Unit (VCU). The energy is transferred from the VCU pad through coupling...","1. ...keeping their optical thickness constant (light absorption in an absorbing medium). Firstly, metal nanoparticles can be used as wavelength scattering elements to couple and freely trap the plane waves of the Sun in a thin, absorbent semiconductor film, transferring the light into a thin absorbent layer. Secondly, metal nanoparticles ca...

2. ...wireless electric vehicle charging (WEVC) comprises two main types of systems: WEVC technology uses magnetic resonance to couple the energy from a Base Charging Unit (BCU) to a Vehicle Charging Unit (VCU). The energy is transferred from the VCU pad through coupl...","Here are the translations of the new examples:

1. ...keeping its optical thickness constant (light absorption in an absorbing medium). Firstly, metal nanoparticles can be used as wavelength scattering elements to **couple** and freely trap the Sun's plane waves in a thin absorbing semiconductor film, transferring the light into a thin absorbing layer. Secondly, metal nanoparticles can...

2. ...wireless electric vehicle charging (WEVC) has two main types of systems: WEVC technology uses magnetic resonance to **couple** the energy from a Base Charging Unit (BCU) to a Vehicle Charging Unit (VCU). The energy is transferred from the VCU pad by means of coupling..."
acoplar,"('couple', 'connect')","1. ...nization in technically used plasmas is usually very low, typically only a few per thousand or less. The electrical conductivity generated by these free charge carriers is used to **couple** electrical energy. By colliding with other atoms or molecules of the gas, the free electrons can transfer their energy to them, thus generating highly reactive species that act on the material to be treated...

2. ...resonant transformer, an electrical component consisting of two high Q coils wound on the same core with capacitors (also known as capacitors) connected between the turns to **couple** the two LC circuits. Resonant transformers are widely used in radio circuits as bandpass filters, and in contactors for electrical power supply. The coupling of induc...","1. ...nization in technically used plasmas is usually very low, typically a few per thousand or less. The electrical conductivity generated by these free charge carriers is used to **couple** electrical energy. By colliding with other atoms or molecules in the gas, the free electrons can transfer their energy to them and thus generate highly reactive species that act on the material being processed...

2. ...resonant transformer, an electrical component that consists of two high-Q coils wound on the same core with capacitors connected between the turns to **connect** the two LC circuits. Resonant transformers are widely used in radio circuits as band-pass filters and in contactors for power supply. The coupling of induc...","1. ...the ionization in technically used plasmas is usually very low, typically just a few per thousand or less. The electrical conductivity generated by these free charge carriers is used to **connect** electrical energy. By colliding with other atoms or molecules of the gas, the free electrons can transfer their energy and thus generate highly reactive species that act on the material to be treated...

2. ...resonant transformer, an electrical component consisting of two high-Q coils wound on the same core with capacitors connected between the turns to **couple** the two LC circuits. Resonant transformers are widely used in radio circuits as band-pass filters and in contactors for power supply. The coupling of induct...","1. ...The ionization in technically used plasmas is usually very low, typically a few per thousand or less. The electrical conductivity generated by these free charge carriers is used to **couple** electrical energy. By colliding with other atoms or molecules of the gas, the free electrons can transfer their energy to them, thereby generating highly reactive species that act on the material to be treated...

2. ...resonant transformer, an electrical component consisting of two high-Q coils wound on the same core with capacitors connected between the turns to **connect** the two LC circuits. Resonant transformers are widely used in radio circuits as band-pass filters, and in contactors for electrical power supply. The coupling of induc..."
acoplar,"('couple', 'connect')","1. ...which also explains the factor ) and the subscripts are referred to in the following formulas, are given by Here, the first factors on the right-hand side are the Clebsch-Gordan coefficients for **coupling** with to obtain . The second factors are the ""reduced matrix elements."" They do not depend on nor on , but they do depend on and, of course, on . To obtain a complete list of equations that n...

2. ...wavelength, they radiate little energy from the transmitter to infinity. One of the uses of the resonant transformer is in the CCFL inverter. Another use of the resonant transformer is to **couple** between states of a superheterodyne receiver, where the selectivity of the receiver is achieved by tuning the transformers at the intermediate frequency of the amplifiers. The Tesla coil is a...","1. ...which also explains the factor ) and the subscripts are named in the following formulas, given by Here, the first factors on the right-hand side are the Clebsch-Gordan coefficients to **couple** with to obtain . The second factors are the ""reduced matrix elements."" They do not depend on nor on , but they depend on and, of course, on . For a complete list of equations that n...

2. ...wavelength, they radiate little energy from the transmitter to infinity. One of the uses of the resonant transformer is in the CCFL inverter. Another use of the resonant transformer is to **connect** between stages of a superheterodyne receiver, where the selectivity of the receiver is achieved by tuning transformers at the intermediate frequency of the amplifiers. The Tesla coil is a...","1. ...which also explains the factor ) and the subscripts are referred to in the following formulas, are given by Here, the first factors on the right-hand side are the Clebsch-Gordan coefficients to **couple** with to obtain . The second factors are the ""reduced matrix elements"". They do not depend on or , but they do depend on and, of course, on . For a complete list of equations that n...

2. ...wavelengths, they radiate little energy from the transmitter to infinity. One of the uses of the resonant transformer is in the CCFL inverter. Another use of the resonant transformer is to **connect** between stages of a superheterodyne receiver, where the selectivity of the receiver is achieved by tuning the transformers to the intermediate frequency of the amplifiers. The Tesla coil is a...","1. ...which also explains the factor ) and the subscripts are named in the following formulas, given by Here, the first factors on the right-hand side are the Clebsch-Gordan coefficients to **couple** with to obtain . The second factors are the ""reduced matrix elements."" They do not depend on or , but they depend on and, of course, on . To obtain a complete list of equations that n...

2. ...wavelength they radiate little energy from the transmitter into infinity. One use of the resonant transformer is in the CCFL inverter. Another use of the resonant transformer is to **couple** between stages of a superheterodyne receiver, where the selectivity of the receiver is achieved by tuning the transformers at the intermediate frequency of the amplifiers. The Tesla coil is a..."
aislador,"('isolator', 'insulator')","1. ... They are electrically insulated and are typically used alongside strings of insulators. The function of the corona ring is to distribute and homogenize the intensity of the electric field around the **insulator** in the lower area, where the distribution of the applied voltage is greater, and to eliminate potential causes of material deterioration and accumulation of contaminants on the insulator's surface. The rings...

2. ...construct informal housing, which, in turn, causes other environmental impacts and overloads local infrastructure and public services. Disc Insulators Disc insulators are a type of **insulator** used in electrical transmission and distribution lines. They are mainly made of glass and ceramic, and their characteristics are standardized according to the weight or force they can withstand, level of contam...","1. .... They are electrically insulated and are typically used alongside strings of insulators. The function of the corona ring is to distribute and homogenize the intensity of the electric field around the **insulator** in the lower area, where the distribution of the applied voltage is greater, and to eliminate potential causes of material deterioration and accumulation of contaminants on the surface of the insulator. The rings...

2. ...construct informal housing, and this, in turn, causes other environmental impacts and overloads local infrastructure and public services. Disc insulators Disc insulators are a type of **insulator** used in electrical transmission and distribution lines. They are mainly made of glass and ceramic, and their characteristics are standardized according to the weight or force they can withstand, level of contam...","1. ... They are electrically insulated and are typically used alongside strings of insulators. The function of the corona ring is to distribute and homogenize the intensity of the electric field around the **insulator** in the lower area, where the distribution of the applied voltage is greater, and to eliminate possible causes of material deterioration and accumulation of contaminants on the insulator's surface. The rings...

2. ...build informal housing, which in turn causes other environmental impacts and overloads local infrastructure and public services. Disc insulators Disc insulators are a type of **insulator** used in electrical transmission and distribution lines. They are mainly made of glass and ceramic, and their characteristics are standardized based on the weight or force they can support, the level of contamination...","Here are the translations for the new examples:

1. ... They are electrically isolated and are usually used alongside strings of insulators. The function of the anti-corona ring is to distribute and homogenize the intensity of the electric field around the **insulator** in the lower area, where the distribution of the applied voltage is greater, and to eliminate possible causes of material deterioration and accumulation of contaminants on the surface of the insulator. The rings...

2. ...build informal housing, and this, in turn, causes other environmental impacts and overloads local infrastructure and public services. Disc insulators Disc insulators are a type of **insulator** used in electrical transmission and distribution lines. They are mainly made of glass and ceramic, and their characteristics are standardized according to weight or load-bearing capacity, level of contamination..."
aislador,"('isolator', 'insulator')","1. ...the older ones used a vacuum tube called a klystron to generate microwaves, but modern spectrometers use a Gunn diode. Immediately after the microwave source, there is an **isolator** that serves to attenuate any reflection that returns to the source, which could result in fluctuations of the microwave frequency. The microwaves then pass through a directional coupler...

2. ...behavior in response to contamination, this type of isolators has progressively fallen into disuse. In these types of applications, a string of disc isolators is now replaced by a single polymeric **isolator**, which also simplifies its installation or replacement. Three laws of robotics The three laws of robotics or Asimov's laws are a set of rules devised by the science fiction writer...","Certainly, here are the translations with the appropriate context for ""aislador"":

1. ...the older ones used a vacuum tube called a klystron to generate microwaves, but modern spectrometers use a Gunn diode. Immediately after the microwave source, there is an **isolator** that serves to attenuate any reflection that returns to the source, which could result in microwave frequency fluctuations. The microwaves then pass through a directional coupler...

2. ...performance in the face of contamination, this type of insulator has progressively fallen into disuse. In these types of applications, a string of disc insulators is now replaced by a single polymeric **insulator**, which also simplifies its installation or replacement. Three Laws of Robotics The Three Laws of Robotics or Asimov's Laws are a set of rules devised by the science fiction writer...","1. ...older models used a vacuum tube called a klystron to generate microwaves, but modern spectrometers use a Gunn diode. Immediately after the microwave source, there is an **isolator** that serves to attenuate any reflection returning to the source, which could result in fluctuations of the microwave frequency. The microwaves then pass through a directional coupler...

2. ...due to their behavior under contamination, this type of insulators has progressively fallen into disuse. In such applications, a string of disc insulators is now replaced by a single **polymeric insulator**, which also simplifies its installation or replacement. Three Laws of Robotics The Three Laws of Robotics or Asimov's Laws are a set of rules devised by the science fiction writer...","Certainly! Here are the translations based on the given contexts:

1. ...older models used a vacuum tube called a klystron to generate microwaves, but modern spectrometers use a Gunn diode. Immediately after the microwave source, there is an **isolator** that serves to attenuate any reflection that returns to the source, which could result in fluctuations in the microwave frequency. The microwaves then pass through a directional coupler...

2. ...performance in the face of contamination, this type of insulators has been progressively falling into disuse. In these types of applications, a chain of disc insulators is now replaced by a single **polymeric insulator**, which also simplifies its installation or replacement. Three Laws of Robotics The Three Laws of Robotics or Asimov's Laws are a set of rules devised by the science..."
aislador,"('isolator', 'insulator')","1. ...of the line. The corrosion and erosion due to ozone and nitrogen oxides created by the corona are processes that coexist with the corona discharge. As a result, corrosion occurs on the porcelain **insulator** (the figure below shows the 2 formed separations). Corona Effect: environmental and safety concern As mentioned, partial discharge is a source of interference...

2. ...it behaves like a short circuit, reflecting all the power, so there will be no voltage at the detector's output. Since the power is reflected towards the generator, some type of **isolator** is usually included for protection. The high Q of these cavities makes it difficult to locate the resonance, so a dissipative element is usually included to reduce it. Still, the wavemeter allows for a very accurate measur...","Certainly! Here are the translations of the provided contexts, taking into account the appropriate usage of ""isolator"" and ""insulator"":

1. ...of the line. Corrosion and erosion due to ozone and nitrogen oxides created by the corona are processes that coexist with corona discharge. As a result, corrosion occurs on the porcelain **insulator** (in the figure below, the 2 separations formed can be seen). Corona Effect: Environmental and Safety Concern As mentioned, partial discharge, being a source of noise in aud...

2. ...behaves like a short circuit, reflecting all the power, so there will be no voltage at the detector output. Since the power is reflected back to the generator, some type of **isolator** is usually included for its protection. The high Q of these cavities makes it difficult to locate the resonance, so a dissipative element is usually included to reduce it. Nevertheless, the wavemeter allows for a very pr...","1. ...of the line. Corrosion and erosion due to ozone and nitrogen oxides created by corona coexist with corona discharge processes. As a result, corrosion occurs on the porcelain **insulator** (as seen in the figure below, where the two separations are formed). Corona Effect: environmental and safety concern As mentioned, partial discharge is a source of noise in aud...

2. ...behaves like a short circuit, reflecting all the power, so there will be no voltage at the detector output. Since the power is reflected back to the generator, some type of **isolator** is usually included for its protection. The high Q of these cavities makes it difficult to locate the resonance, so a dissipative element is usually included to reduce it. Even so, the wavemeter allows for a very accurate meas...","Certainly! Here are the translations for the new examples:

1. ...of the line. Corrosion and erosion due to ozone and nitrogen oxides created by corona coexist with the corona discharge. Thus, corrosion occurs on the porcelain **insulator** (in the figure below, the 2 formed separations can be seen). Corona Effect: environmental and safety concern As mentioned, partial discharge, as it is a source of audible noise...

2. ...behaves like a short circuit, reflecting all the power, so there will be no voltage at the detector's output. Since the power is reflected back to the generator, some type of **isolator** is usually included for its protection. The high Q of these cavities makes it difficult to locate the resonance, so a dissipative element is usually included to reduce it. Even so, the wavemeter allows for a very precise meas..."
