basque,spanish,context
abiarazle,disparador,Technological Sciences > Computer technology
abiarazle,iniciador,Medical Sciences > Microbiology
abiarazle, primer,Medical Sciences > Microbiology
abokatu,avocar,Juridical Sciences & Law > Administrative law
abokatu,abogado,Juridical Sciences & Law > Procedural law
abonatu,abonar,Juridical Sciences & Law > Finance law
abonatu,abonado,Technological Sciences > Electrical technology and engineering
abonatu, cliente,Technological Sciences > Electrical technology and engineering
abonatu, usuario,Technological Sciences > Electrical technology and engineering
abonatu,abonar,Economic Sciences > Economic accounting
abonatu, anotar en la parte derecha de la cuenta,Economic Sciences > Economic accounting
abonatu, colocar,Economic Sciences > Economic accounting
adar-korronte,corriente de rama,Technological Sciences > Electronic technology
adar-korronte,intensidad de rama,Technological Sciences > Electrical technology and engineering
adierazi,expresar,Mathematics > Analysis and functional analysis
adierazi,confesar,Juridical Sciences & Law > Constitutional law
adierazi, declarar,Juridical Sciences & Law > Constitutional law
adierazpen,expresión,Mathematics > Analysis and functional analysis
adierazpen, representación,Mathematics > Analysis and functional analysis
adierazpen,declaración,Juridical Sciences & Law > Civil law
adierazpen,expresión,Physics > General Physics specialities
adierazpen,declaración,Juridical Sciences & Law > Procedural law
adierazpen,expresión,Mathematics > Algebra
adierazpen,expresión,Life sciences > Biochemistry and Molecular Biology
adierazpen, expresión genética,Life sciences > Biochemistry and Molecular Biology
adierazpen, expresión génica,Life sciences > Biochemistry and Molecular Biology
adierazpen,declaración,Medical Sciences > Nutritional sciences
adierazpen,declaración,Juridical Sciences & Law > Constitutional law
adierazpen,declaración,Juridical Sciences & Law > Labour and Social Security law
adierazpen analitiko,representación analítica,Mathematics > Analysis and functional analysis
adierazpen analitiko,expresión analítica,Technological Sciences > Telecommunications technology
adierazpen bektorial,expresión vectorial,Physics > Electro-magnetism
adierazpen bektorial,representación vectorial,Technological Sciences > Electrical technology and engineering
adierazpen esponentzial,expresión exponencial,Mathematics > Analysis and functional analysis
adierazpen esponentzial,representación exponencial,Technological Sciences > Electrical technology and engineering
adierazpen grafiko,representación gráfica,Mathematics > Analysis and functional analysis
adierazpen grafiko,representación gráfica,Technological Sciences > Mechanical engineering and technology
adierazpen grafiko,expresión gráfica,Technological Sciences > Industrial technology
adierazpen grafiko, dibujo técnico,Technological Sciences > Industrial technology
adierazpen grafiko, expresión gráfica,Technological Sciences > Industrial technology
adierazpen grafiko,representación gráfica,Technological Sciences > Electrical technology and engineering
adierazpen grafiko,expresión gráfica,Technological Sciences > Projects
adingabe,menor de edad,Juridical Sciences & Law > Constitutional law
adingabe,menor de edad,Juridical Sciences & Law > Finance law
adingabe,menor de edad,Juridical Sciences & Law > Labour and Social Security law
adingabe,menor,Education sciences
adingabe,menor de edad,Juridical Sciences & Law > Canon law
aditu,experto,Technological Sciences > Environmental technology and engineering
aditu,perito,Technological Sciences > Projects
aditu,experto,Juridical Sciences & Law > Law Philosophy
aditu, perito,Juridical Sciences & Law > Law Philosophy
adjudikazio,adjudicación,Juridical Sciences & Law > Roman law
adjudikazio,adjudicación,Juridical Sciences & Law > Finance law
adjudikazio,adjudicación,Technological Sciences > Telecommunications technology
adjudikazio,adjudicación,Juridical Sciences & Law > Administrative law
adjudikazio,adjudicación de bienes,Juridical Sciences & Law > Procedural law
administrazio lokal,administración local,Juridical Sciences & Law > Administrative law
administrazio lokal,Administración Local,Juridical Sciences & Law > Labour and Social Security law
administrazio-prozedura,procedimiento,Juridical Sciences & Law > Administrative law
administrazio-prozedura,procedimiento administrativo,Technological Sciences > Projects
adostasun,conformidad,Technological Sciences > Projects
adostasun,conformidad,Juridical Sciences & Law > Constitutional law
adostasun,acuerdo,Juridical Sciences & Law > Law Philosophy
adostasun, unanimidad,Juridical Sciences & Law > Law Philosophy
adostasun,consenso,Juridical Sciences & Law > Roman law
adostasun,conformidad,Juridical Sciences & Law > Finance law
adostasun, acuerdo,Juridical Sciences & Law > Finance law
adostasun,acuerdo,Juridical Sciences & Law > International law
adostasun, conformidad,Juridical Sciences & Law > International law
adostasun, consentimiento,Juridical Sciences & Law > International law
adostasun,acuerdo,Education sciences
adostasun,consentimiento,Juridical Sciences & Law > Civil law
adostasun,acuerdo,Juridical Sciences & Law > Labour and Social Security law
adostasun,conformidad,Juridical Sciences & Law > Procedural law
adostasun,consentimiento,Juridical Sciences & Law > Criminal law
afekzio,afección de bienes,Juridical Sciences & Law > Procedural law
afekzio,afección,Juridical Sciences & Law > Finance law
agerraldi,brote,Medical Sciences > Microbiology
agerraldi,brote,Life sciences > Microbiology
agerraldi,comparecencia,Juridical Sciences & Law > Constitutional law
agerraldi,comparecencia,Juridical Sciences & Law > Procedural law
agindu,imperativo,Juridical Sciences & Law > Law Philosophy
agindu, mandato,Juridical Sciences & Law > Law Philosophy
agindu, orden,Juridical Sciences & Law > Law Philosophy
agindu, mandar,Juridical Sciences & Law > Law Philosophy
agindu, ordenar,Juridical Sciences & Law > Law Philosophy
agindu, prometer,Juridical Sciences & Law > Law Philosophy
agindu,prescripción,Medical Sciences > Pharmacology
agindu,instrucción,Technological Sciences > Computer technology
agindu, sentencia,Technological Sciences > Computer technology
agindu,orden,Medical Sciences > Nutritional sciences
agindu,instrucción,Technological Sciences > Instrumentation technology
agintaritza,autoridad,Juridical Sciences & Law > Constitutional law
agintaritza,potestad,Juridical Sciences & Law > Roman law
agintaritza,autoridad,Juridical Sciences & Law > Administrative law
aginte,poder,Juridical Sciences & Law > Constitutional law
aginte,control,Technological Sciences > Electrical technology and engineering
aginte, mando,Technological Sciences > Electrical technology and engineering
aginte,autoridad,Juridical Sciences & Law > Law Philosophy
aginte, mando,Juridical Sciences & Law > Law Philosophy
agregatu,agregado,Technological Sciences > Environmental technology and engineering
agregatu, copo,Technological Sciences > Environmental technology and engineering
agregatu, flóculo,Technological Sciences > Environmental technology and engineering
