english,basque,context
absorber,absorbatzaile,Technological Sciences > Environmental technology and engineering
absorber, agente absorbatzaile,Technological Sciences > Environmental technology and engineering
absorber, xahutzaile,Technological Sciences > Environmental technology and engineering
absorber, xurgatzaile,Technological Sciences > Environmental technology and engineering
absorber,motelgailu,Technological Sciences > Mechanical engineering and technology
action,akzio,Technological Sciences > Construction technology
action,akzio,Technological Sciences > Instrumentation technology
action,akzio,Physics > Mechanics
action,efektu,Medical Sciences > Pharmaceutical Technology
action, eragin,Medical Sciences > Pharmaceutical Technology
action,akzio,Physics > Electro-magnetism
action, ekintza,Physics > Electro-magnetism
action,ekintza,Medical Sciences > Pharmacology
action,ekintza,Mathematics > Algebra
activity,aktibitate,Medical Sciences > Pharmaceutical Technology
activity,aktibitate,Medical Sciences > Medical diagnostic and Treatment Technology
activity,aktibitate,Medical Sciences > Pharmacology
activity,aktibitate,Chemistry > Analytical chemistry
activity,jarduera,Technological Sciences > Environmental technology and engineering
activity,aktibitate,Chemistry > Physical chemistry
activity,aktibitate,Physics > General Physics specialities
activity,jarduera,Life sciences > Animal Biology
activity,jarduera,Technological Sciences > Projects
activity,aktibitate,Physics > Thermodynamics
addition,batuketa,Physics > Electro-magnetism
addition,batuketa,Mathematics > Algebra
addition,batuketa,Mathematics > Analysis and functional analysis
addition,batura,Life sciences > Animal Biology
addition,batuketa,Physics > General Physics specialities
adenosine diphosphate,adenosina difosfato,Life sciences > Biochemistry and Molecular Biology
adenosine diphosphate, adenosina-5-difosfato,Life sciences > Biochemistry and Molecular Biology
adenosine diphosphate,adenosin difosfato,Life sciences > Cell biology
adenosine monophosphate,adenosin monofosfato,Life sciences > Cell biology
adenosine monophosphate,adenosina monofosfato,Life sciences > Biochemistry and Molecular Biology
adenosine monophosphate, adenosina-5-monofosfato,Life sciences > Biochemistry and Molecular Biology
adenosine triphosphate,adenosina trifosfato,Life sciences > Biochemistry and Molecular Biology
adenosine triphosphate, adenosina-5-trifosfato,Life sciences > Biochemistry and Molecular Biology
adenosine triphosphate,adenosin trifosfato,Life sciences > Human physiology
adenosine triphosphate,adenosin trifosfato,Life sciences > Cell biology
adjustment,doikuntza,Chemistry > Physical chemistry
adjustment,doikuntza,Economic Sciences > Econometrics
adjustment,likidazio,Technological Sciences > Projects
adjustment,egokitasun,Medical Sciences > Pharmacology
adjustment,doikuntza,Technological Sciences > Electrical technology and engineering
adjustment,erregularizazio,Economic Sciences > Organization and management of enterprises
agent,kudeatzaile,Technological Sciences > Environmental technology and engineering
agent,agente,Medical Sciences > Pharmaceutical Technology
agent,agente,Medical Sciences > Medical diagnostic and Treatment Technology
allocation,atribuzio,Technological Sciences > Telecommunications technology
allocation,esleipen,Technological Sciences > Projects
allocation,esleipen,Economic Sciences > Economic theory
allowance,hobari,Economic Sciences > Organization and management of enterprises
allowance,perdoi,Technological Sciences > Industrial technology
amortization,amortizazio,Technological Sciences > Projects
amortization,amortizazio,Economic Sciences > General economics
amortization,amortizazio finantzario,Economic Sciences > Organization and management of enterprises
amortization, finantza-amortizazio,Economic Sciences > Organization and management of enterprises
amperage,intentsitate,Physics > Electro-magnetism
amperage,korronte,Technological Sciences > Electrical technology and engineering
amperage, korronte-intentsitate,Technological Sciences > Electrical technology and engineering
anaerobic conditions,anaerobiosi,Life sciences > Biochemistry and Molecular Biology
anaerobic conditions, baldintza anaerobikoak,Life sciences > Biochemistry and Molecular Biology
anaerobic conditions,baldintza anaerobiko,Technological Sciences > Environmental technology and engineering
angular unconformity,diskordantzia,Earth and Space Sciences > Geology
angular unconformity,diskortantzia angular,Technological Sciences > Environmental technology and engineering
antimicrobial resistance,antimikrobianoen erresistentzia,Medical Sciences > Pharmacology
