basque,english,context
abatz,hub,Technological Sciences > Industrial technology
abatz,bushing,Technological Sciences > Electrical technology and engineering
abiadura,speed,Technological Sciences > Computer technology
abiadura,rate,Chemistry > Physical chemistry
abiadura,velocity; speed,Physics > General Physics specialities
abiadura,rate; speed; velocity,Technological Sciences > Environmental technology and engineering
abiadura,rate; kinetic energy,Medical Sciences > Pharmaceutical Technology
abiadura,speed; velocity,Technological Sciences > Instrumentation technology
abiadura,linear velocity; speed; velocity,Physics > Mechanics
abiadura,speed; velocity,Technological Sciences > Electrical technology and engineering
abiadura,velocity,Life sciences > Animal Biology
abiadura,linear velocity; speed; velocity,Physics > Electro-magnetism
abiadura,linear velocity; velocity,Physics > Aplied Physics
abiadura angeluar,angular velocity,Life sciences > Biochemistry and Molecular Biology
abiadura angeluar,angular velocity,Physics > Aplied Physics
abiadura angeluar,angular velocity; angular speed,Physics > General Physics specialities
abiadura angeluar,angular velocity,Earth and Space Sciences > Geology
abiadura angeluar,angular speed,Technological Sciences > Electrical technology and engineering
abiadura angeluar,angular velocity,Physics > Mechanics
abiadura bektore,velocity vector,Physics > Aplied Physics
abiadura bektore,linear velocity; speed; velocity,Physics > Electro-magnetism
abiadura lineal,linear velocity; velocity,Physics > Aplied Physics
abiadura lineal,linear speed,Technological Sciences > Electrical technology and engineering
abiadura lineal,linear velocity; speed; velocity,Physics > Electro-magnetism
abiadura lineal,linear velocity; speed; velocity,Physics > Mechanics
abiadura lineal,linear velocity,Earth and Space Sciences > Geology
abiadura-konstante,velocity constant,Physics > Electro-magnetism
abiadura-konstante,rate constant,Medical Sciences > Pharmaceutical Technology
abiadura-konstante,rate constant; rate-constant,Chemistry > Physical chemistry
abiarazle,trigger,Technological Sciences > Computer technology
abiarazle,primer,Medical Sciences > Microbiology
abio,start-up,Technological Sciences > Instrumentation technology
abio,starting,Technological Sciences > Electrical technology and engineering
abstinentzia-sindrome,abstinence syndrome,Medical Sciences > Pharmacology
abstinentzia-sindrome,withdrawal syndrome,Medical Sciences > Public health
adierazle,indicator,Economic Sciences > Econometrics
adierazle,index; indicator,Technological Sciences > Environmental technology and engineering
