english,basque,context
abdomen,abdomen,Life sciences > Human physiology
abdomen,sabel,Medical Sciences > Pharmacology
abdomen,abdomen,Life sciences > Animal Biology
abrasion,abrasio,Medical Sciences > Pathology
abrasion,urradura,Technological Sciences > Environmental technology and engineering
absorber,absorbatzaile; agente absorbatzaile; xahutzaile; xurgatzaile,Technological Sciences > Environmental technology and engineering
absorber,motelgailu,Technological Sciences > Mechanical engineering and technology
absorption,absortzio; xurgapen,Technological Sciences > Environmental technology and engineering
absorption,xurgapen,Technological Sciences > Food technology
absorption,absortzio,Chemistry > Physical chemistry
absorption,xurgapen,Life sciences > Animal Biology
absorption,absortzio; xurgapen,Physics > Electro-magnetism
absorption,absortzio; xurgapen,Chemistry > Analytical chemistry
absorption,xurgapen,Medical Sciences > Pharmacology
absorption,xurgapen,Medical Sciences > Medical diagnostic and Treatment Technology
absorption,absortzio,Technological Sciences > Chemical technology and engineering
absorption,xurgapen,Medical Sciences > Pharmaceutical Technology
absorption,xurgapen,Physics > General Physics specialities
absorption,xurgapen,Life sciences > Microbiology
absorption,xurgapen,Technological Sciences > Telecommunications technology
absorption,xurgapen,Life sciences > Human physiology
absorption coefficient,absortzio-koefiziente,Technological Sciences > Environmental technology and engineering
absorption coefficient,xurgapen-koefiziente,Physics > General Physics specialities
absorption spectrum,absortzio-espektro,Chemistry > Physical chemistry
absorption spectrum,xurgapen-espektro,Physics > General Physics specialities
absorption spectrum,xurgapen-espektro; xurgatze-espektro,Life sciences > Biochemistry and Molecular Biology
access,atzipen; atzitu,Technological Sciences > Computer technology
access,atzipen; sarbide,Technological Sciences > Telecommunications technology
access,sarbide,Technological Sciences > Instrumentation technology
acquisition,erosketa,Technological Sciences > Projects
acquisition,eskuraketa; eskuratze,Technological Sciences > Instrumentation technology
action,akzio,Technological Sciences > Construction technology
action,akzio,Technological Sciences > Instrumentation technology
action,akzio,Physics > Mechanics
action,efektu; eragin,Medical Sciences > Pharmaceutical Technology
action,akzio; ekintza,Physics > Electro-magnetism
action,ekintza,Medical Sciences > Pharmacology
action,ekintza,Mathematics > Algebra
activation energy,aktibazio-energia,Medical Sciences > Pharmaceutical Technology
activation energy,aktibazio-energia,Life sciences > Biochemistry and Molecular Biology
activation energy,aktibatze-energia; eraginkortze-energia,Chemistry > Physical chemistry
activation energy,aktibazio-energia,Chemistry > Organic chemistry
activity,aktibitate,Medical Sciences > Pharmaceutical Technology
activity,aktibitate,Medical Sciences > Medical diagnostic and Treatment Technology
activity,aktibitate,Medical Sciences > Pharmacology
activity,aktibitate,Chemistry > Analytical chemistry
activity,jarduera,Technological Sciences > Environmental technology and engineering
activity,aktibitate,Chemistry > Physical chemistry
activity,aktibitate,Physics > General Physics specialities
activity,jarduera,Life sciences > Animal Biology
activity,jarduera,Technological Sciences > Projects
activity,aktibitate,Physics > Thermodynamics
actuator,eragingailu,Technological Sciences > Instrumentation technology
actuator,eragingailu,Technological Sciences > Electrical technology and engineering
actuator,eragile,Technological Sciences > Environmental technology and engineering
adaptation,moldaketa; moldatze,Technological Sciences > Environmental technology and engineering
adaptation,moldapen,Life sciences > Animal Biology
adder,batutzaile,Technological Sciences > Computer technology
adder,batugailu,Technological Sciences > Telecommunications technology
addition,batuketa,Physics > Electro-magnetism
addition,batuketa,Mathematics > Algebra
addition,batuketa,Mathematics > Analysis and functional analysis
addition,batura,Life sciences > Animal Biology
addition,batuketa,Physics > General Physics specialities
additive,aditibo; substantzia gehigarri,Technological Sciences > Environmental technology and engineering
additive,gehigarri,Technological Sciences > Food technology
adenosine diphosphate,adenosina difosfato; adenosina-5-difosfato,Life sciences > Biochemistry and Molecular Biology
adenosine diphosphate,adenosin difosfato,Life sciences > Cell biology
adenosine monophosphate,adenosin monofosfato,Life sciences > Cell biology
adenosine monophosphate,adenosina monofosfato; adenosina-5-monofosfato,Life sciences > Biochemistry and Molecular Biology
adenosine triphosphate,adenosina trifosfato; adenosina-5-trifosfato,Life sciences > Biochemistry and Molecular Biology
adenosine triphosphate,adenosin trifosfato,Life sciences > Human physiology
adenosine triphosphate,adenosin trifosfato,Life sciences > Cell biology
adherent point,puntu itsatsi,Mathematics > Topology
adherent point,puntu atxiki,Mathematics > Analysis and functional analysis
adjustment,doikuntza,Chemistry > Physical chemistry
adjustment,doikuntza,Economic Sciences > Econometrics
adjustment,likidazio,Technological Sciences > Projects
adjustment,egokitasun,Medical Sciences > Pharmacology
adjustment,doikuntza,Technological Sciences > Electrical technology and engineering
adjustment,erregularizazio,Economic Sciences > Organization and management of enterprises
adjuvant,adjubante,Life sciences > Biochemistry and Molecular Biology
adjuvant,lagungarri,Medical Sciences > Pharmacology
administrative procedure,prozedura administratibo,Technological Sciences > Environmental technology and engineering
administrative procedure,administrazio-prozedura,Technological Sciences > Projects
adverse effect,eragin desiragaitz; eragin kaltegarri,Medical Sciences > Pharmacology
adverse effect,efektu desiragaitz; efektu ez desiragarri,Chemistry > Organic chemistry
agarose gel electrophoresis,agarosazko gelean elektroforesi,Medical Sciences > Microbiology
agarose gel electrophoresis,agarosa-gelezko elektroforesi,Life sciences > Biochemistry and Molecular Biology
agent,kudeatzaile,Technological Sciences > Environmental technology and engineering
agent,agente,Medical Sciences > Pharmaceutical Technology
agent,agente,Medical Sciences > Medical diagnostic and Treatment Technology
air/fuel ratio,aire/erregai ratio,Technological Sciences > Chemical technology and engineering
air/fuel ratio,aire/erregai erlazio,Technological Sciences > Environmental technology and engineering
alkalinity,alkalinitate,Chemistry > Analytical chemistry
alkalinity,alkalinotasun,Life sciences > Microbiology
alkalinity,alkalinitate; alkalinotasun; basikotasun,Technological Sciences > Environmental technology and engineering
alkalinity,alkalinotasun,Technological Sciences > Food technology
allocation,atribuzio,Technological Sciences > Telecommunications technology
allocation,esleipen,Technological Sciences > Projects
allocation,esleipen,Economic Sciences > Economic theory
allowance,hobari,Economic Sciences > Organization and management of enterprises
allowance,perdoi,Technological Sciences > Industrial technology
alternative,hautabide,Physics > General Physics specialities
alternative,alternatiba; aukera,Technological Sciences > Projects
amoebic dysentery,ameba-disenteria,Life sciences > Microbiology
