Term,Translation,Context
abiadura,rate; kinetic energy,Medical Sciences > Pharmaceutical Technology
abiadura,rate; speed; velocity,Technological Sciences > Environmental technology and engineering
adierazle,indicator,Medical Sciences > Pharmaceutical Technology
adierazle,index; indicator,Technological Sciences > Environmental technology and engineering
adierazle biologiko,biological marker,Medical Sciences > Pharmaceutical Technology
adierazle biologiko,bioindicator; biological indicator,Technological Sciences > Environmental technology and engineering
araudi,regulations,Medical Sciences > Pharmaceutical Technology
araudi,legislation,Technological Sciences > Environmental technology and engineering
azido klorhidriko,chlorhydric acid,Medical Sciences > Pharmaceutical Technology
azido klorhidriko,hydrochloric acid,Technological Sciences > Environmental technology and engineering
balantza,balance,Medical Sciences > Pharmaceutical Technology
balantza,balance; weighing scale,Technological Sciences > Environmental technology and engineering
balioztapen,validation,Medical Sciences > Pharmaceutical Technology
balioztapen,assessment; evaluation; valuation,Technological Sciences > Environmental technology and engineering
balorazio,assay,Medical Sciences > Pharmaceutical Technology
balorazio,titration; volumetric analysis; assessment; evaluation; valuation,Technological Sciences > Environmental technology and engineering
beira,glass,Medical Sciences > Pharmaceutical Technology
beira,crystal,Technological Sciences > Environmental technology and engineering
biltegi,store,Medical Sciences > Pharmaceutical Technology
biltegi,tank; storehouse,Technological Sciences > Environmental technology and engineering
bolumen-unitate,unit of volume,Medical Sciences > Pharmaceutical Technology
bolumen-unitate,volume unit,Technological Sciences > Environmental technology and engineering
disoluzio,dissolution,Medical Sciences > Pharmaceutical Technology
disoluzio,dissolution; solution,Technological Sciences > Environmental technology and engineering
distira,shine,Medical Sciences > Pharmaceutical Technology
distira,brightness,Technological Sciences > Environmental technology and engineering
dosifikazio,dosage,Medical Sciences > Pharmaceutical Technology
dosifikazio,dosing,Technological Sciences > Environmental technology and engineering
ekoizle,manufacturer,Medical Sciences > Pharmaceutical Technology
ekoizle,producer,Technological Sciences > Environmental technology and engineering
ekoizpen,manufacturing,Medical Sciences > Pharmaceutical Technology
ekoizpen,output; production,Technological Sciences > Environmental technology and engineering
ekuazio,ecuation,Medical Sciences > Pharmaceutical Technology
ekuazio,equation,Technological Sciences > Environmental technology and engineering
elikagai,food,Medical Sciences > Pharmaceutical Technology
elikagai,nutrient,Technological Sciences > Environmental technology and engineering
emari,flow,Medical Sciences > Pharmaceutical Technology
emari,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
eragile,inducer,Medical Sciences > Pharmaceutical Technology
eragile,actuator,Technological Sciences > Environmental technology and engineering
eragin,action; effect,Medical Sciences > Pharmaceutical Technology
eragin,impact,Technological Sciences > Environmental technology and engineering
eraginkortasun,efficiency,Medical Sciences > Pharmaceutical Technology
eraginkortasun,efficacy; efficiency; throughput; yield; effectiveness,Technological Sciences > Environmental technology and engineering
erreaktibo,reagent,Medical Sciences > Pharmaceutical Technology
erreaktibo,reactant; reagent,Technological Sciences > Environmental technology and engineering
erreakzio-abiadura,reaction rate,Medical Sciences > Pharmaceutical Technology
erreakzio-abiadura,rate of reaction; reaction rate,Technological Sciences > Environmental technology and engineering
estaldura,coating; cover,Medical Sciences > Pharmaceutical Technology
estaldura,cover,Technological Sciences > Environmental technology and engineering
estalki,coating; cover,Medical Sciences > Pharmaceutical Technology
estalki,roof,Technological Sciences > Environmental technology and engineering
etekin,yield,Medical Sciences > Pharmaceutical Technology
etekin,efficiency; throughput; yield,Technological Sciences > Environmental technology and engineering
ezaugarri organoleptiko,organoleptic characteristics,Medical Sciences > Pharmaceutical Technology
ezaugarri organoleptiko,organoleptic characteristic; organoleptic property,Technological Sciences > Environmental technology and engineering
fluxu,flux,Medical Sciences > Pharmaceutical Technology
fluxu,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
gantz,fat,Medical Sciences > Pharmaceutical Technology
gantz,fat; grease,Technological Sciences > Environmental technology and engineering
gardentasun,transparency,Medical Sciences > Pharmaceutical Technology
gardentasun,clarity; transparency,Technological Sciences > Environmental technology and engineering
giro-tenperatura,room temperature,Medical Sciences > Pharmaceutical Technology
giro-tenperatura,ambient temperature,Technological Sciences > Environmental technology and engineering
gordailu,reservoir,Medical Sciences > Pharmaceutical Technology
gordailu,reservoir; storage tank,Technological Sciences > Environmental technology and engineering
hauskortasun,friability,Medical Sciences > Pharmaceutical Technology
hauskortasun,brittleness; fragility,Technological Sciences > Environmental technology and engineering
haustura,breaking,Medical Sciences > Pharmaceutical Technology
haustura,break; rupture,Technological Sciences > Environmental technology and engineering
hauts,powder,Medical Sciences > Pharmaceutical Technology
hauts,dust,Technological Sciences > Environmental technology and engineering
hidrogeno-zubi,hydrogen bond,Medical Sciences > Pharmaceutical Technology
hidrogeno-zubi,hydrogen bond; hydrogen bridge,Technological Sciences > Environmental technology and engineering
hondakin,residue,Medical Sciences > Pharmaceutical Technology
hondakin,residue; waste,Technological Sciences > Environmental technology and engineering
hondar,waste,Medical Sciences > Pharmaceutical Technology
hondar,residue; waste; sand,Technological Sciences > Environmental technology and engineering
indargetzaile,buffer,Medical Sciences > Pharmaceutical Technology
indargetzaile,buffer; weakening,Technological Sciences > Environmental technology and engineering
ingurune,media,Medical Sciences > Pharmaceutical Technology
ingurune,environment; medium,Technological Sciences > Environmental technology and engineering
iturri,source,Medical Sciences > Pharmaceutical Technology
iturri,emitter; sender; source; fontain; spring,Technological Sciences > Environmental technology and engineering
itxitura,closure; lock,Medical Sciences > Pharmaceutical Technology
itxitura,closing device; closure,Technological Sciences > Environmental technology and engineering
izozte,freezing,Medical Sciences > Pharmaceutical Technology
izozte,frost,Technological Sciences > Environmental technology and engineering
izpi,beam,Medical Sciences > Pharmaceutical Technology
izpi,ray,Technological Sciences > Environmental technology and engineering
jalkin,precipitate,Medical Sciences > Pharmaceutical Technology
jalkin,sediment,Technological Sciences > Environmental technology and engineering
karga,charge,Medical Sciences > Pharmaceutical Technology
karga,charge; load,Technological Sciences > Environmental technology and engineering
karga elektriko,electric charge,Medical Sciences > Pharmaceutical Technology
karga elektriko,electric charge; electrical charge,Technological Sciences > Environmental technology and engineering
kloruro,klorure,Medical Sciences > Pharmaceutical Technology
kloruro,chloride,Technological Sciences > Environmental technology and engineering
koloratzaile,colouring,Medical Sciences > Pharmaceutical Technology
koloratzaile,colorant; colourant; dye,Technological Sciences > Environmental technology and engineering
kutsadura,contamination,Medical Sciences > Pharmaceutical Technology
kutsadura,contamination; pollution,Technological Sciences > Environmental technology and engineering
lotura,link,Medical Sciences > Pharmaceutical Technology
lotura,bond,Technological Sciences > Environmental technology and engineering
lurrun,steam,Medical Sciences > Pharmaceutical Technology
