Term,Translation,Context
abiadura,linear velocity; velocity,Physics > Aplied Physics
abiadura,speed; velocity,Technological Sciences > Electrical technology and engineering
abiadura angeluar,angular velocity,Physics > Aplied Physics
abiadura angeluar,angular speed,Technological Sciences > Electrical technology and engineering
abiadura lineal,linear velocity; velocity,Physics > Aplied Physics
abiadura lineal,linear speed,Technological Sciences > Electrical technology and engineering
ardatz,axis,Physics > Aplied Physics
ardatz,shaft,Technological Sciences > Electrical technology and engineering
batura bektorial,vector sum,Physics > Aplied Physics
batura bektorial,sum of phasors,Technological Sciences > Electrical technology and engineering
bihurdura,torsion,Physics > Aplied Physics
bihurdura,torque,Technological Sciences > Electrical technology and engineering
bira,revolution,Physics > Aplied Physics
bira,coil; turn,Technological Sciences > Electrical technology and engineering
bonbilla,bulb,Physics > Aplied Physics
bonbilla,lamp,Technological Sciences > Electrical technology and engineering
denbora-tarte,time interval,Physics > Aplied Physics
denbora-tarte,period of time; time period,Technological Sciences > Electrical technology and engineering
energia-iturri,power source,Physics > Aplied Physics
energia-iturri,energy source,Technological Sciences > Electrical technology and engineering
erreferentzia-sistema,frame of reference; reference system,Physics > Aplied Physics
erreferentzia-sistema,reference system,Technological Sciences > Electrical technology and engineering
erresistentzia,resistance,Physics > Aplied Physics
erresistentzia,resistance; resistor,Technological Sciences > Electrical technology and engineering
erresistentzia elektriko,electric resistence,Physics > Aplied Physics
erresistentzia elektriko,ohmic resistance,Technological Sciences > Electrical technology and engineering
etengailu,switch,Physics > Aplied Physics
etengailu,breaker; circuit breaker; interrupter; switch,Technological Sciences > Electrical technology and engineering
frekuentzia,frecuency,Physics > Aplied Physics
frekuentzia,frequency,Technological Sciences > Electrical technology and engineering
hartzaile,receiver,Physics > Aplied Physics
hartzaile,receiver; receiving set,Technological Sciences > Electrical technology and engineering
isolatzaile,isolator,Physics > Aplied Physics
isolatzaile,insulator,Technological Sciences > Electrical technology and engineering
karga,charge,Physics > Aplied Physics
karga,load,Technological Sciences > Electrical technology and engineering
karga elektriko,electric charge,Physics > Aplied Physics
karga elektriko,electric load; electrical load; load,Technological Sciences > Electrical technology and engineering
konexio-kable,conection cable,Physics > Aplied Physics
konexio-kable,connecting cable,Technological Sciences > Electrical technology and engineering
korronte-intentsitate,current,Physics > Aplied Physics
korronte-intentsitate,amperage; current; current intensity; intensity,Technological Sciences > Electrical technology and engineering
maiztasun,frecuency,Physics > Aplied Physics
maiztasun,frequency,Technological Sciences > Electrical technology and engineering
masa,mass,Physics > Aplied Physics
masa,earth; exposed conductive part; earthing; ground connection,Technological Sciences > Electrical technology and engineering
modulu,module; modulus,Physics > Aplied Physics
modulu,modulus,Technological Sciences > Electrical technology and engineering
momentu,moment of a force; torque,Physics > Aplied Physics
momentu,torque,Technological Sciences > Electrical technology and engineering
nukleo,core; nucleus,Physics > Aplied Physics
nukleo,core,Technological Sciences > Electrical technology and engineering
osagai,component,Physics > Aplied Physics
osagai,component; element,Technological Sciences > Electrical technology and engineering
paralelo-konexio,parallel connection,Physics > Aplied Physics
paralelo-konexio,parallel combination,Technological Sciences > Electrical technology and engineering
permitibitate,permittivity,Physics > Aplied Physics
permitibitate,permitivity,Technological Sciences > Electrical technology and engineering
posizio,position,Physics > Aplied Physics
posizio,bay,Technological Sciences > Electrical technology and engineering
potentzial-diferentzia,potential difference,Physics > Aplied Physics
potentzial-diferentzia,potential difference; potential difference; voltage,Technological Sciences > Electrical technology and engineering
saiakuntza,experiment,Physics > Aplied Physics
saiakuntza,test,Technological Sciences > Electrical technology and engineering
tentsio,tension,Physics > Aplied Physics
tentsio,potential difference; voltage,Technological Sciences > Electrical technology and engineering
tortsio,torsion,Physics > Aplied Physics
tortsio,torque,Technological Sciences > Electrical technology and engineering
tresna,device,Physics > Aplied Physics
tresna,apparatus; device,Technological Sciences > Electrical technology and engineering
xafla,plate,Physics > Aplied Physics
xafla,sheet,Technological Sciences > Electrical technology and engineering
