Term,Translation,Context
abiadura,linear velocity; speed; velocity,Physics > Electro-magnetism
abiadura,velocity; speed,Physics > General Physics specialities
aldaratze-indar,repulsive force,Physics > Electro-magnetism
aldaratze-indar,repulsion force; repulsive force,Physics > General Physics specialities
argi-intentsitate,light intensity; luminous intensity,Physics > Electro-magnetism
argi-intentsitate,luminous intensity,Physics > General Physics specialities
azalera,surface area,Physics > Electro-magnetism
azalera,surface,Physics > General Physics specialities
desfase,phase shift,Physics > Electro-magnetism
desfase,phase difference,Physics > General Physics specialities
ekuazio-sistema,system of equations,Physics > Electro-magnetism
ekuazio-sistema,equation system,Physics > General Physics specialities
emari,flow,Physics > Electro-magnetism
emari,flow rate,Physics > General Physics specialities
erakarpen-indar,attraction; attractive force,Physics > Electro-magnetism
erakarpen-indar,attraction force; attractive force,Physics > General Physics specialities
errefrakzio-indize,index of refraction; refractive index,Physics > Electro-magnetism
errefrakzio-indize,refraction index,Physics > General Physics specialities
erresistentzia,ohmic resistance; resistance,Physics > Electro-magnetism
erresistentzia,resistor; resistance,Physics > General Physics specialities
espantsio,espansion,Physics > Electro-magnetism
espantsio,expansion,Physics > General Physics specialities
fase-aldaketa,change of phase; phase change,Physics > Electro-magnetism
fase-aldaketa,phase transition,Physics > General Physics specialities
fluxu,flux,Physics > Electro-magnetism
fluxu,flow,Physics > General Physics specialities
geruza,layer; slab,Physics > Electro-magnetism
geruza,layer,Physics > General Physics specialities
hedapen,propagation; espansion,Physics > Electro-magnetism
hedapen,propagation,Physics > General Physics specialities
hedapen-abiadura,phase velocity; propagation velocity; speed of propagation; velocity of propagation,Physics > Electro-magnetism
hedapen-abiadura,velocity of propagation,Physics > General Physics specialities
higidura,motion; movement,Physics > Electro-magnetism
higidura,motion,Physics > General Physics specialities
higidura erlatibo,relative movement,Physics > Electro-magnetism
higidura erlatibo,relative motion,Physics > General Physics specialities
higidura oszilakor,oscillating motion; oscillating movement; oscillatory motion,Physics > Electro-magnetism
higidura oszilakor,oscillating motion,Physics > General Physics specialities
higidura zuzen,rectilinear motion,Physics > Electro-magnetism
higidura zuzen,linear motion,Physics > General Physics specialities
ibilbide,path; trajectory,Physics > Electro-magnetism
ibilbide,trajectory,Physics > General Physics specialities
integrazio-konstante,integration constant,Physics > Electro-magnetism
integrazio-konstante,constant of integration,Physics > General Physics specialities
irrati-maiztasun,radio frequency; RF,Physics > Electro-magnetism
irrati-maiztasun,radio frequency,Physics > General Physics specialities
izpi ultramore,UV ray,Physics > Electro-magnetism
izpi ultramore,ultraviolet ray,Physics > General Physics specialities
karga elektriko,charge; electric charge; electrical charge,Physics > Electro-magnetism
karga elektriko,electric charge,Physics > General Physics specialities
konprimagarritasun-modulu,bulk modulus,Physics > Electro-magnetism
konprimagarritasun-modulu,compressibility modulus,Physics > General Physics specialities
kontserbazio-lege,conservation law; law of conservation,Physics > Electro-magnetism
kontserbazio-lege,conservation law,Physics > General Physics specialities
magnitude,physical quantity; quantity,Physics > Electro-magnetism
magnitude,quantity,Physics > General Physics specialities
magnitude eskalar,scalar quanty,Physics > Electro-magnetism
magnitude eskalar,scalar quantity,Physics > General Physics specialities
magnitude fisiko,physical quantity; quantity,Physics > Electro-magnetism
magnitude fisiko,physical quantity,Physics > General Physics specialities
maiztasun angeluar,angular frequency; pulsation,Physics > Electro-magnetism
maiztasun angeluar,angular frequency,Physics > General Physics specialities
marruskadura-indar,friction force,Physics > Electro-magnetism
marruskadura-indar,force of friction,Physics > General Physics specialities
metrika,metrics,Physics > Electro-magnetism
metrika,metric,Physics > General Physics specialities
momentu,moment; moment of a force; torque,Physics > Electro-magnetism
momentu,linear momentum; momentum; moment; torque,Physics > General Physics specialities
nazioarteko unitate-sistema,international system of units; International System of Units; SI; SI system,Physics > Electro-magnetism
nazioarteko unitate-sistema,international system of units,Physics > General Physics specialities
neurketa,measurement,Physics > Electro-magnetism
neurketa,measuring,Physics > General Physics specialities
neurri,measure,Physics > Electro-magnetism
neurri,measurement,Physics > General Physics specialities
noranzko,direction of motion; directional sense; sense; sense of motion,Physics > Electro-magnetism
noranzko,direction; sense,Physics > General Physics specialities
oreka-posizio,position of equilibrium,Physics > Electro-magnetism
oreka-posizio,equilibrium position,Physics > General Physics specialities
permitibitate,absolute permittivity; permittivity,Physics > Electro-magnetism
permitibitate,permittivity,Physics > General Physics specialities
perturbazio,disturbance; perturbation,Physics > Electro-magnetism
perturbazio,perturbation,Physics > General Physics specialities
potentzial-diferentzia,potential difference; tension; voltage,Physics > Electro-magnetism
potentzial-diferentzia,voltage,Physics > General Physics specialities
segida,progression; sequence,Physics > Electro-magnetism
segida,sequence,Physics > General Physics specialities
soinu-intentsitate,sound intensity,Physics > Electro-magnetism
soinu-intentsitate,acoustic intensity; sound intensity,Physics > General Physics specialities
solido zurrun,rigid body; solid body,Physics > Electro-magnetism
solido zurrun,rigid body,Physics > General Physics specialities
tentsio,potential difference; tension; voltage,Physics > Electro-magnetism
tentsio,voltage; tension,Physics > General Physics specialities
uhin sinusoidal,sinusoidal wave,Physics > Electro-magnetism
uhin sinusoidal,sine wave,Physics > General Physics specialities
uhin-fronte,wave front; wavefront,Physics > Electro-magnetism
uhin-fronte,wavefront,Physics > General Physics specialities
X izpi,Roentgen rays; X-ray; X-rays,Physics > Electro-magnetism
X izpi,X-ray,Physics > General Physics specialities
