Term,Translation,Context
abiadura,linear velocity; speed; velocity,Physics > Electro-magnetism
abiadura,speed; velocity,Technological Sciences > Electrical technology and engineering
abiadura lineal,linear velocity; speed; velocity,Physics > Electro-magnetism
abiadura lineal,linear speed,Technological Sciences > Electrical technology and engineering
adierazpen bektorial,vector expression,Physics > Electro-magnetism
adierazpen bektorial,vector representation,Technological Sciences > Electrical technology and engineering
akoplatu,couple,Physics > Electro-magnetism
akoplatu,connect,Technological Sciences > Electrical technology and engineering
ardatz,axis,Physics > Electro-magnetism
ardatz,shaft,Technological Sciences > Electrical technology and engineering
armadura,armature,Physics > Electro-magnetism
armadura,armature; armour,Technological Sciences > Electrical technology and engineering
bihurdura,torsion,Physics > Electro-magnetism
bihurdura,torque,Technological Sciences > Electrical technology and engineering
bira,revolution,Physics > Electro-magnetism
bira,coil; turn,Technological Sciences > Electrical technology and engineering
denbora-tarte,period of time,Physics > Electro-magnetism
denbora-tarte,period of time; time period,Technological Sciences > Electrical technology and engineering
desfase,phase shift,Physics > Electro-magnetism
desfase,phase difference; phase displacement; phase shift,Technological Sciences > Electrical technology and engineering
ekuazio-sistema,system of equations,Physics > Electro-magnetism
ekuazio-sistema,equation system,Technological Sciences > Electrical technology and engineering
energia elektriko,electric energy; electrical energy,Physics > Electro-magnetism
energia elektriko,electric power; electrical energy,Technological Sciences > Electrical technology and engineering
eraso-angelu,angle of incidence; incidence angle,Physics > Electro-magnetism
eraso-angelu,angle of attack,Technological Sciences > Electrical technology and engineering
erregimen iragankor,transient regime,Physics > Electro-magnetism
erregimen iragankor,transient state,Technological Sciences > Electrical technology and engineering
erregimen iraunkor,steady state,Physics > Electro-magnetism
erregimen iraunkor,stable regime; steady state,Technological Sciences > Electrical technology and engineering
errendimendu,performance,Physics > Electro-magnetism
errendimendu,efficiency; performance,Technological Sciences > Electrical technology and engineering
erresistentzia,ohmic resistance; resistance,Physics > Electro-magnetism
erresistentzia,resistance; resistor,Technological Sciences > Electrical technology and engineering
erresistentzia elektriko,electrical resistance,Physics > Electro-magnetism
erresistentzia elektriko,ohmic resistance,Technological Sciences > Electrical technology and engineering
estaldura,coverage,Physics > Electro-magnetism
estaldura,outer sheath; oversheath; sheath,Technological Sciences > Electrical technology and engineering
eten,interruption,Physics > Electro-magnetism
