Term,Translation,Context
abiadura,speed; velocity,Technological Sciences > Electrical technology and engineering
abiadura,rate; speed; velocity,Technological Sciences > Environmental technology and engineering
ardatz,shaft,Technological Sciences > Electrical technology and engineering
ardatz,axis,Technological Sciences > Environmental technology and engineering
atalase,threshold,Technological Sciences > Electrical technology and engineering
atalase,limit value; riegel; rock bar; threshold value,Technological Sciences > Environmental technology and engineering
baliokidetasun,equivalence,Technological Sciences > Electrical technology and engineering
baliokidetasun,equivalencia,Technological Sciences > Environmental technology and engineering
betegarri,backfill,Technological Sciences > Electrical technology and engineering
betegarri,packing,Technological Sciences > Environmental technology and engineering
bizitza baliagarri,service life; useful life,Technological Sciences > Electrical technology and engineering
bizitza baliagarri,useful life,Technological Sciences > Environmental technology and engineering
desfase,phase difference; phase displacement; phase shift,Technological Sciences > Electrical technology and engineering
desfase,phase shift,Technological Sciences > Environmental technology and engineering
egoera egonkor,stable regime; steady state,Technological Sciences > Electrical technology and engineering
egoera egonkor,stable condition; stationary phase; steady state,Technological Sciences > Environmental technology and engineering
egoera geldikor,steady-state,Technological Sciences > Electrical technology and engineering
egoera geldikor,stable condition; stationary phase; steady state,Technological Sciences > Environmental technology and engineering
eguzki-panel,PV panel; solar panel,Technological Sciences > Electrical technology and engineering
eguzki-panel,photovoltaic module; photovoltaic panel; solar module; solar panel,Technological Sciences > Environmental technology and engineering
elikadura,energizing; power supply; supply,Technological Sciences > Electrical technology and engineering
elikadura,feed,Technological Sciences > Environmental technology and engineering
energia elektriko,electric power; electrical energy,Technological Sciences > Electrical technology and engineering
energia elektriko,electric energy; electrical energy,Technological Sciences > Environmental technology and engineering
eragiketa,operation; manoeuvre,Technological Sciences > Electrical technology and engineering
eragiketa,operation,Technological Sciences > Environmental technology and engineering
eroanbide,cable duct; cable tray,Technological Sciences > Electrical technology and engineering
eroanbide,duct,Technological Sciences > Environmental technology and engineering
erreaktibo,reactive,Technological Sciences > Electrical technology and engineering
erreaktibo,reactant; reagent,Technological Sciences > Environmental technology and engineering
errendimendu,efficiency; performance,Technological Sciences > Electrical technology and engineering
errendimendu,efficiency; throughput; yield,Technological Sciences > Environmental technology and engineering
erresistentzia,resistance; resistor,Technological Sciences > Electrical technology and engineering
erresistentzia,resistance,Technological Sciences > Environmental technology and engineering
erresistentzia elektriko,ohmic resistance,Technological Sciences > Electrical technology and engineering
erresistentzia elektriko,electrical resistance,Technological Sciences > Environmental technology and engineering
esekidura,hanging,Technological Sciences > Electrical technology and engineering
esekidura,suspension,Technological Sciences > Environmental technology and engineering
estaldura,outer sheath; oversheath; sheath,Technological Sciences > Electrical technology and engineering
estaldura,cover,Technological Sciences > Environmental technology and engineering
etendura,breaking,Technological Sciences > Electrical technology and engineering
etendura,interruption,Technological Sciences > Environmental technology and engineering
etengailu,breaker; circuit breaker; interrupter; switch,Technological Sciences > Electrical technology and engineering
etengailu,switch,Technological Sciences > Environmental technology and engineering
fase-diferentzia,phase difference; phase displacement; phase shift,Technological Sciences > Electrical technology and engineering
fase-diferentzia,phase shift,Technological Sciences > Environmental technology and engineering
fluxu,flux,Technological Sciences > Electrical technology and engineering
fluxu,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
galera,loss; power loss,Technological Sciences > Electrical technology and engineering
galera,loss,Technological Sciences > Environmental technology and engineering
galeria,cable tunnel,Technological Sciences > Electrical technology and engineering
galeria,gallery,Technological Sciences > Environmental technology and engineering
garraiatu,transmit,Technological Sciences > Electrical technology and engineering
garraiatu,transport,Technological Sciences > Environmental technology and engineering
haizagailu,fan,Technological Sciences > Electrical technology and engineering
haizagailu,blower; ventilator,Technological Sciences > Environmental technology and engineering
hartzaile,receiver; receiving set,Technological Sciences > Electrical technology and engineering
hartzaile,receiver; receptor,Technological Sciences > Environmental technology and engineering
hobi,niche,Technological Sciences > Electrical technology and engineering
hobi,hole; ore; sink,Technological Sciences > Environmental technology and engineering
hodi,conduit; duct; pipe,Technological Sciences > Electrical technology and engineering
hodi,tube,Technological Sciences > Environmental technology and engineering
isolatzaile,insulator,Technological Sciences > Electrical technology and engineering
isolatzaile,insulator; isolating,Technological Sciences > Environmental technology and engineering
iturri,source,Technological Sciences > Electrical technology and engineering
iturri,emitter; sender; source; fontain; spring,Technological Sciences > Environmental technology and engineering
karga,load,Technological Sciences > Electrical technology and engineering
karga,charge; load,Technological Sciences > Environmental technology and engineering
karga elektriko,electric load; electrical load; load,Technological Sciences > Electrical technology and engineering
karga elektriko,electric charge; electrical charge,Technological Sciences > Environmental technology and engineering
kondentsadore,capacitor,Technological Sciences > Electrical technology and engineering
kondentsadore,condenser,Technological Sciences > Environmental technology and engineering
kontagailu,electric meter; energy meter,Technological Sciences > Electrical technology and engineering
kontagailu,counter,Technological Sciences > Environmental technology and engineering
lerradura,slip,Technological Sciences > Electrical technology and engineering
lerradura,landslide; landslip,Technological Sciences > Environmental technology and engineering
lubaki,trench,Technological Sciences > Electrical technology and engineering
lubaki,ditch,Technological Sciences > Environmental technology and engineering
muga,limit,Technological Sciences > Electrical technology and engineering
muga,boundary,Technological Sciences > Environmental technology and engineering
neurgailu,measurement device; measuring instrument,Technological Sciences > Electrical technology and engineering
neurgailu,measuring device; measuring instrument,Technological Sciences > Environmental technology and engineering
neurketa,measurement; result of a measurement,Technological Sciences > Electrical technology and engineering
neurketa,measure,Technological Sciences > Environmental technology and engineering
