Term,Translation,Context
adostasun,conformidad,Juridical Sciences & Law > Constitutional law
adostasun,conformidad; acuerdo,Juridical Sciences & Law > Finance law
aitorpen,declaración; reconocimiento,Juridical Sciences & Law > Constitutional law
aitorpen,declaración,Juridical Sciences & Law > Finance law
aitortu,confesar; declarar; reconocer,Juridical Sciences & Law > Constitutional law
aitortu,declarar,Juridical Sciences & Law > Finance law
arakatu,examinar; indagar,Juridical Sciences & Law > Constitutional law
arakatu,averiguar,Juridical Sciences & Law > Finance law
arindu,aligerar,Juridical Sciences & Law > Constitutional law
arindu,atenuar,Juridical Sciences & Law > Finance law
atxiki,vincular,Juridical Sciences & Law > Constitutional law
atxiki,adherir; retener,Juridical Sciences & Law > Finance law
atxikimendu,vinculación; vínculo,Juridical Sciences & Law > Constitutional law
atxikimendu,adhesión,Juridical Sciences & Law > Finance law
barkamen,gracia; perdón,Juridical Sciences & Law > Constitutional law
barkamen,condonación,Juridical Sciences & Law > Finance law
berrespen,ratificación; refrendo,Juridical Sciences & Law > Constitutional law
berrespen,ratificación,Juridical Sciences & Law > Finance law
berretsi,ratificar; refrendar,Juridical Sciences & Law > Constitutional law
berretsi,ratificar,Juridical Sciences & Law > Finance law
deuseztasun,nulidad,Juridical Sciences & Law > Constitutional law
deuseztasun,declaración de nulidad de pleno derecho,Juridical Sciences & Law > Finance law
egiaztatu,certificar,Juridical Sciences & Law > Constitutional law
egiaztatu,acreditar; comprobar,Juridical Sciences & Law > Finance law
egitate,acción; acto,Juridical Sciences & Law > Constitutional law
egitate,hecho,Juridical Sciences & Law > Finance law
ekarpen berezi,aportación especial,Juridical Sciences & Law > Constitutional law
ekarpen berezi,aportación específica,Juridical Sciences & Law > Finance law
ekintza administratibo,acción administrativa,Juridical Sciences & Law > Constitutional law
ekintza administratibo,acto administrativo,Juridical Sciences & Law > Finance law
ekitaldi,sesión,Juridical Sciences & Law > Constitutional law
ekitaldi,ejercicio,Juridical Sciences & Law > Finance law
frogatu,probar,Juridical Sciences & Law > Constitutional law
frogatu,acreditar,Juridical Sciences & Law > Finance law
herri-ogasun,haciendo pública,Juridical Sciences & Law > Constitutional law
herri-ogasun,hacienda,Juridical Sciences & Law > Finance law
izendapen,designación; nombramiento,Juridical Sciences & Law > Constitutional law
izendapen,asignación,Juridical Sciences & Law > Finance law
jabe,dueño; propietario,Juridical Sciences & Law > Constitutional law
jabe,propietario,Juridical Sciences & Law > Finance law
kalte larri,daño grave,Juridical Sciences & Law > Constitutional law
kalte larri,perjuicio grave,Juridical Sciences & Law > Finance law
lansari,remuneración; retribución,Juridical Sciences & Law > Constitutional law
lansari,salario,Juridical Sciences & Law > Finance law
oinarri,base; fundamento,Juridical Sciences & Law > Constitutional law
oinarri,base,Juridical Sciences & Law > Finance law
salbuespen,excepción,Juridical Sciences & Law > Constitutional law
salbuespen,exención,Juridical Sciences & Law > Finance law
sarrera,introducción,Juridical Sciences & Law > Constitutional law
sarrera,ingreso,Juridical Sciences & Law > Finance law
zerga,tributo,Juridical Sciences & Law > Constitutional law
zerga,impuesto,Juridical Sciences & Law > Finance law
zigor,pena,Juridical Sciences & Law > Constitutional law
zigor,castigo; pena,Juridical Sciences & Law > Finance law
