Term,Translation,Context
adostasun,conformidad,Juridical Sciences & Law > Constitutional law
adostasun,acuerdo; unanimidad,Juridical Sciences & Law > Law Philosophy
aginte,poder,Juridical Sciences & Law > Constitutional law
aginte,autoridad; mando,Juridical Sciences & Law > Law Philosophy
ahalmen,potestad,Juridical Sciences & Law > Constitutional law
ahalmen,capacidad; facultad,Juridical Sciences & Law > Law Philosophy
aitortu,confesar; declarar; reconocer,Juridical Sciences & Law > Constitutional law
aitortu,declarar; reconocer,Juridical Sciences & Law > Law Philosophy
akats,defecto,Juridical Sciences & Law > Constitutional law
akats,defecto; error; vicio,Juridical Sciences & Law > Law Philosophy
antolamendu,ordenamiento,Juridical Sciences & Law > Constitutional law
antolamendu,organización,Juridical Sciences & Law > Law Philosophy
araubide,normativa; régimen,Juridical Sciences & Law > Constitutional law
araubide,normativa; reglamentación,Juridical Sciences & Law > Law Philosophy
araudi,erregelamendu; normativa; reglamento,Juridical Sciences & Law > Constitutional law
araudi,normativa; reglamento,Juridical Sciences & Law > Law Philosophy
arautu,normar; normativizar; regular,Juridical Sciences & Law > Constitutional law
arautu,dictar normas; reglamentar; regular,Juridical Sciences & Law > Law Philosophy
arrazoi,motivo,Juridical Sciences & Law > Constitutional law
arrazoi,razón,Juridical Sciences & Law > Law Philosophy
auzi,pleito,Juridical Sciences & Law > Constitutional law
auzi,contencioso; litigio; pleito,Juridical Sciences & Law > Law Philosophy
auzitegi,tribunal,Juridical Sciences & Law > Constitutional law
auzitegi,organismo; tribunal,Juridical Sciences & Law > Law Philosophy
baietsi,estimar,Juridical Sciences & Law > Constitutional law
baietsi,aceptar; consentir,Juridical Sciences & Law > Law Philosophy
baimen,autorización,Juridical Sciences & Law > Constitutional law
baimen,permiso,Juridical Sciences & Law > Law Philosophy
bereizkeria,discriminación,Juridical Sciences & Law > Constitutional law
bereizkeria,diskriminazio,Juridical Sciences & Law > Law Philosophy
berezkotasun,característica propia,Juridical Sciences & Law > Constitutional law
berezkotasun,característica; particularidad,Juridical Sciences & Law > Law Philosophy
berretsi,ratificar; refrendar,Juridical Sciences & Law > Constitutional law
berretsi,confirmar; ratificar,Juridical Sciences & Law > Law Philosophy
betebehar,deber; exigencia; necesidad; obligación,Juridical Sciences & Law > Constitutional law
betebehar,obligación,Juridical Sciences & Law > Law Philosophy
betekizun,función; tarea,Juridical Sciences & Law > Constitutional law
betekizun,obligación,Juridical Sciences & Law > Law Philosophy
diskriminazio,discriminación,Juridical Sciences & Law > Constitutional law
diskriminazio,diskriminazio,Juridical Sciences & Law > Law Philosophy
egiaztatu,certificar,Juridical Sciences & Law > Constitutional law
egiaztatu,certificar; verificar,Juridical Sciences & Law > Law Philosophy
eginbehar,deber; exigencia; necesidad; obligación,Juridical Sciences & Law > Constitutional law
eginbehar,obligación,Juridical Sciences & Law > Law Philosophy
egitate,acción; acto,Juridical Sciences & Law > Constitutional law
egitate,hecho,Juridical Sciences & Law > Law Philosophy
erakunde,institución,Juridical Sciences & Law > Constitutional law
erakunde,entidad; organismo,Juridical Sciences & Law > Law Philosophy
eskubide,derecho,Juridical Sciences & Law > Constitutional law
eskubide,derecho subjetivo,Juridical Sciences & Law > Law Philosophy
eskumen,competencia,Juridical Sciences & Law > Constitutional law
eskumen,ámbito competencial; jurisdicción,Juridical Sciences & Law > Law Philosophy
gaitasun,capacidad,Juridical Sciences & Law > Constitutional law
gaitasun,competencia,Juridical Sciences & Law > Law Philosophy
gertakari,hecho; suceso,Juridical Sciences & Law > Constitutional law
gertakari,suceso,Juridical Sciences & Law > Law Philosophy
gizaki,persona,Juridical Sciences & Law > Constitutional law
gizaki,humano,Juridical Sciences & Law > Law Philosophy
osotasun,integridad,Juridical Sciences & Law > Constitutional law
osotasun,plenitud,Juridical Sciences & Law > Law Philosophy
urratu,violar; vulnerar,Juridical Sciences & Law > Constitutional law
urratu,infringir; transgredir,Juridical Sciences & Law > Law Philosophy
zehapen,sanción,Juridical Sciences & Law > Constitutional law
zehapen,castigo; pena,Juridical Sciences & Law > Law Philosophy
zigor,pena,Juridical Sciences & Law > Constitutional law
zigor,castigo; pena,Juridical Sciences & Law > Law Philosophy
