Term,Translation,Context
agregatu,agregado,Medical Sciences > Pharmaceutical Technology
agregatu,agregado; copo; flóculo,Technological Sciences > Environmental technology and engineering
balioztapen,validación,Medical Sciences > Pharmaceutical Technology
balioztapen,evaluación; valoración,Technological Sciences > Environmental technology and engineering
beira,vidrio,Medical Sciences > Pharmaceutical Technology
beira,cristal,Technological Sciences > Environmental technology and engineering
berogailu,estufa,Medical Sciences > Pharmaceutical Technology
berogailu,calentador,Technological Sciences > Environmental technology and engineering
betetze,llenado,Medical Sciences > Pharmaceutical Technology
betetze,relleno,Technological Sciences > Environmental technology and engineering
biltegi,almacén,Medical Sciences > Pharmaceutical Technology
biltegi,recipiente; tanque; almacén; depósito,Technological Sciences > Environmental technology and engineering
desbideratze estandar,desviación estándar,Medical Sciences > Pharmaceutical Technology
desbideratze estandar,coeficiente de dispersión; desviación estándar; desviación normal,Technological Sciences > Environmental technology and engineering
egonkortzaile,estabilizante,Medical Sciences > Pharmaceutical Technology
egonkortzaile,agente estabilizante; estabilizante,Technological Sciences > Environmental technology and engineering
elikagai,alimento,Medical Sciences > Pharmaceutical Technology
elikagai,nutriente,Technological Sciences > Environmental technology and engineering
eragile,inductor,Medical Sciences > Pharmaceutical Technology
eragile,actuador,Technological Sciences > Environmental technology and engineering
eragin,efecto,Medical Sciences > Pharmaceutical Technology
eragin,impacto,Technological Sciences > Environmental technology and engineering
eraginkortasun,eficacia,Medical Sciences > Pharmaceutical Technology
eraginkortasun,eficacia; eficiencia; rendimiento; efectividad,Technological Sciences > Environmental technology and engineering
estaldura,recubrimiento,Medical Sciences > Pharmaceutical Technology
estaldura,recubrimiento; revestimiento,Technological Sciences > Environmental technology and engineering
estalki,recubrimiento,Medical Sciences > Pharmaceutical Technology
estalki,cubierta,Technological Sciences > Environmental technology and engineering
etekin,rendimiento,Medical Sciences > Pharmaceutical Technology
etekin,eficiencia; rendimiento,Technological Sciences > Environmental technology and engineering
ezaugarri organoleptiko,características organolepticas,Medical Sciences > Pharmaceutical Technology
ezaugarri organoleptiko,característica organoléptica; propiedad organoléptica,Technological Sciences > Environmental technology and engineering
garbiketa,limpieza,Medical Sciences > Pharmaceutical Technology
garbiketa,lavado,Technological Sciences > Environmental technology and engineering
gordailu,reservorio,Medical Sciences > Pharmaceutical Technology
gordailu,reservorio; depósito,Technological Sciences > Environmental technology and engineering
hauskortasun,friabilidad,Medical Sciences > Pharmaceutical Technology
hauskortasun,fragilidad,Technological Sciences > Environmental technology and engineering
haustura,ruptura,Medical Sciences > Pharmaceutical Technology
haustura,rotura; ruptura,Technological Sciences > Environmental technology and engineering
hodi,tubo,Medical Sciences > Pharmaceutical Technology
hodi,conducto; tubo,Technological Sciences > Environmental technology and engineering
hondar,residuo,Medical Sciences > Pharmaceutical Technology
hondar,rechazo; residuo; arena,Technological Sciences > Environmental technology and engineering
indargetzaile,tampón,Medical Sciences > Pharmaceutical Technology
indargetzaile,amortiguador; debilitante,Technological Sciences > Environmental technology and engineering
ingurune,medio,Medical Sciences > Pharmaceutical Technology
ingurune,entorno; medio,Technological Sciences > Environmental technology and engineering
ioi,Ion,Medical Sciences > Pharmaceutical Technology
ioi,ión,Technological Sciences > Environmental technology and engineering
itxitura,cierre,Medical Sciences > Pharmaceutical Technology
itxitura,cerramiento; dispositivo de cierre,Technological Sciences > Environmental technology and engineering
izozte,congelación,Medical Sciences > Pharmaceutical Technology
izozte,helada,Technological Sciences > Environmental technology and engineering
jalkin,precipitado,Medical Sciences > Pharmaceutical Technology
jalkin,sedimento,Technological Sciences > Environmental technology and engineering
nahasketa,mezcla,Medical Sciences > Pharmaceutical Technology
nahasketa,mezcla; mezclado,Technological Sciences > Environmental technology and engineering
neurketa,medida,Medical Sciences > Pharmaceutical Technology
neurketa,medición; medida,Technological Sciences > Environmental technology and engineering
oxidazio-prozesu,proceso oxidativo,Medical Sciences > Pharmaceutical Technology
oxidazio-prozesu,proceso de oxidación,Technological Sciences > Environmental technology and engineering
pikor,granulo,Medical Sciences > Pharmaceutical Technology
pikor,gránulo; grano,Technological Sciences > Environmental technology and engineering
saiakuntza,ensayo,Medical Sciences > Pharmaceutical Technology
saiakuntza,ensayo; experimento; prueba,Technological Sciences > Environmental technology and engineering
substratu,substrato,Medical Sciences > Pharmaceutical Technology
substratu,substrato; sustrato,Technological Sciences > Environmental technology and engineering
talka,percusión,Medical Sciences > Pharmaceutical Technology
talka,colisión,Technological Sciences > Environmental technology and engineering
trinkotasun,consistencia,Medical Sciences > Pharmaceutical Technology
trinkotasun,compactación,Technological Sciences > Environmental technology and engineering
ur-disoluzio,disolución acuosa,Medical Sciences > Pharmaceutical Technology
ur-disoluzio,disolución acuosa; disolución en agua; solución acuosa,Technological Sciences > Environmental technology and engineering
urradura,rozadura,Medical Sciences > Pharmaceutical Technology
urradura,abrasión,Technological Sciences > Environmental technology and engineering
xafla,cuchilla,Medical Sciences > Pharmaceutical Technology
xafla,lámina; plancha,Technological Sciences > Environmental technology and engineering
