Term,Translation,Context
adierazpen bektorial,expresión vectorial,Physics > Electro-magnetism
adierazpen bektorial,representación vectorial,Technological Sciences > Electrical technology and engineering
aldiuneko korronte,corriente instantánea,Physics > Electro-magnetism
aldiuneko korronte,intensidad instantánea,Technological Sciences > Electrical technology and engineering
banaketa,distribución,Physics > Electro-magnetism
banaketa,distribución; reparto,Technological Sciences > Electrical technology and engineering
begizta,bucle,Physics > Electro-magnetism
begizta,bucle; lazo,Technological Sciences > Electrical technology and engineering
biraketa,rotación,Physics > Electro-magnetism
biraketa,giro,Technological Sciences > Electrical technology and engineering
borne,borne,Physics > Electro-magnetism
borne,borne; terminal,Technological Sciences > Electrical technology and engineering
denbora-eremu,dominio del tiempo; dominio temporal,Physics > Electro-magnetism
denbora-eremu,dominio del tiempo,Technological Sciences > Electrical technology and engineering
denbora-tarte,período de tiempo,Physics > Electro-magnetism
denbora-tarte,espacio de tiempo,Technological Sciences > Electrical technology and engineering
eraso-angelu,ángulo de incidencia,Physics > Electro-magnetism
eraso-angelu,ángulo de ataque,Technological Sciences > Electrical technology and engineering
estaldura,cobertura,Physics > Electro-magnetism
estaldura,cubierta; cubierta exterior; envolvente,Technological Sciences > Electrical technology and engineering
eten,interrupcción,Physics > Electro-magnetism
eten,discontinuidad,Technological Sciences > Electrical technology and engineering
fluxu magnetikoaren dentsitate,densidad de flujo magnético; inducción magnética,Physics > Electro-magnetism
fluxu magnetikoaren dentsitate,densidad del flujo magnético,Technological Sciences > Electrical technology and engineering
hari,cable; hilo,Physics > Electro-magnetism
hari,hilo,Technological Sciences > Electrical technology and engineering
karga,carga; carga eléctrica; impedancia de carga,Physics > Electro-magnetism
karga,carga,Technological Sciences > Electrical technology and engineering
korronte elektrikoaren intentsitate,intensidad de la corriente eléctrica; intensidad eléctrica,Physics > Electro-magnetism
korronte elektrikoaren intentsitate,intensidad de corriente eléctrica,Technological Sciences > Electrical technology and engineering
Maxwell-en ekuazioak,ecuación de Maxwell; ecuaciones de Maxwell,Physics > Electro-magnetism
Maxwell-en ekuazioak,ecuaciones de Maxwell,Technological Sciences > Electrical technology and engineering
neurketa,medición,Physics > Electro-magnetism
neurketa,medida,Technological Sciences > Electrical technology and engineering
plaka,chapa; lámina,Physics > Electro-magnetism
plaka,placa,Technological Sciences > Electrical technology and engineering
saiakuntza,experimento,Physics > Electro-magnetism
saiakuntza,ensayo,Technological Sciences > Electrical technology and engineering
serie-elkarketa,asociación en serie; conexión en serie,Physics > Electro-magnetism
serie-elkarketa,asociación en serie,Technological Sciences > Electrical technology and engineering
serie-konexio,asociación en serie; conexión en serie,Physics > Electro-magnetism
serie-konexio,conexión en serie,Technological Sciences > Electrical technology and engineering
tentsio,diferencia de potencial; tensión,Physics > Electro-magnetism
tentsio,diferencia de potencial; tensión; tensión eléctrica; voltaje,Technological Sciences > Electrical technology and engineering
uhin,onda,Physics > Electro-magnetism
uhin,onda; señal,Technological Sciences > Electrical technology and engineering
xafla,chapa; lámina,Physics > Electro-magnetism
xafla,chapa,Technological Sciences > Electrical technology and engineering
