Term,Translation,Context
azalera,área de una superficie; superficie,Physics > Electro-magnetism
azalera,superficie,Technological Sciences > Environmental technology and engineering
barreiadura,dispersión; esparcimiento,Physics > Electro-magnetism
barreiadura,dispersión,Technological Sciences > Environmental technology and engineering
batezbesteko,promedio,Physics > Electro-magnetism
batezbesteko,media; promedio,Technological Sciences > Environmental technology and engineering
distortsio,distortion,Physics > Electro-magnetism
distortsio,distorsión,Technological Sciences > Environmental technology and engineering
eragile,operador,Physics > Electro-magnetism
eragile,actuador,Technological Sciences > Environmental technology and engineering
eraginkortasun,eficiencia,Physics > Electro-magnetism
eraginkortasun,eficacia; eficiencia; rendimiento; efectividad,Technological Sciences > Environmental technology and engineering
erakarpen-indar,atracción; fuerza atractiva; fuerza de atracción,Physics > Electro-magnetism
erakarpen-indar,fuerza de atracción,Technological Sciences > Environmental technology and engineering
estaldura,cobertura,Physics > Electro-magnetism
estaldura,recubrimiento; revestimiento,Technological Sciences > Environmental technology and engineering
estalki,recubrimiento,Physics > Electro-magnetism
estalki,cubierta,Technological Sciences > Environmental technology and engineering
foku,foco; punto focal,Physics > Electro-magnetism
foku,foco; hipocentro,Technological Sciences > Environmental technology and engineering
gailur,pico,Physics > Electro-magnetism
gailur,cima; cumbre,Technological Sciences > Environmental technology and engineering
igorle,emisor,Physics > Electro-magnetism
igorle,emisor; fuente,Technological Sciences > Environmental technology and engineering
igorpen,emisión,Physics > Electro-magnetism
igorpen,emisión; vertido,Technological Sciences > Environmental technology and engineering
ingurune,medio,Physics > Electro-magnetism
ingurune,entorno; medio,Technological Sciences > Environmental technology and engineering
karga,carga; carga eléctrica; impedancia de carga,Physics > Electro-magnetism
karga,carga,Technological Sciences > Environmental technology and engineering
lerrakuntza,corrimiento; desplazamiento,Physics > Electro-magnetism
lerrakuntza,corrimiento; corrimiento de tierras,Technological Sciences > Environmental technology and engineering
marruskadura-indar,fuerza de fricción,Physics > Electro-magnetism
marruskadura-indar,fuerza de fricción; fuerza de rozamiento; fuerzas de rozamiento,Technological Sciences > Environmental technology and engineering
neurketa,medición,Physics > Electro-magnetism
neurketa,medición; medida,Technological Sciences > Environmental technology and engineering
plaka,chapa; lámina,Physics > Electro-magnetism
plaka,placa,Technological Sciences > Environmental technology and engineering
saiakuntza,experimento,Physics > Electro-magnetism
saiakuntza,ensayo; experimento; prueba,Technological Sciences > Environmental technology and engineering
segida,progresión; sucesión,Physics > Electro-magnetism
segida,sucesión,Technological Sciences > Environmental technology and engineering
talka,choque; colisión,Physics > Electro-magnetism
talka,colisión,Technological Sciences > Environmental technology and engineering
tentsio,diferencia de potencial; tensión,Physics > Electro-magnetism
tentsio,tensión,Technological Sciences > Environmental technology and engineering
X izpi,rayo X; rayos Roentgen; rayos X,Physics > Electro-magnetism
X izpi,rayos X,Technological Sciences > Environmental technology and engineering
xafla,chapa; lámina,Physics > Electro-magnetism
xafla,lámina; plancha,Technological Sciences > Environmental technology and engineering
