Term,Translation,Context
adar-korronte,intensidad de rama,Technological Sciences > Electrical technology and engineering
adar-korronte,corriente de rama,Technological Sciences > Electronic technology
begizta,bucle; lazo,Technological Sciences > Electrical technology and engineering
begizta,lazo,Technological Sciences > Electronic technology
egoera egonkor,estado permanente; régimen estable; régimen permanente,Technological Sciences > Electrical technology and engineering
egoera egonkor,régimen permanente,Technological Sciences > Electronic technology
egoera iragankor,estado transitorio; régimen transitorio,Technological Sciences > Electrical technology and engineering
egoera iragankor,régimen transitorio,Technological Sciences > Electronic technology
hartzaile,receptor,Technological Sciences > Electrical technology and engineering
hartzaile,aceptor; aceptor de electrones; receptor,Technological Sciences > Electronic technology
hobi,nicho,Technological Sciences > Electrical technology and engineering
hobi,drenador,Technological Sciences > Electronic technology
hodi,tubo,Technological Sciences > Electrical technology and engineering
hodi,conducto,Technological Sciences > Electronic technology
hornitzaile,proveedor; suministrador,Technological Sciences > Electrical technology and engineering
hornitzaile,proveedor,Technological Sciences > Electronic technology
inbertsore,inversor,Technological Sciences > Electrical technology and engineering
inbertsore,inversor; puerta lógica NO; puerta lógica NOT,Technological Sciences > Electronic technology
karga,carga,Technological Sciences > Electrical technology and engineering
karga,carga eléctrica; carga,Technological Sciences > Electronic technology
korapilo,nudo,Technological Sciences > Electrical technology and engineering
korapilo,nodo,Technological Sciences > Electronic technology
korapiloen metodo,método de nudos,Technological Sciences > Electrical technology and engineering
korapiloen metodo,análisis de nodos; método de los nodos,Technological Sciences > Electronic technology
korronte-zatitzaile,divisor de intensidad,Technological Sciences > Electrical technology and engineering
korronte-zatitzaile,divisor de corriente,Technological Sciences > Electronic technology
lur,tierra,Technological Sciences > Electrical technology and engineering
lur,punto de referencia de tensión; tierra,Technological Sciences > Electronic technology
maila-korronte,intensidad de malla,Technological Sciences > Electrical technology and engineering
maila-korronte,corriente de malla,Technological Sciences > Electronic technology
muga,límite,Technological Sciences > Electrical technology and engineering
muga,frontera,Technological Sciences > Electronic technology
neurketa,medida,Technological Sciences > Electrical technology and engineering
neurketa,medición; medida,Technological Sciences > Electronic technology
osagai,componente; elemento,Technological Sciences > Electrical technology and engineering
osagai,componente,Technological Sciences > Electronic technology
osagai lineal,elemento lineal,Technological Sciences > Electrical technology and engineering
osagai lineal,componente lineal,Technological Sciences > Electronic technology
paralelo-elkarketa,asociación en paralelo,Technological Sciences > Electrical technology and engineering
paralelo-elkarketa,conexión en paralelo,Technological Sciences > Electronic technology
serie-elkarketa,asociación en serie,Technological Sciences > Electrical technology and engineering
serie-elkarketa,conexión en serie,Technological Sciences > Electronic technology
tentsio,diferencia de potencial; tensión; tensión eléctrica; voltaje,Technological Sciences > Electrical technology and engineering
tentsio,diferencia de potencial; tensión; tensión eléctrica,Technological Sciences > Electronic technology
triangelu-konexio,conexión en triángulo; conexión triángulo,Technological Sciences > Electrical technology and engineering
triangelu-konexio,acoplamiento en triángulo; coenxión en triángulo; conexión delta,Technological Sciences > Electronic technology
uhin,onda; señal,Technological Sciences > Electrical technology and engineering
uhin,onda,Technological Sciences > Electronic technology
