Term,Translation,Context
activity,aktibitate,Chemistry > Analytical chemistry
activity,jarduera,Technological Sciences > Environmental technology and engineering
alkalinity,alkalinitate,Chemistry > Analytical chemistry
alkalinity,alkalinitate; alkalinotasun; basikotasun,Technological Sciences > Environmental technology and engineering
atmospheric pressure,presio atmosferiko,Chemistry > Analytical chemistry
atmospheric pressure,egurats presio; presio atmosferiko,Technological Sciences > Environmental technology and engineering
base,base,Chemistry > Analytical chemistry
base,alkali; base,Technological Sciences > Environmental technology and engineering
boiling point,irakite-tenperatura,Chemistry > Analytical chemistry
boiling point,irakite-puntu; irakite-tenperatura,Technological Sciences > Environmental technology and engineering
buffer,indargetzaile,Chemistry > Analytical chemistry
buffer,indargetzaile; tanpoi,Technological Sciences > Environmental technology and engineering
buffer solution,disoluzio indargetzaile,Chemistry > Analytical chemistry
buffer solution,indargetze-disoluzio,Technological Sciences > Environmental technology and engineering
charge,karga,Chemistry > Analytical chemistry
charge,karga; zama,Technological Sciences > Environmental technology and engineering
composition,konposizio,Chemistry > Analytical chemistry
composition,konposizio; osaera,Technological Sciences > Environmental technology and engineering
conductivity,eroankortasun,Chemistry > Analytical chemistry
conductivity,eroaletasun; eroankortasun; konduktibitate,Technological Sciences > Environmental technology and engineering
determination,determinazio,Chemistry > Analytical chemistry
determination,zehaztapen,Technological Sciences > Environmental technology and engineering
distillation,distilazio,Chemistry > Analytical chemistry
distillation,destilazio; distilazio,Technological Sciences > Environmental technology and engineering
efficiency,eraginkortasun,Chemistry > Analytical chemistry
efficiency,eraginkortasun; errendimendu; etekin,Technological Sciences > Environmental technology and engineering
emission intensity,emisioaren intentsitate,Chemistry > Analytical chemistry
emission intensity,emisio-intentsitate; isurpen-intentsitate,Technological Sciences > Environmental technology and engineering
evaporation,lurrunketa,Chemistry > Analytical chemistry
evaporation,ebaporazio; lurrunketa; lurruntze,Technological Sciences > Environmental technology and engineering
exchange,truke,Chemistry > Analytical chemistry
exchange,elkartrukatu,Technological Sciences > Environmental technology and engineering
filtration,iragazketa,Chemistry > Analytical chemistry
filtration,filtrazio; iragazketa; iragazpen,Technological Sciences > Environmental technology and engineering
flow,fluxu,Chemistry > Analytical chemistry
flow,emari; fluxu; jario,Technological Sciences > Environmental technology and engineering
fresh water,ur natural,Chemistry > Analytical chemistry
fresh water,ur geza,Technological Sciences > Environmental technology and engineering
Gaussian distribution,egitura gausiarr,Chemistry > Analytical chemistry
Gaussian distribution,banaketa normal; distribuzio normal; Gauss-en banaketa; Gauss-en distribuzioa,Technological Sciences > Environmental technology and engineering
interaction,elkarrekintza,Chemistry > Analytical chemistry
interaction,elkar-ekintza; elkarrekintza; interakzio,Technological Sciences > Environmental technology and engineering
interphase,interfase,Chemistry > Analytical chemistry
interphase,fasearte,Technological Sciences > Environmental technology and engineering
leaching,erauzketa,Chemistry > Analytical chemistry
leaching,lixibiazio,Technological Sciences > Environmental technology and engineering
ligand,estekatzaile,Chemistry > Analytical chemistry
ligand,agente konplexatzaile; estekatzaile; konplexatzaile,Technological Sciences > Environmental technology and engineering
mass transfer,masa-transferentzia,Chemistry > Analytical chemistry
mass transfer,masa-transferentzia; materia-transferentzia,Technological Sciences > Environmental technology and engineering
mixture,nahaste,Chemistry > Analytical chemistry
mixture,nahasketa; nahaste,Technological Sciences > Environmental technology and engineering
molecular weight,masa molekular,Chemistry > Analytical chemistry
molecular weight,masa molekular; pisu molekular,Technological Sciences > Environmental technology and engineering
packed column,zutabe paketatu,Chemistry > Analytical chemistry
packed column,dorre bete; zutabe bete,Technological Sciences > Environmental technology and engineering
packing,paketatze,Chemistry > Analytical chemistry
packing,betegarri,Technological Sciences > Environmental technology and engineering
phase,fase,Chemistry > Analytical chemistry
phase,irabiagailu birakari; fase,Technological Sciences > Environmental technology and engineering
precipitation reaction,hauspeaketa-erreakzio,Chemistry > Analytical chemistry
precipitation reaction,hauspeatze-erreakzio,Technological Sciences > Environmental technology and engineering
process,prozesu,Chemistry > Analytical chemistry
process,prozesatu; prozesu,Technological Sciences > Environmental technology and engineering
redox potential,erredukzio potentzial,Chemistry > Analytical chemistry
redox potential,erredox potentzial,Technological Sciences > Environmental technology and engineering
redox reaction,erredox-erreakzio,Chemistry > Analytical chemistry
redox reaction,erredox erreakzio; oxidazio-erredukzio erreakzio,Technological Sciences > Environmental technology and engineering
sampling,lagin-biltze; laginketa,Chemistry > Analytical chemistry
sampling,laginketa,Technological Sciences > Environmental technology and engineering
solution,disoluzio,Chemistry > Analytical chemistry
solution,disoluzio; soluzio,Technological Sciences > Environmental technology and engineering
source,iturri,Chemistry > Analytical chemistry
source,igorle; iturburu; iturri; sorburu,Technological Sciences > Environmental technology and engineering
standard deviation,desbidazio estandar,Chemistry > Analytical chemistry
standard deviation,desbideratze estandar; desbideratze normal; dispertsio-koefiziente; sakabanatze-koefiziente,Technological Sciences > Environmental technology and engineering
stationary phase,fase geldikor,Chemistry > Analytical chemistry
stationary phase,fase geldikor; egoera egonkor; egoera geldikor,Technological Sciences > Environmental technology and engineering
strong acid,azido sendo,Chemistry > Analytical chemistry
strong acid,azido indartsu; azido sendo,Technological Sciences > Environmental technology and engineering
strong base,base sendo,Chemistry > Analytical chemistry
strong base,base gogor,Technological Sciences > Environmental technology and engineering
