Term,Translation,Context
absorption,xurgapen,Medical Sciences > Pharmaceutical Technology
absorption,absortzio; xurgapen,Technological Sciences > Environmental technology and engineering
activity,aktibitate,Medical Sciences > Pharmaceutical Technology
activity,jarduera,Technological Sciences > Environmental technology and engineering
agent,agente,Medical Sciences > Pharmaceutical Technology
agent,kudeatzaile,Technological Sciences > Environmental technology and engineering
assessment,zehaztapen,Medical Sciences > Pharmaceutical Technology
assessment,balioespen; balioztapen; balorazio; ebaluazio,Technological Sciences > Environmental technology and engineering
balance,balantza,Medical Sciences > Pharmaceutical Technology
balance,balantze; balantza,Technological Sciences > Environmental technology and engineering
base,base,Medical Sciences > Pharmaceutical Technology
base,alkali; base,Technological Sciences > Environmental technology and engineering
boiling point,Irakite-puntu,Medical Sciences > Pharmaceutical Technology
boiling point,irakite-puntu; irakite-tenperatura,Technological Sciences > Environmental technology and engineering
buffer,indargetzaile,Medical Sciences > Pharmaceutical Technology
buffer,indargetzaile; tanpoi,Technological Sciences > Environmental technology and engineering
buffer solution,disoluzio indargetzaile,Medical Sciences > Pharmaceutical Technology
buffer solution,indargetze-disoluzio,Technological Sciences > Environmental technology and engineering
cake,talo,Medical Sciences > Pharmaceutical Technology
cake,opil,Technological Sciences > Environmental technology and engineering
charge,karga,Medical Sciences > Pharmaceutical Technology
charge,karga; zama,Technological Sciences > Environmental technology and engineering
composition,konposizio,Medical Sciences > Pharmaceutical Technology
composition,konposizio; osaera,Technological Sciences > Environmental technology and engineering
conductivity,eroankortasun,Medical Sciences > Pharmaceutical Technology
conductivity,eroaletasun; eroankortasun; konduktibitate,Technological Sciences > Environmental technology and engineering
contact,ukipen,Medical Sciences > Pharmaceutical Technology
contact,kontaktu,Technological Sciences > Environmental technology and engineering
contamination,kontaminazio; kutsadura,Medical Sciences > Pharmaceutical Technology
contamination,kontaminazio; kutsadura; poluzio,Technological Sciences > Environmental technology and engineering
cover,estaldura; estalki; estaltze,Medical Sciences > Pharmaceutical Technology
cover,estaldura; oinarriko estaldura,Technological Sciences > Environmental technology and engineering
crystallization,kristalizazio,Medical Sciences > Pharmaceutical Technology
crystallization,kristaltze,Technological Sciences > Environmental technology and engineering
decomposition,deskonposizio,Medical Sciences > Pharmaceutical Technology
decomposition,degradazio; deskonposatze; deskonposizio; hondaketa,Technological Sciences > Environmental technology and engineering
efficiency,eraginkortasun,Medical Sciences > Pharmaceutical Technology
efficiency,eraginkortasun; errendimendu; etekin,Technological Sciences > Environmental technology and engineering
evaporation,lurrunketa,Medical Sciences > Pharmaceutical Technology
evaporation,ebaporazio; lurrunketa; lurruntze,Technological Sciences > Environmental technology and engineering
experiment,esperimentu,Medical Sciences > Pharmaceutical Technology
experiment,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
extension,luzakin,Medical Sciences > Pharmaceutical Technology
extension,hedadura,Technological Sciences > Environmental technology and engineering
filtration,iragazketa,Medical Sciences > Pharmaceutical Technology
filtration,filtrazio; iragazketa; iragazpen,Technological Sciences > Environmental technology and engineering
flow,emari,Medical Sciences > Pharmaceutical Technology
flow,emari; fluxu; jario,Technological Sciences > Environmental technology and engineering
fusion,urtze,Medical Sciences > Pharmaceutical Technology
fusion,fusio; urtze,Technological Sciences > Environmental technology and engineering
gas phase,fase gaseoso,Medical Sciences > Pharmaceutical Technology
gas phase,gas fase,Technological Sciences > Environmental technology and engineering
graph,grafiko,Medical Sciences > Pharmaceutical Technology
graph,grafo,Technological Sciences > Environmental technology and engineering
heat transfer,bero-transferentzia,Medical Sciences > Pharmaceutical Technology
heat transfer,bero-transmisio; bero-transmisio; tenperatura kritiko; tenperatura kritiko,Technological Sciences > Environmental technology and engineering
heating,berokuntza,Medical Sciences > Pharmaceutical Technology
heating,beroketa; berotze,Technological Sciences > Environmental technology and engineering
hopper,kalapatxa,Medical Sciences > Pharmaceutical Technology
hopper,elikadura-tobera,Technological Sciences > Environmental technology and engineering
hydrogen bond,hidrogeno-zubi,Medical Sciences > Pharmaceutical Technology
hydrogen bond,hidrogeno-lotura; hidrogeno-zubi,Technological Sciences > Environmental technology and engineering
index,indize,Medical Sciences > Pharmaceutical Technology
index,indize; adierazle; indikatzaile,Technological Sciences > Environmental technology and engineering
interaction,elkarrekintza,Medical Sciences > Pharmaceutical Technology
interaction,elkar-ekintza; elkarrekintza; interakzio,Technological Sciences > Environmental technology and engineering
jet,zorrotada,Medical Sciences > Pharmaceutical Technology
jet,zurrusta,Technological Sciences > Environmental technology and engineering
kinetic energy,abiadura,Medical Sciences > Pharmaceutical Technology
kinetic energy,energia zinetiko,Technological Sciences > Environmental technology and engineering
ligand,ligando,Medical Sciences > Pharmaceutical Technology
ligand,agente konplexatzaile; estekatzaile; konplexatzaile,Technological Sciences > Environmental technology and engineering
molecular weight,pisu molekular,Medical Sciences > Pharmaceutical Technology
molecular weight,masa molekular; pisu molekular,Technological Sciences > Environmental technology and engineering
normal distribution,banaketa normal,Medical Sciences > Pharmaceutical Technology
normal distribution,banaketa normal; distribuzio normal; Gauss-en banaketa; Gauss-en distribuzioa,Technological Sciences > Environmental technology and engineering
operation,funtzionamendu,Medical Sciences > Pharmaceutical Technology
operation,eragiketa,Technological Sciences > Environmental technology and engineering
phase,fase,Medical Sciences > Pharmaceutical Technology
phase,irabiagailu birakari; fase,Technological Sciences > Environmental technology and engineering
process,prozesu,Medical Sciences > Pharmaceutical Technology
process,prozesatu; prozesu,Technological Sciences > Environmental technology and engineering
reduction,murrizketa,Medical Sciences > Pharmaceutical Technology
reduction,erredukzio; murrizketa; murriztapen,Technological Sciences > Environmental technology and engineering
release,askapen,Medical Sciences > Pharmaceutical Technology
release,askatu; emisio; igorpen; isuri; isurketa; isurpen,Technological Sciences > Environmental technology and engineering
residue,hondakin,Medical Sciences > Pharmaceutical Technology
residue,errefus; hondakin; hondar,Technological Sciences > Environmental technology and engineering
rotation,biraketa,Medical Sciences > Pharmaceutical Technology
rotation,biraketa; errotazio,Technological Sciences > Environmental technology and engineering
rubber,kautxu,Medical Sciences > Pharmaceutical Technology
rubber,kautxo,Technological Sciences > Environmental technology and engineering
saturation,asetasun,Medical Sciences > Pharmaceutical Technology
saturation,asetze; saturazio,Technological Sciences > Environmental technology and engineering
solid state,solido egoera,Medical Sciences > Pharmaceutical Technology
solid state,egoera solido,Technological Sciences > Environmental technology and engineering
source,iturri,Medical Sciences > Pharmaceutical Technology
source,igorle; iturburu; iturri; sorburu,Technological Sciences > Environmental technology and engineering
spring,malguki,Medical Sciences > Pharmaceutical Technology
spring,iturburu; iturri,Technological Sciences > Environmental technology and engineering
standard deviation,desbideratze estandar,Medical Sciences > Pharmaceutical Technology
standard deviation,desbideratze estandar; desbideratze normal; dispertsio-koefiziente; sakabanatze-koefiziente,Technological Sciences > Environmental technology and engineering
steam,lurrun,Medical Sciences > Pharmaceutical Technology
steam,ur-lurrun,Technological Sciences > Environmental technology and engineering
surface,azalera; gainazal; azal,Medical Sciences > Pharmaceutical Technology
surface,azalera; gainazal,Technological Sciences > Environmental technology and engineering
suspension,esekidura,Medical Sciences > Pharmaceutical Technology
suspension,esekidura; suspentsio,Technological Sciences > Environmental technology and engineering
test,test,Medical Sciences > Pharmaceutical Technology
test,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
transfer,transferentzia,Medical Sciences > Pharmaceutical Technology
transfer,trasnmisio,Technological Sciences > Environmental technology and engineering
tube,hodi; tutu,Medical Sciences > Pharmaceutical Technology
tube,hodi,Technological Sciences > Environmental technology and engineering
vehicle,eramaile; garraiatzaile,Medical Sciences > Pharmaceutical Technology
vehicle,ibilgailu,Technological Sciences > Environmental technology and engineering
viscosity,likatasun,Medical Sciences > Pharmaceutical Technology
viscosity,biskositate; likatasun,Technological Sciences > Environmental technology and engineering
volumetric flask,matraze,Medical Sciences > Pharmaceutical Technology
volumetric flask,matraze aforatu,Technological Sciences > Environmental technology and engineering
waste,hondar,Medical Sciences > Pharmaceutical Technology
waste,errefus; hondakin; hondar,Technological Sciences > Environmental technology and engineering
