Term,Translation,Context
availability,erabilgarritasun,Physics > Electro-magnetism
availability,erabilgarritasun; eskuragarritasun,Technological Sciences > Environmental technology and engineering
cell,pila; pila elektrokimiko; pila voltaiko,Physics > Electro-magnetism
cell,gela unitate; gelaxka,Technological Sciences > Environmental technology and engineering
charge,karga; karga elektriko,Physics > Electro-magnetism
charge,karga; zama,Technological Sciences > Environmental technology and engineering
conduction,eroapen; eroapen elektriko,Physics > Electro-magnetism
conduction,kondukzio,Technological Sciences > Environmental technology and engineering
conductivity,eroaletasun; eroankortasun,Physics > Electro-magnetism
conductivity,eroaletasun; eroankortasun; konduktibitate,Technological Sciences > Environmental technology and engineering
cover,estalki,Physics > Electro-magnetism
cover,estaldura; oinarriko estaldura,Technological Sciences > Environmental technology and engineering
decomposition,deskonposaketa,Physics > Electro-magnetism
decomposition,degradazio; deskonposatze; deskonposizio; hondaketa,Technological Sciences > Environmental technology and engineering
discontinuity,desjarraitasun; etenune,Physics > Electro-magnetism
discontinuity,etenune,Technological Sciences > Environmental technology and engineering
efficiency,eraginkortasun,Physics > Electro-magnetism
efficiency,eraginkortasun; errendimendu; etekin,Technological Sciences > Environmental technology and engineering
emitter,igorle,Physics > Electro-magnetism
emitter,igorle; iturburu; iturri; sorburu,Technological Sciences > Environmental technology and engineering
energy balance,balantze energetiko,Physics > Electro-magnetism
energy balance,balantze energetiko; energia-balantze,Technological Sciences > Environmental technology and engineering
experiment,esperimentu; saiakuntza,Physics > Electro-magnetism
experiment,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
flow,emari,Physics > Electro-magnetism
flow,emari; fluxu; jario,Technological Sciences > Environmental technology and engineering
focus,foku; foku-puntu,Physics > Electro-magnetism
focus,foku; hipozentro,Technological Sciences > Environmental technology and engineering
generator,generadore; sorgailu,Physics > Electro-magnetism
generator,sorgailu,Technological Sciences > Environmental technology and engineering
height,altuera,Physics > Electro-magnetism
height,altuera; garaiera,Technological Sciences > Environmental technology and engineering
index,indize,Physics > Electro-magnetism
index,indize; adierazle; indikatzaile,Technological Sciences > Environmental technology and engineering
interaction,elkarrekintza; interakzio,Physics > Electro-magnetism
interaction,elkar-ekintza; elkarrekintza; interakzio,Technological Sciences > Environmental technology and engineering
interruption,eten; etenaldi,Physics > Electro-magnetism
interruption,etendura,Technological Sciences > Environmental technology and engineering
linear momentum,higidura-kantitate; momentu lineal,Physics > Electro-magnetism
linear momentum,higidura kantitate; higidura-kantitate,Technological Sciences > Environmental technology and engineering
measure,neurri; neurtu,Physics > Electro-magnetism
measure,neurketa,Technological Sciences > Environmental technology and engineering
mobility,higikortasun,Physics > Electro-magnetism
mobility,mugikortasun,Technological Sciences > Environmental technology and engineering
momentum,higidura-kantitate; momentu lineal,Physics > Electro-magnetism
momentum,higidura kantitate; higidura-kantitate,Technological Sciences > Environmental technology and engineering
phase,fase,Physics > Electro-magnetism
phase,irabiagailu birakari; fase,Technological Sciences > Environmental technology and engineering
phase shift,fase-desplazamendu; fase-lerrakuntza; desfase,Physics > Electro-magnetism
phase shift,desfase; fase-diferentzia,Technological Sciences > Environmental technology and engineering
plate,plaka; xafla,Physics > Electro-magnetism
plate,plaka,Technological Sciences > Environmental technology and engineering
process,prozesu,Physics > Electro-magnetism
process,prozesatu; prozesu,Technological Sciences > Environmental technology and engineering
product,biderkadura,Physics > Electro-magnetism
product,produktu,Technological Sciences > Environmental technology and engineering
propagation,hedapen; propagazio,Physics > Electro-magnetism
propagation,hedatze,Technological Sciences > Environmental technology and engineering
receiver,hargailu; hartzaile,Physics > Electro-magnetism
receiver,hartzaile,Technological Sciences > Environmental technology and engineering
sample,lagindu,Physics > Electro-magnetism
sample,lagin,Technological Sciences > Environmental technology and engineering
sequence,progresio; segida,Physics > Electro-magnetism
sequence,sekuentzia,Technological Sciences > Environmental technology and engineering
sheet,plaka; xafla,Physics > Electro-magnetism
sheet,xafla,Technological Sciences > Environmental technology and engineering
shell,oskol,Physics > Electro-magnetism
shell,maskor,Technological Sciences > Environmental technology and engineering
side,alde,Physics > Electro-magnetism
side,hegal; magal,Technological Sciences > Environmental technology and engineering
sound,soinu,Physics > Electro-magnetism
sound,zunda; soinu,Technological Sciences > Environmental technology and engineering
source,iturri,Physics > Electro-magnetism
source,igorle; iturburu; iturri; sorburu,Technological Sciences > Environmental technology and engineering
steady state,egoera iraunkor; erregimen iraunkor,Physics > Electro-magnetism
steady state,egoera egonkor; egoera geldikor,Technological Sciences > Environmental technology and engineering
superposition,gainezarmen,Physics > Electro-magnetism
superposition,gainezarpen,Technological Sciences > Environmental technology and engineering
surface,gainazal,Physics > Electro-magnetism
surface,azalera; gainazal,Technological Sciences > Environmental technology and engineering
surface area,azalera,Physics > Electro-magnetism
surface area,gainazal-azalera,Technological Sciences > Environmental technology and engineering
surface wave,gainazal-uhin,Physics > Electro-magnetism
surface wave,azaleko uhin,Technological Sciences > Environmental technology and engineering
