Term,Translation,Context
absorption,xurgapen,Physics > General Physics specialities
absorption,absortzio; xurgapen,Technological Sciences > Environmental technology and engineering
absorption coefficient,xurgapen-koefiziente,Physics > General Physics specialities
absorption coefficient,absortzio-koefiziente,Technological Sciences > Environmental technology and engineering
activity,aktibitate,Physics > General Physics specialities
activity,jarduera,Technological Sciences > Environmental technology and engineering
atmospheric pressure,egurats-presio; presio atmosferiko,Physics > General Physics specialities
atmospheric pressure,egurats presio; presio atmosferiko,Technological Sciences > Environmental technology and engineering
charge,kargatu,Physics > General Physics specialities
charge,karga; zama,Technological Sciences > Environmental technology and engineering
conduction,eroapen,Physics > General Physics specialities
conduction,kondukzio,Technological Sciences > Environmental technology and engineering
conductivity,eroankortasun,Physics > General Physics specialities
conductivity,eroaletasun; eroankortasun; konduktibitate,Technological Sciences > Environmental technology and engineering
continuity equation,jarraitutasunaren ekuazio,Physics > General Physics specialities
continuity equation,iraupenaren ekuazio,Technological Sciences > Environmental technology and engineering
conversion factor,bihurtze-faktore,Physics > General Physics specialities
conversion factor,konbertsio faktore,Technological Sciences > Environmental technology and engineering
emitter,igorgailu,Physics > General Physics specialities
emitter,igorle; iturburu; iturri; sorburu,Technological Sciences > Environmental technology and engineering
expansion,espantsio; garapen,Physics > General Physics specialities
expansion,dilatazio; zabalkuntza; espantsio,Technological Sciences > Environmental technology and engineering
experiment,esperimentu; saiakuntza,Physics > General Physics specialities
experiment,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
flow,fluxu,Physics > General Physics specialities
flow,emari; fluxu; jario,Technological Sciences > Environmental technology and engineering
flow rate,emari,Physics > General Physics specialities
flow rate,fluxu-abiadura; emari; fluxu; jario,Technological Sciences > Environmental technology and engineering
ground level,oinarrizko maila,Physics > General Physics specialities
ground level,lurzoru maila,Technological Sciences > Environmental technology and engineering
interaction,elkarrekintza; eragin-truke; interakzio,Physics > General Physics specialities
interaction,elkar-ekintza; elkarrekintza; interakzio,Technological Sciences > Environmental technology and engineering
linear momentum,momentu; momentu lineal,Physics > General Physics specialities
linear momentum,higidura kantitate; higidura-kantitate,Technological Sciences > Environmental technology and engineering
momentum,momentu; momentu lineal,Physics > General Physics specialities
momentum,higidura kantitate; higidura-kantitate,Technological Sciences > Environmental technology and engineering
phase,fase,Physics > General Physics specialities
phase,irabiagailu birakari; fase,Technological Sciences > Environmental technology and engineering
power,berretura; potentzia,Physics > General Physics specialities
power,potentzia,Technological Sciences > Environmental technology and engineering
propagation,hedapen,Physics > General Physics specialities
propagation,hedatze,Technological Sciences > Environmental technology and engineering
receiver,hargailu,Physics > General Physics specialities
receiver,hartzaile,Technological Sciences > Environmental technology and engineering
rotation,biraketa,Physics > General Physics specialities
rotation,biraketa; errotazio,Technological Sciences > Environmental technology and engineering
scale,eskala; balantza,Physics > General Physics specialities
scale,eskala,Technological Sciences > Environmental technology and engineering
sequence,segida,Physics > General Physics specialities
sequence,sekuentzia,Technological Sciences > Environmental technology and engineering
solution,soluzio,Physics > General Physics specialities
solution,disoluzio; soluzio,Technological Sciences > Environmental technology and engineering
spring,malguki,Physics > General Physics specialities
spring,iturburu; iturri,Technological Sciences > Environmental technology and engineering
steady state,egoera geldikor,Physics > General Physics specialities
steady state,egoera egonkor; egoera geldikor,Technological Sciences > Environmental technology and engineering
sunlight,eguzkitiko argi,Physics > General Physics specialities
sunlight,eguzki-argi,Technological Sciences > Environmental technology and engineering
surface,gainazal; azalera,Physics > General Physics specialities
surface,azalera; gainazal,Technological Sciences > Environmental technology and engineering
test,saio,Physics > General Physics specialities
test,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
transformation,transformazio,Physics > General Physics specialities
transformation,eraldaketa; eraldatze; transformazio,Technological Sciences > Environmental technology and engineering
viscosity,biskositate,Physics > General Physics specialities
viscosity,biskositate; likatasun,Technological Sciences > Environmental technology and engineering
