Term,Translation,Context
ampere,ampere unitatea,Technological Sciences > Electrical technology and engineering
ampere,ampere,Technological Sciences > Electronic technology
breakdown,elektroi-olde,Technological Sciences > Electrical technology and engineering
breakdown,haustura,Technological Sciences > Electronic technology
characteristic,ezaugarri-kurba,Technological Sciences > Electrical technology and engineering
characteristic,ezaugarri,Technological Sciences > Electronic technology
coil,bira; espira; bobina; haril,Technological Sciences > Electrical technology and engineering
coil,bobina; haril; induktantzia; indukzio-bobina,Technological Sciences > Electronic technology
conduction,eroapen,Technological Sciences > Electrical technology and engineering
conduction,elektrizitatearen eroapen; eroapen; eroapen elektriko,Technological Sciences > Electronic technology
conductivity,eroaletasun; eroankortasun,Technological Sciences > Electrical technology and engineering
conductivity,eroankortasun; eroankortasun elektriko,Technological Sciences > Electronic technology
current intensity,korronte; korronte-intentsitate,Technological Sciences > Electrical technology and engineering
current intensity,intentsitate; korronte; korrontearen intentsitate,Technological Sciences > Electronic technology
current source,intentsitate-iturri; korronte-iturri,Technological Sciences > Electrical technology and engineering
current source,korronte-sorgailu; korronte sorgailu independente,Technological Sciences > Electronic technology
device,aparatu; gailu; tresna,Technological Sciences > Electrical technology and engineering
device,dispositibo; gailu,Technological Sciences > Electronic technology
duct,hodi; tutu,Technological Sciences > Electrical technology and engineering
duct,hodi,Technological Sciences > Electronic technology
earth,masa; parte eroale irisgarri,Technological Sciences > Electrical technology and engineering
earth,ground; lur,Technological Sciences > Electronic technology
electric power,energia elektriko; potentzia elektriko,Technological Sciences > Electrical technology and engineering
electric power,energia elektriko,Technological Sciences > Electronic technology
feeder,elikadura-linea,Technological Sciences > Electrical technology and engineering
feeder,bateria-kargagailu; elikagailu; kargagailu,Technological Sciences > Electronic technology
flow,igaro; zeharkatu,Technological Sciences > Electrical technology and engineering
flow,fluxu,Technological Sciences > Electronic technology
generator,sorgailu,Technological Sciences > Electrical technology and engineering
generator,sorgailu; sorgailu elektriko,Technological Sciences > Electronic technology
ground,lur,Technological Sciences > Electrical technology and engineering
ground,ground; lur,Technological Sciences > Electronic technology
inductor,induktore,Technological Sciences > Electrical technology and engineering
inductor,haril; induktantzia; indukzio-bobina,Technological Sciences > Electronic technology
Joule effect,Joule efektua,Technological Sciences > Electrical technology and engineering
Joule effect,Joule efektu; Jouleren lege,Technological Sciences > Electronic technology
Kirchhoff's current law,Kirchhoff-en 1. legea,Technological Sciences > Electrical technology and engineering
Kirchhoff's current law,Kirchhoff-en korapiloen lege; Kirchhoffen korronteen lege; KKL; korapiloen lege; korronteen lege,Technological Sciences > Electronic technology
Kirchhoff's voltage law,Kirchhoff-en 2. legea,Technological Sciences > Electrical technology and engineering
Kirchhoff's voltage law,Kirchhoff-en mailen lege; Kirchhoffen tentsioen lege; KTL; mailen lege; tentsioen lege,Technological Sciences > Electronic technology
mesh,maila; sare-begi,Technological Sciences > Electrical technology and engineering
mesh,maila,Technological Sciences > Electronic technology
nominal value,balio izendatu; balio nominal,Technological Sciences > Electrical technology and engineering
nominal value,balio izendatu,Technological Sciences > Electronic technology
operation,eragiketa,Technological Sciences > Electrical technology and engineering
operation,operazio,Technological Sciences > Electronic technology
power,potentzia,Technological Sciences > Electrical technology and engineering
power,potentzia; elikadura,Technological Sciences > Electronic technology
power source,elikatze-iturri,Technological Sciences > Electrical technology and engineering
power source,elikadura; elikadura-iturri; elikatze-iturri,Technological Sciences > Electronic technology
power supply,hornidura elektriko; elikadura; elikatze; elikatze elektriko,Technological Sciences > Electrical technology and engineering
power supply,elikadura; elikadura-iturri; elikatze-iturri,Technological Sciences > Electronic technology
regulator,erreguladore,Technological Sciences > Electrical technology and engineering
regulator,erreguladore; tentsio-erreguladore,Technological Sciences > Electronic technology
saturation,asetasun; saturazio,Technological Sciences > Electrical technology and engineering
saturation,asetasun; asetasun-egoera,Technological Sciences > Electronic technology
source,iturri; iturri elektriko,Technological Sciences > Electrical technology and engineering
source,iturri,Technological Sciences > Electronic technology
steady state,egoera egonkor; egoera iraunkor; erregimen egonkor; erregimen iraunkor,Technological Sciences > Electrical technology and engineering
steady state,egoera egonkor; erregimen geldikor; erregimen iraunkor,Technological Sciences > Electronic technology
switch,etengailu; kommutatu,Technological Sciences > Electrical technology and engineering
switch,kommutadore; kommutagailu; etengailu,Technological Sciences > Electronic technology
threshold voltage,atalase-tentsio,Technological Sciences > Electrical technology and engineering
threshold voltage,atari-tentsio,Technological Sciences > Electronic technology
unijunction transistor,lotura unipolarreko transistore,Technological Sciences > Electrical technology and engineering
unijunction transistor,base bikoitzeko diodo; juntura bakarreko transistore; Uni-Junction Transistor,Technological Sciences > Electronic technology
