Term,Translation,Context
actuator,eragingailu,Technological Sciences > Electrical technology and engineering
actuator,eragile,Technological Sciences > Environmental technology and engineering
block,blokeatu,Technological Sciences > Electrical technology and engineering
block,bloke,Technological Sciences > Environmental technology and engineering
cell,gelaxka,Technological Sciences > Electrical technology and engineering
cell,gela unitate; gelaxka,Technological Sciences > Environmental technology and engineering
clamp,grapa,Technological Sciences > Electrical technology and engineering
clamp,brida,Technological Sciences > Environmental technology and engineering
conduction,eroapen,Technological Sciences > Electrical technology and engineering
conduction,kondukzio,Technological Sciences > Environmental technology and engineering
conductivity,eroaletasun; eroankortasun,Technological Sciences > Electrical technology and engineering
conductivity,eroaletasun; eroankortasun; konduktibitate,Technological Sciences > Environmental technology and engineering
continuity equation,jarraitutasun-ekuazio; jarraitutasunaren ekuazio,Technological Sciences > Electrical technology and engineering
continuity equation,iraupenaren ekuazio,Technological Sciences > Environmental technology and engineering
coolant,hozgarri; hozte-fluido,Technological Sciences > Electrical technology and engineering
coolant,hoztaile,Technological Sciences > Environmental technology and engineering
delta,triangelu,Technological Sciences > Electrical technology and engineering
delta,delta,Technological Sciences > Environmental technology and engineering
device,aparatu; gailu; tresna,Technological Sciences > Electrical technology and engineering
device,dispositibo,Technological Sciences > Environmental technology and engineering
discontinuity,desjarraitutasun; eten,Technological Sciences > Electrical technology and engineering
discontinuity,etenune,Technological Sciences > Environmental technology and engineering
duct,hodi; tutu,Technological Sciences > Electrical technology and engineering
duct,eroanbide,Technological Sciences > Environmental technology and engineering
efficiency,errendimendu,Technological Sciences > Electrical technology and engineering
efficiency,eraginkortasun; errendimendu; etekin,Technological Sciences > Environmental technology and engineering
element,osagai,Technological Sciences > Electrical technology and engineering
element,elementu,Technological Sciences > Environmental technology and engineering
energy balance,energia-balantze,Technological Sciences > Electrical technology and engineering
energy balance,balantze energetiko; energia-balantze,Technological Sciences > Environmental technology and engineering
fault,akats; falta,Technological Sciences > Electrical technology and engineering
fault,faila,Technological Sciences > Environmental technology and engineering
flow,igaro; zeharkatu,Technological Sciences > Electrical technology and engineering
flow,emari; fluxu; jario,Technological Sciences > Environmental technology and engineering
graphical representation,adierazpen grafiko,Technological Sciences > Electrical technology and engineering
graphical representation,irudikapen grafiko,Technological Sciences > Environmental technology and engineering
ground,lur,Technological Sciences > Electrical technology and engineering
ground,lurzoru; zoru,Technological Sciences > Environmental technology and engineering
input,sarrera,Technological Sciences > Electrical technology and engineering
input,input,Technological Sciences > Environmental technology and engineering
melting point,etete-puntu; urtze-puntu,Technological Sciences > Electrical technology and engineering
melting point,urtze-puntu,Technological Sciences > Environmental technology and engineering
output,irteera,Technological Sciences > Electrical technology and engineering
output,ekoizpen; produkzio,Technological Sciences > Environmental technology and engineering
phase,fase,Technological Sciences > Electrical technology and engineering
phase,irabiagailu birakari; fase,Technological Sciences > Environmental technology and engineering
phase shift,desfase; fase-diferentzia; transformadore baten desfase,Technological Sciences > Electrical technology and engineering
phase shift,desfase; fase-diferentzia,Technological Sciences > Environmental technology and engineering
pipe,hodi; tutu,Technological Sciences > Electrical technology and engineering
pipe,tutu,Technological Sciences > Environmental technology and engineering
pole,zutoin; polo,Technological Sciences > Electrical technology and engineering
pole,polo,Technological Sciences > Environmental technology and engineering
reactor,bobina; haril,Technological Sciences > Electrical technology and engineering
reactor,erreaktore,Technological Sciences > Environmental technology and engineering
receiver,hargailu; hartzaile,Technological Sciences > Electrical technology and engineering
receiver,hartzaile,Technological Sciences > Environmental technology and engineering
release,desarra-mekanismo; desarragailu; desarratzaile,Technological Sciences > Electrical technology and engineering
release,askatu; emisio; igorpen; isuri; isurketa; isurpen,Technological Sciences > Environmental technology and engineering
rotation,biraketa,Technological Sciences > Electrical technology and engineering
rotation,biraketa; errotazio,Technological Sciences > Environmental technology and engineering
saturation,asetasun; saturazio,Technological Sciences > Electrical technology and engineering
saturation,asetze; saturazio,Technological Sciences > Environmental technology and engineering
screen,pantaila,Technological Sciences > Electrical technology and engineering
screen,bahetu,Technological Sciences > Environmental technology and engineering
source,iturri; iturri elektriko,Technological Sciences > Electrical technology and engineering
source,igorle; iturburu; iturri; sorburu,Technological Sciences > Environmental technology and engineering
steady state,egoera egonkor; egoera iraunkor; erregimen egonkor; erregimen iraunkor,Technological Sciences > Electrical technology and engineering
steady state,egoera egonkor; egoera geldikor,Technological Sciences > Environmental technology and engineering
switch,etengailu; kommutatu,Technological Sciences > Electrical technology and engineering
switch,etengailu,Technological Sciences > Environmental technology and engineering
terminal,borne; terminal,Technological Sciences > Electrical technology and engineering
terminal,borne,Technological Sciences > Environmental technology and engineering
test,saiakuntza,Technological Sciences > Electrical technology and engineering
test,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
transformation,transformazio,Technological Sciences > Electrical technology and engineering
transformation,eraldaketa; eraldatze; transformazio,Technological Sciences > Environmental technology and engineering
washer,zirrindola,Technological Sciences > Electrical technology and engineering
washer,garbigailu,Technological Sciences > Environmental technology and engineering
wind,harilkatu,Technological Sciences > Electrical technology and engineering
wind,haize,Technological Sciences > Environmental technology and engineering
wind energy,energia eoliko,Technological Sciences > Electrical technology and engineering
wind energy,haize-energia,Technological Sciences > Environmental technology and engineering
