Term,Translation,Context
administrative procedure,prozedura administratibo,Technological Sciences > Environmental technology and engineering
administrative procedure,administrazio-prozedura,Technological Sciences > Projects
assessment,balioespen; balioztapen; balorazio; ebaluazio,Technological Sciences > Environmental technology and engineering
assessment,ebaluazio,Technological Sciences > Projects
audit,ikuskaritza,Technological Sciences > Environmental technology and engineering
audit,auditoretza; auditoria,Technological Sciences > Projects
block,bloke,Technological Sciences > Environmental technology and engineering
block,etxe-irla,Technological Sciences > Projects
bond,lotura,Technological Sciences > Environmental technology and engineering
bond,bonu,Technological Sciences > Projects
buffer,indargetzaile; tanpoi,Technological Sciences > Environmental technology and engineering
buffer,buffer,Technological Sciences > Projects
composition,konposizio; osaera,Technological Sciences > Environmental technology and engineering
composition,konposaketa,Technological Sciences > Projects
ditch,lubaki; zanga,Technological Sciences > Environmental technology and engineering
ditch,lubanarro,Technological Sciences > Projects
efficiency,eraginkortasun; errendimendu; etekin,Technological Sciences > Environmental technology and engineering
efficiency,efizientzia,Technological Sciences > Projects
elevation,altitude,Technological Sciences > Environmental technology and engineering
elevation,altxaera; aurretiko bista,Technological Sciences > Projects
environment,ingurugiro; ingurumen; ingurune,Technological Sciences > Environmental technology and engineering
environment,ingurumen,Technological Sciences > Projects
evaluation,balioespen; balioztapen; balorazio; ebaluazio,Technological Sciences > Environmental technology and engineering
evaluation,ebaluazio,Technological Sciences > Projects
extension,hedadura,Technological Sciences > Environmental technology and engineering
extension,handitze,Technological Sciences > Projects
feedback,atzera-lotura,Technological Sciences > Environmental technology and engineering
feedback,atzeraelikadura,Technological Sciences > Projects
FS,solido finkoak,Technological Sciences > Environmental technology and engineering
FS,AH erlazio; amaiera-hasiera erlazio,Technological Sciences > Projects
index,indize; adierazle; indikatzaile,Technological Sciences > Environmental technology and engineering
index,aurkibide,Technological Sciences > Projects
output,ekoizpen; produkzio,Technological Sciences > Environmental technology and engineering
output,emaitza; output,Technological Sciences > Projects
planning,plan; egitarau,Technological Sciences > Environmental technology and engineering
planning,lan-planifikazio; plangintza,Technological Sciences > Projects
process,prozesatu; prozesu,Technological Sciences > Environmental technology and engineering
process,prozesu; izapidetu,Technological Sciences > Projects
product,produktu,Technological Sciences > Environmental technology and engineering
product,ekoizkin; produktu,Technological Sciences > Projects
profit,aprobetxamendu,Technological Sciences > Environmental technology and engineering
profit,mozkin,Technological Sciences > Projects
rate,abiadura,Technological Sciences > Environmental technology and engineering
rate,tarifa,Technological Sciences > Projects
restoration,berriztapen,Technological Sciences > Environmental technology and engineering
restoration,berriztatze,Technological Sciences > Projects
roof,estalki,Technological Sciences > Environmental technology and engineering
roof,teilatu,Technological Sciences > Projects
shell,maskor,Technological Sciences > Environmental technology and engineering
shell,azal,Technological Sciences > Projects
survey,galdetegi; ingurumen-faktoreen gaineko galdetegi,Technological Sciences > Environmental technology and engineering
survey,zundaketa,Technological Sciences > Projects
technical resource,baliabide teknologiko,Technological Sciences > Environmental technology and engineering
technical resource,baliabide tekniko,Technological Sciences > Projects
transfer,trasnmisio,Technological Sciences > Environmental technology and engineering
transfer,lekualdaketa,Technological Sciences > Projects
valuation,balioespen; balioztapen; balorazio; ebaluazio,Technological Sciences > Environmental technology and engineering
valuation,tasazio,Technological Sciences > Projects
viability,eginkortasun,Technological Sciences > Environmental technology and engineering
viability,bideragarritasun; egingarritasun,Technological Sciences > Projects
wall,horma,Technological Sciences > Environmental technology and engineering
wall,harresi,Technological Sciences > Projects
