Term,Translation,Context
absorption,absortzio; xurgapen,Technological Sciences > Environmental technology and engineering
absorption,xurgapen,Technological Sciences > Telecommunications technology
availability,erabilgarritasun; eskuragarritasun,Technological Sciences > Environmental technology and engineering
availability,erabilgarritasun,Technological Sciences > Telecommunications technology
cell,gela unitate; gelaxka,Technological Sciences > Environmental technology and engineering
cell,zelula,Technological Sciences > Telecommunications technology
conductivity,eroaletasun; eroankortasun; konduktibitate,Technological Sciences > Environmental technology and engineering
conductivity,eroaletasun; eroankortasun,Technological Sciences > Telecommunications technology
conversion,konbertsio,Technological Sciences > Environmental technology and engineering
conversion,bihurketa,Technological Sciences > Telecommunications technology
decomposition,degradazio; deskonposatze; deskonposizio; hondaketa,Technological Sciences > Environmental technology and engineering
decomposition,deskonposaketa,Technological Sciences > Telecommunications technology
device,dispositibo,Technological Sciences > Environmental technology and engineering
device,gailu,Technological Sciences > Telecommunications technology
efficiency,eraginkortasun; errendimendu; etekin,Technological Sciences > Environmental technology and engineering
efficiency,eraginkortasun,Technological Sciences > Telecommunications technology
elimination,eliminazio; ezabaketa; ezabapen; kentze,Technological Sciences > Environmental technology and engineering
elimination,ezabatze,Technological Sciences > Telecommunications technology
emitter,igorle; iturburu; iturri; sorburu,Technological Sciences > Environmental technology and engineering
emitter,igorle; transmisore,Technological Sciences > Telecommunications technology
energy balance,balantze energetiko; energia-balantze,Technological Sciences > Environmental technology and engineering
energy balance,balantze energetiko,Technological Sciences > Telecommunications technology
equalization,homogeneizatze; homogeneizazio,Technological Sciences > Environmental technology and engineering
equalization,ekualizazio,Technological Sciences > Telecommunications technology
feedback,atzera-lotura,Technological Sciences > Environmental technology and engineering
feedback,atzeraelikadura; berrelikadura,Technological Sciences > Telecommunications technology
Gaussian distribution,banaketa normal; distribuzio normal; Gauss-en banaketa; Gauss-en distribuzioa,Technological Sciences > Environmental technology and engineering
Gaussian distribution,banaketa gausstar,Technological Sciences > Telecommunications technology
input,input,Technological Sciences > Environmental technology and engineering
input,sarrera; sarrera-seinale,Technological Sciences > Telecommunications technology
matrix element,matrize-osagai,Technological Sciences > Environmental technology and engineering
matrix element,matrizearen osagai,Technological Sciences > Telecommunications technology
output,ekoizpen; produkzio,Technological Sciences > Environmental technology and engineering
output,irteera,Technological Sciences > Telecommunications technology
phase,irabiagailu birakari; fase,Technological Sciences > Environmental technology and engineering
phase,fase,Technological Sciences > Telecommunications technology
phase shift,desfase; fase-diferentzia,Technological Sciences > Environmental technology and engineering
phase shift,desfase; fase-aldaketa,Technological Sciences > Telecommunications technology
process,prozesatu; prozesu,Technological Sciences > Environmental technology and engineering
process,prozesatu,Technological Sciences > Telecommunications technology
processing,prozesamendu,Technological Sciences > Environmental technology and engineering
processing,prozesaketa; prozesatze,Technological Sciences > Telecommunications technology
propagation,hedatze,Technological Sciences > Environmental technology and engineering
propagation,hedapen; propagazio,Technological Sciences > Telecommunications technology
rate,abiadura,Technological Sciences > Environmental technology and engineering
rate,tasa,Technological Sciences > Telecommunications technology
receiver,hartzaile,Technological Sciences > Environmental technology and engineering
receiver,hargailu; hartzaile,Technological Sciences > Telecommunications technology
sample,lagin,Technological Sciences > Environmental technology and engineering
sample,lagindu; lagin,Technological Sciences > Telecommunications technology
sampling,laginketa,Technological Sciences > Environmental technology and engineering
sampling,laginketa; lagintze,Technological Sciences > Telecommunications technology
scale,eskala,Technological Sciences > Environmental technology and engineering
scale,eskalatu,Technological Sciences > Telecommunications technology
standard deviation,desbideratze estandar; desbideratze normal; dispertsio-koefiziente; sakabanatze-koefiziente,Technological Sciences > Environmental technology and engineering
standard deviation,desbiderapen estandar; desbiderapen tipiko,Technological Sciences > Telecommunications technology
superposition,gainezarpen,Technological Sciences > Environmental technology and engineering
superposition,gainjartze,Technological Sciences > Telecommunications technology
threshold value,atalase; muga-balio,Technological Sciences > Environmental technology and engineering
threshold value,atari-balio,Technological Sciences > Telecommunications technology
transformation,eraldaketa; eraldatze; transformazio,Technological Sciences > Environmental technology and engineering
transformation,transformazio,Technological Sciences > Telecommunications technology
