Term,Translation,Context
adostasun,conformidad; acuerdo,Juridical Sciences & Law > Finance law
adostasun,acuerdo,Juridical Sciences & Law > Labour and Social Security law
arau-hauste,infracción,Juridical Sciences & Law > Finance law
arau-hauste,infracción normativa,Juridical Sciences & Law > Labour and Social Security law
atzerapen,atraso,Juridical Sciences & Law > Finance law
atzerapen,demora,Juridical Sciences & Law > Labour and Social Security law
bazkide,socio,Juridical Sciences & Law > Finance law
bazkide,socia; socio ,Juridical Sciences & Law > Labour and Social Security law
berandutza,demora,Juridical Sciences & Law > Finance law
berandutza,mora,Juridical Sciences & Law > Labour and Social Security law
deuseztasun,declaración de nulidad de pleno derecho,Juridical Sciences & Law > Finance law
deuseztasun,nulidad,Juridical Sciences & Law > Labour and Social Security law
diru-laguntza,subvención,Juridical Sciences & Law > Finance law
diru-laguntza,ayuda económica; prestación económica,Juridical Sciences & Law > Labour and Social Security law
egiaztatu,acreditar; comprobar,Juridical Sciences & Law > Finance law
egiaztatu,verificar,Juridical Sciences & Law > Labour and Social Security law
egitate,hecho,Juridical Sciences & Law > Finance law
egitate,veracidad,Juridical Sciences & Law > Labour and Social Security law
ekitaldi,ejercicio,Juridical Sciences & Law > Finance law
ekitaldi,actividad; acto,Juridical Sciences & Law > Labour and Social Security law
enpresa-talde,grupo de empresa,Juridical Sciences & Law > Finance law
enpresa-talde,grupo de empresas,Juridical Sciences & Law > Labour and Social Security law
esleipen,adjudicación; asignación; atribución; imputación,Juridical Sciences & Law > Finance law
esleipen,asignación,Juridical Sciences & Law > Labour and Social Security law
frogatu,acreditar,Juridical Sciences & Law > Finance law
frogatu,probar,Juridical Sciences & Law > Labour and Social Security law
funts,fondo,Juridical Sciences & Law > Finance law
funts,fundamento,Juridical Sciences & Law > Labour and Social Security law
hartzaile,acreedor,Juridical Sciences & Law > Finance law
hartzaile, receptora; receptor,Juridical Sciences & Law > Labour and Social Security law
hobari,bonificación,Juridical Sciences & Law > Finance law
hobari,mejora,Juridical Sciences & Law > Labour and Social Security law
ikuskari,inspector ; inspectora,Juridical Sciences & Law > Finance law
ikuskari,inspector; persona inspectora,Juridical Sciences & Law > Labour and Social Security law
indarraldi,vigencia,Juridical Sciences & Law > Finance law
indarraldi,periodo de vigencia,Juridical Sciences & Law > Labour and Social Security law
iraungipen,extinción,Juridical Sciences & Law > Finance law
iraungipen,finalización,Juridical Sciences & Law > Labour and Social Security law
iruzur,fraude,Juridical Sciences & Law > Finance law
iruzur,engaño,Juridical Sciences & Law > Labour and Social Security law
izaera juridiko,naturaleza jurídica,Juridical Sciences & Law > Finance law
izaera juridiko,personalidad jurídica,Juridical Sciences & Law > Labour and Social Security law
izendapen,asignación,Juridical Sciences & Law > Finance law
izendapen,nombramiento,Juridical Sciences & Law > Labour and Social Security law
jabe,propietario,Juridical Sciences & Law > Finance law
jabe,propietaria; propietario ,Juridical Sciences & Law > Labour and Social Security law
kuota oso,cuota íntegra,Juridical Sciences & Law > Finance law
kuota oso,cuota entera,Juridical Sciences & Law > Labour and Social Security law
kutxa bakar,unidad de caja,Juridical Sciences & Law > Finance law
kutxa bakar,caja única,Juridical Sciences & Law > Labour and Social Security law
ondasun higigarri,bien mueble,Juridical Sciences & Law > Finance law
ondasun higigarri,bien mobiliario,Juridical Sciences & Law > Labour and Social Security law
onuradun,beneficiario,Juridical Sciences & Law > Finance law
onuradun,beneficiaria; beneficiario ,Juridical Sciences & Law > Labour and Social Security law
ordainbide,medio de pago,Juridical Sciences & Law > Finance law
ordainbide,procedimiento de abono,Juridical Sciences & Law > Labour and Social Security law
ordainketa,pago,Juridical Sciences & Law > Finance law
ordainketa,abono,Juridical Sciences & Law > Labour and Social Security law
ordainsari,contraprestación,Juridical Sciences & Law > Finance law
ordainsari,lansari; retribución; sueldo,Juridical Sciences & Law > Labour and Social Security law
sortzapen-epe,periodo de generación,Juridical Sciences & Law > Finance law
sortzapen-epe,plazo de devengo,Juridical Sciences & Law > Labour and Social Security law
zehaztapen,determinación,Juridical Sciences & Law > Finance law
zehaztapen,especificación,Juridical Sciences & Law > Labour and Social Security law
zigor,castigo; pena,Juridical Sciences & Law > Finance law
zigor,sanción,Juridical Sciences & Law > Labour and Social Security law
ziurtagiri,justificante,Juridical Sciences & Law > Finance law
ziurtagiri,certificado,Juridical Sciences & Law > Labour and Social Security law
zordun,deudor,Juridical Sciences & Law > Finance law
zordun,deudor ; deudora,Juridical Sciences & Law > Labour and Social Security law
