Term,Translation,Context
activity,actividad,Medical Sciences > Pharmaceutical Technology
activity,acción,Technological Sciences > Environmental technology and engineering
agent,agente,Medical Sciences > Pharmaceutical Technology
agent,gestor,Technological Sciences > Environmental technology and engineering
aggregate,agregado,Medical Sciences > Pharmaceutical Technology
aggregate,agregado; copo; flóculo,Technological Sciences > Environmental technology and engineering
assessment,determinación,Medical Sciences > Pharmaceutical Technology
assessment,evaluación; valoración,Technological Sciences > Environmental technology and engineering
average,media,Medical Sciences > Pharmaceutical Technology
average,media; promedio,Technological Sciences > Environmental technology and engineering
balance,balanza,Medical Sciences > Pharmaceutical Technology
balance,balance; balanza,Technological Sciences > Environmental technology and engineering
boiling point,punto de ebullición,Medical Sciences > Pharmaceutical Technology
boiling point,punto de ebullición; temperatura de ebullición,Technological Sciences > Environmental technology and engineering
buffer,tampón,Medical Sciences > Pharmaceutical Technology
buffer,amortiguador; tampón,Technological Sciences > Environmental technology and engineering
closure,cierre,Medical Sciences > Pharmaceutical Technology
closure,cerramiento; dispositivo de cierre,Technological Sciences > Environmental technology and engineering
cover,recubrimiento,Medical Sciences > Pharmaceutical Technology
cover,recubrimiento; revestimiento,Technological Sciences > Environmental technology and engineering
efficiency,eficacia,Medical Sciences > Pharmaceutical Technology
efficiency,eficiencia; rendimiento,Technological Sciences > Environmental technology and engineering
extension,prolongación,Medical Sciences > Pharmaceutical Technology
extension,extensión,Technological Sciences > Environmental technology and engineering
filling,llenado,Medical Sciences > Pharmaceutical Technology
filling,relleno,Technological Sciences > Environmental technology and engineering
flow,caudal,Medical Sciences > Pharmaceutical Technology
flow,caudal; flujo; gasto,Technological Sciences > Environmental technology and engineering
gas phase,fase gaseosa,Medical Sciences > Pharmaceutical Technology
gas phase,fase gas,Technological Sciences > Environmental technology and engineering
graph,grafico,Medical Sciences > Pharmaceutical Technology
graph,grafo,Technological Sciences > Environmental technology and engineering
heat transfer,transferencia de calor,Medical Sciences > Pharmaceutical Technology
heat transfer,temperatura crítica; temperatura crítica; transmisión de calor; transmisión de calor,Technological Sciences > Environmental technology and engineering
heater,estufa,Medical Sciences > Pharmaceutical Technology
heater,calentador,Technological Sciences > Environmental technology and engineering
hydrogen bond,puente de hidrogeno,Medical Sciences > Pharmaceutical Technology
hydrogen bond,enlace de hidrógeno; puente de hidrógeno,Technological Sciences > Environmental technology and engineering
ion,Ion,Medical Sciences > Pharmaceutical Technology
ion,ión,Technological Sciences > Environmental technology and engineering
molecular weight,peso molecular,Medical Sciences > Pharmaceutical Technology
molecular weight,masa molecular; peso molecular,Technological Sciences > Environmental technology and engineering
operation,funcionamiento,Medical Sciences > Pharmaceutical Technology
operation,operación,Technological Sciences > Environmental technology and engineering
oxidation process,proceso oxidativo,Medical Sciences > Pharmaceutical Technology
oxidation process,proceso de oxidación,Technological Sciences > Environmental technology and engineering
phase,fase,Medical Sciences > Pharmaceutical Technology
phase,agitador rotatorio; fase,Technological Sciences > Environmental technology and engineering
process,proceso,Medical Sciences > Pharmaceutical Technology
process,procesar; proceso,Technological Sciences > Environmental technology and engineering
release,liberación,Medical Sciences > Pharmaceutical Technology
release,liberar; emisión; vertido,Technological Sciences > Environmental technology and engineering
residue,residuo,Medical Sciences > Pharmaceutical Technology
residue,rechazo; residuo,Technological Sciences > Environmental technology and engineering
source,fuente,Medical Sciences > Pharmaceutical Technology
source,emisor; fuente,Technological Sciences > Environmental technology and engineering
spring,muelle,Medical Sciences > Pharmaceutical Technology
spring,fuente; manantial,Technological Sciences > Environmental technology and engineering
stabilizer,estabilizante,Medical Sciences > Pharmaceutical Technology
stabilizer,agente estabilizante; estabilizante,Technological Sciences > Environmental technology and engineering
standard deviation,desviación estándar,Medical Sciences > Pharmaceutical Technology
standard deviation,coeficiente de dispersión; desviación estándar; desviación normal,Technological Sciences > Environmental technology and engineering
steam,vapor,Medical Sciences > Pharmaceutical Technology
steam,vapor de agua,Technological Sciences > Environmental technology and engineering
test,test,Medical Sciences > Pharmaceutical Technology
test,ensayo; experimento; prueba,Technological Sciences > Environmental technology and engineering
transfer,transferencia,Medical Sciences > Pharmaceutical Technology
transfer,transmisión,Technological Sciences > Environmental technology and engineering
tube,tubo,Medical Sciences > Pharmaceutical Technology
tube,conducto; tubo,Technological Sciences > Environmental technology and engineering
volumetric flask,matraz,Medical Sciences > Pharmaceutical Technology
volumetric flask,matraz aforado,Technological Sciences > Environmental technology and engineering
washing,limpieza,Medical Sciences > Pharmaceutical Technology
washing,lavado,Technological Sciences > Environmental technology and engineering
waste,residuo,Medical Sciences > Pharmaceutical Technology
waste,rechazo; residuo,Technological Sciences > Environmental technology and engineering
wave,onda,Medical Sciences > Pharmaceutical Technology
wave,ola; onda,Technological Sciences > Environmental technology and engineering
