Term,Translation,Context
average,media,Physics > Aplied Physics
average,media; promedio,Technological Sciences > Environmental technology and engineering
charge,cargar; carga,Physics > Aplied Physics
charge,carga,Technological Sciences > Environmental technology and engineering
compressional wave,onda longitudinal,Physics > Aplied Physics
compressional wave,onda compresional; onda P,Technological Sciences > Environmental technology and engineering
emitter,emisor,Physics > Aplied Physics
emitter,emisor; fuente,Technological Sciences > Environmental technology and engineering
focus,enfocar,Physics > Aplied Physics
focus,foco; hipocentro,Technological Sciences > Environmental technology and engineering
friction force,fuerza de rozamiento,Physics > Aplied Physics
friction force,fuerza de fricción; fuerza de rozamiento; fuerzas de rozamiento,Technological Sciences > Environmental technology and engineering
gravitational force,fuerza gravitatoria,Physics > Aplied Physics
gravitational force,fuerza de gravedad; fuerza gravitacional; fuerza gravitatoria; gravedad,Technological Sciences > Environmental technology and engineering
impact,choque; colisión,Physics > Aplied Physics
impact,impacto; impactar,Technological Sciences > Environmental technology and engineering
land,aterrizar,Physics > Aplied Physics
land,parcela; terreno,Technological Sciences > Environmental technology and engineering
material,material,Physics > Aplied Physics
material,materia; materia biodegradable,Technological Sciences > Environmental technology and engineering
phase,fase,Physics > Aplied Physics
phase,agitador rotatorio; fase,Technological Sciences > Environmental technology and engineering
process,proceso,Physics > Aplied Physics
process,procesar; proceso,Technological Sciences > Environmental technology and engineering
rotation axis,eje de giro; eje de rotación,Physics > Aplied Physics
rotation axis,eje de rotación,Technological Sciences > Environmental technology and engineering
screen,apantallar,Physics > Aplied Physics
screen,cribar,Technological Sciences > Environmental technology and engineering
sound,sonido,Physics > Aplied Physics
sound,sonda; sonido,Technological Sciences > Environmental technology and engineering
sound wave,onda sonora,Physics > Aplied Physics
sound wave,onda acústica; onda sonora,Technological Sciences > Environmental technology and engineering
source,fuente,Physics > Aplied Physics
source,emisor; fuente,Technological Sciences > Environmental technology and engineering
spring,muelle,Physics > Aplied Physics
spring,fuente; manantial,Technological Sciences > Environmental technology and engineering
terminal,borne; terminal,Physics > Aplied Physics
terminal,borne,Technological Sciences > Environmental technology and engineering
wave,onda,Physics > Aplied Physics
wave,ola; onda,Technological Sciences > Environmental technology and engineering
wind,bobinar,Physics > Aplied Physics
wind,viento,Technological Sciences > Environmental technology and engineering
