Term,Translation,Context
amperage,intensidad,Physics > Electro-magnetism
amperage,corriente; intensidad de corriente,Technological Sciences > Electrical technology and engineering
armature,armadura,Physics > Electro-magnetism
armature,armadura; inducido,Technological Sciences > Electrical technology and engineering
cell,pila; pila electroquímica; pila galvánica,Physics > Electro-magnetism
cell,celda,Technological Sciences > Electrical technology and engineering
characteristic,característica,Physics > Electro-magnetism
characteristic,curva característica,Technological Sciences > Electrical technology and engineering
coil,espira; bobina,Physics > Electro-magnetism
coil,espira; vuelta; bobina; inductancia,Technological Sciences > Electrical technology and engineering
current intensity,intensidad de corriente,Physics > Electro-magnetism
current intensity,corriente; intensidad de corriente,Technological Sciences > Electrical technology and engineering
diagram,diagrama,Physics > Electro-magnetism
diagram,diagrama; esquema,Technological Sciences > Electrical technology and engineering
eddy current,corrientes de Foucault,Physics > Electro-magnetism
eddy current,corriente parásita,Technological Sciences > Electrical technology and engineering
efficiency,eficiencia,Physics > Electro-magnetism
efficiency,rendimiento,Technological Sciences > Electrical technology and engineering
electric power,potencia eléctrica,Physics > Electro-magnetism
electric power,energía eléctrica; potencia eléctrica,Technological Sciences > Electrical technology and engineering
flow,caudal,Physics > Electro-magnetism
flow,circular,Technological Sciences > Electrical technology and engineering
fundamental frequency,armónico fundamental,Physics > Electro-magnetism
fundamental frequency,frecuencia fundamental,Technological Sciences > Electrical technology and engineering
instantaneous current,corriente instantánea,Physics > Electro-magnetism
instantaneous current,intensidad instantánea,Technological Sciences > Electrical technology and engineering
isolator,aislador,Physics > Electro-magnetism
isolator,seccionador,Technological Sciences > Electrical technology and engineering
link,enlace,Physics > Electro-magnetism
link,rama de enlace,Technological Sciences > Electrical technology and engineering
loop,bucle,Physics > Electro-magnetism
loop,malla; bucle; lazo,Technological Sciences > Electrical technology and engineering
magnetic flux density,densidad de flujo magnético; inducción magnética,Physics > Electro-magnetism
magnetic flux density,densidad del flujo magnético,Technological Sciences > Electrical technology and engineering
measurement,medición,Physics > Electro-magnetism
measurement,medida,Technological Sciences > Electrical technology and engineering
peak value,valor de pico,Physics > Electro-magnetism
peak value,valor máximo,Technological Sciences > Electrical technology and engineering
period of time,período de tiempo,Physics > Electro-magnetism
period of time,espacio de tiempo,Technological Sciences > Electrical technology and engineering
phase difference,ángulo de fase; diferencia de fase,Physics > Electro-magnetism
phase difference,desfase; desfase de un transformador; diferencia de fase,Technological Sciences > Electrical technology and engineering
phase shift,corrimiento de fase; desplazamiento de fase; desfase,Physics > Electro-magnetism
phase shift,desfase; desfase de un transformador; diferencia de fase,Technological Sciences > Electrical technology and engineering
plate,chapa; lámina,Physics > Electro-magnetism
plate,placa,Technological Sciences > Electrical technology and engineering
pole,polo,Physics > Electro-magnetism
pole,poste; polo,Technological Sciences > Electrical technology and engineering
rotation,rotación,Physics > Electro-magnetism
rotation,giro,Technological Sciences > Electrical technology and engineering
self-inductance,autoinductancia; inductancia propia,Physics > Electro-magnetism
self-inductance,autoinducción; inductancia,Technological Sciences > Electrical technology and engineering
sequence,progresión; sucesión,Physics > Electro-magnetism
sequence,secuencia,Technological Sciences > Electrical technology and engineering
sheet,chapa; lámina,Physics > Electro-magnetism
sheet,chapa,Technological Sciences > Electrical technology and engineering
spin,spin,Physics > Electro-magnetism
spin,girar,Technological Sciences > Electrical technology and engineering
state,estado,Physics > Electro-magnetism
state,régimen de funcionamiento,Technological Sciences > Electrical technology and engineering
steady state,estado permanente; régimen permanente,Physics > Electro-magnetism
steady state,estado permanente; régimen estable; régimen permanente,Technological Sciences > Electrical technology and engineering
terminal,borne,Physics > Electro-magnetism
terminal,borne; terminal,Technological Sciences > Electrical technology and engineering
time domain,dominio del tiempo; dominio temporal,Physics > Electro-magnetism
time domain,dominio del tiempo,Technological Sciences > Electrical technology and engineering
torque,momento; momento de una fuerza,Physics > Electro-magnetism
torque,torsión; par; par; par de fuerzas; par de rotación,Technological Sciences > Electrical technology and engineering
transmission line,línea de transmisión,Physics > Electro-magnetism
transmission line,línea de transporte,Technological Sciences > Electrical technology and engineering
transmit,transmitir,Physics > Electro-magnetism
transmit,transportar,Technological Sciences > Electrical technology and engineering
wave,onda,Physics > Electro-magnetism
wave,onda; señal,Technological Sciences > Electrical technology and engineering
