Term,Translation,Context
branch current,intensidad de rama,Technological Sciences > Electrical technology and engineering
branch current,corriente de rama,Technological Sciences > Electronic technology
breakdown,avalancha; embalamiento,Technological Sciences > Electrical technology and engineering
breakdown,ruptura,Technological Sciences > Electronic technology
characteristic,curva característica,Technological Sciences > Electrical technology and engineering
characteristic,característica,Technological Sciences > Electronic technology
coil,espira; vuelta; bobina; inductancia,Technological Sciences > Electrical technology and engineering
coil,bobina; inductancia; inductor,Technological Sciences > Electronic technology
current divider,divisor de intensidad,Technological Sciences > Electrical technology and engineering
current divider,divisor de corriente,Technological Sciences > Electronic technology
current intensity,corriente; intensidad de corriente,Technological Sciences > Electrical technology and engineering
current intensity,corriente; intensidad; intensidad de la corriente; intensidad de la corriente eléctrica,Technological Sciences > Electronic technology
delta connection,conexión en triángulo; conexión triángulo,Technological Sciences > Electrical technology and engineering
delta connection,acoplamiento en triángulo; coenxión en triángulo; conexión delta,Technological Sciences > Electronic technology
duct,tubo,Technological Sciences > Electrical technology and engineering
duct,conducto,Technological Sciences > Electronic technology
earth,masa; parte conductora accesible,Technological Sciences > Electrical technology and engineering
earth,punto de referencia de tensión; tierra,Technological Sciences > Electronic technology
electric power,energía eléctrica; potencia eléctrica,Technological Sciences > Electrical technology and engineering
electric power,energía eléctrica,Technological Sciences > Electronic technology
feeder,línea de alimentación,Technological Sciences > Electrical technology and engineering
feeder,alimentador; cargador; cargador de baterías,Technological Sciences > Electronic technology
flow,circular,Technological Sciences > Electrical technology and engineering
flow,flujo,Technological Sciences > Electronic technology
generator,generador,Technological Sciences > Electrical technology and engineering
generator,generador; generador eléctrico,Technological Sciences > Electronic technology
inductor,inductor,Technological Sciences > Electrical technology and engineering
inductor,bobina de inducción; bobina inductora; inductancia,Technological Sciences > Electronic technology
Kirchhoff's current law,1ª ley de Kirchhoff,Technological Sciences > Electrical technology and engineering
Kirchhoff's current law,ley de Kirchhoff de las corrientes; ley de las corrientes; ley de los nodos; LKC,Technological Sciences > Electronic technology
Kirchhoff's voltage law,2ª ley de Kirchhoff,Technological Sciences > Electrical technology and engineering
Kirchhoff's voltage law,ley de Kirchhoff de las tensiones; ley de las mallas; ley de las tensiones; LKT,Technological Sciences > Electronic technology
loop,malla; bucle; lazo,Technological Sciences > Electrical technology and engineering
loop,lazo,Technological Sciences > Electronic technology
measurement,medida,Technological Sciences > Electrical technology and engineering
measurement,medición; medida,Technological Sciences > Electronic technology
mesh current,intensidad de malla,Technological Sciences > Electrical technology and engineering
mesh current,corriente de malla,Technological Sciences > Electronic technology
node,nudo,Technological Sciences > Electrical technology and engineering
node,nodo,Technological Sciences > Electronic technology
power supply,suministro eléctrico; alimentación eléctrica,Technological Sciences > Electrical technology and engineering
power supply,alimentación; fuente de alimentación,Technological Sciences > Electronic technology
steady state,estado permanente; régimen estable; régimen permanente,Technological Sciences > Electrical technology and engineering
steady state,régimen permanente,Technological Sciences > Electronic technology
switch,interruptor; conmutar,Technological Sciences > Electrical technology and engineering
switch,conmutador; interruptor,Technological Sciences > Electronic technology
threshold voltage,tensión de umbral,Technological Sciences > Electrical technology and engineering
threshold voltage,tensión umbral,Technological Sciences > Electronic technology
unijunction transistor,transistor de efecto de campo; transistor de unión unipolar,Technological Sciences > Electrical technology and engineering
unijunction transistor,diodo de doble base; transistor monounión; transistor uni-unión; transistor uniunión,Technological Sciences > Electronic technology
wave,onda; señal,Technological Sciences > Electrical technology and engineering
wave,onda,Technological Sciences > Electronic technology
