Term,Translation,Context
activity,acción,Technological Sciences > Environmental technology and engineering
activity,actividad,Technological Sciences > Projects
assessment,evaluación; valoración,Technological Sciences > Environmental technology and engineering
assessment,evaluación,Technological Sciences > Projects
block,bloque,Technological Sciences > Environmental technology and engineering
block,manzana,Technological Sciences > Projects
bond,enlace,Technological Sciences > Environmental technology and engineering
bond,bono,Technological Sciences > Projects
boundary,frontera,Technological Sciences > Environmental technology and engineering
boundary,límite,Technological Sciences > Projects
buffer,amortiguador; tampón,Technological Sciences > Environmental technology and engineering
buffer,colchón,Technological Sciences > Projects
ditch,zanja,Technological Sciences > Environmental technology and engineering
ditch,foso,Technological Sciences > Projects
efficiency,eficiencia; rendimiento,Technological Sciences > Environmental technology and engineering
efficiency,eficiencia,Technological Sciences > Projects
elevation,altitud,Technological Sciences > Environmental technology and engineering
elevation,alzado; alzado frontal,Technological Sciences > Projects
environment,ambiente; medio ambiente; entorno; medio,Technological Sciences > Environmental technology and engineering
environment,medio ambiente,Technological Sciences > Projects
event,evento,Technological Sciences > Environmental technology and engineering
event,suceso,Technological Sciences > Projects
extension,extensión,Technological Sciences > Environmental technology and engineering
extension,ampliación,Technological Sciences > Projects
feedback,realimentación,Technological Sciences > Environmental technology and engineering
feedback,retroalimentación,Technological Sciences > Projects
FS,sólidos fijos,Technological Sciences > Environmental technology and engineering
FS,FC; final a comienzo,Technological Sciences > Projects
land,parcela; terreno,Technological Sciences > Environmental technology and engineering
land,terreno,Technological Sciences > Projects
output,producción,Technological Sciences > Environmental technology and engineering
output,salida,Technological Sciences > Projects
planning,plan; programación; temario,Technological Sciences > Environmental technology and engineering
planning,planificación; planificación del trabajo,Technological Sciences > Projects
process,procesar; proceso,Technological Sciences > Environmental technology and engineering
process,proceso; tramitar,Technological Sciences > Projects
profit,aprovechamiento,Technological Sciences > Environmental technology and engineering
profit,beneficio,Technological Sciences > Projects
rate,velocidad,Technological Sciences > Environmental technology and engineering
rate,tarifa,Technological Sciences > Projects
roof,cubierta,Technological Sciences > Environmental technology and engineering
roof,tejado,Technological Sciences > Projects
shell,concha,Technological Sciences > Environmental technology and engineering
shell,cáscara,Technological Sciences > Projects
survey,cuestionario; cuestionario ambiental,Technological Sciences > Environmental technology and engineering
survey,sondeo,Technological Sciences > Projects
technical resource,recurso tecnológico,Technological Sciences > Environmental technology and engineering
technical resource,recurso técnico,Technological Sciences > Projects
transfer,transmisión,Technological Sciences > Environmental technology and engineering
transfer,traslado,Technological Sciences > Projects
valuation,evaluación; valoración,Technological Sciences > Environmental technology and engineering
valuation,tasación,Technological Sciences > Projects
wall,muro; pared,Technological Sciences > Environmental technology and engineering
wall,muralla,Technological Sciences > Projects
