Term,Translation,Context
assemble,ensamblar,Technological Sciences > Industrial technology
assemble,montar,Technological Sciences > Mechanical engineering and technology
assembly,montaje,Technological Sciences > Industrial technology
assembly,conjunto,Technological Sciences > Mechanical engineering and technology
assembly drawing,dibujo de despiece; dibujo de montaje,Technological Sciences > Industrial technology
assembly drawing,plano de montaje,Technological Sciences > Mechanical engineering and technology
axis of rotation,eje de revolución,Technological Sciences > Industrial technology
axis of rotation,eje de giro; eje de revolución; eje de rotación,Technological Sciences > Mechanical engineering and technology
break line,linea en zigzag,Technological Sciences > Industrial technology
break line,línea quebrada,Technological Sciences > Mechanical engineering and technology
cotter pin,clavija; pasador,Technological Sciences > Industrial technology
cotter pin,pasador de aletas,Technological Sciences > Mechanical engineering and technology
dimension,cota; dimensión,Technological Sciences > Industrial technology
dimension,acotar,Technological Sciences > Mechanical engineering and technology
drilling,barrenado; vaciado,Technological Sciences > Industrial technology
drilling,taladrado,Technological Sciences > Mechanical engineering and technology
face,cara,Technological Sciences > Industrial technology
face,encofrar,Technological Sciences > Mechanical engineering and technology
fit,ajustar,Technological Sciences > Industrial technology
fit,ajuste,Technological Sciences > Mechanical engineering and technology
frame,chasis,Technological Sciences > Industrial technology
frame,bancada; bastidor; carcasa,Technological Sciences > Mechanical engineering and technology
gauge,plantilla,Technological Sciences > Industrial technology
gauge,calibre; galga,Technological Sciences > Mechanical engineering and technology
parallelepiped,paralepípedo,Technological Sciences > Industrial technology
parallelepiped,paralelepípedo,Technological Sciences > Mechanical engineering and technology
pattern,plantilla,Technological Sciences > Industrial technology
pattern,patrón; plantilla,Technological Sciences > Mechanical engineering and technology
perforate,perforar,Technological Sciences > Industrial technology
perforate,taladrar,Technological Sciences > Mechanical engineering and technology
reduction scale,escala de reducción,Technological Sciences > Industrial technology
reduction scale,escala reductora,Technological Sciences > Mechanical engineering and technology
scale,escala,Technological Sciences > Industrial technology
scale,escala; escalar; poner en escala,Technological Sciences > Mechanical engineering and technology
section,sección,Technological Sciences > Industrial technology
section,seccionar,Technological Sciences > Mechanical engineering and technology
shape,forma,Technological Sciences > Industrial technology
shape,limar,Technological Sciences > Mechanical engineering and technology
sheet,chapa,Technological Sciences > Industrial technology
sheet,lámina,Technological Sciences > Mechanical engineering and technology
standardization,nomalización,Technological Sciences > Industrial technology
standardization,normalización,Technological Sciences > Mechanical engineering and technology
thread,rosca,Technological Sciences > Industrial technology
thread,filete de rosca,Technological Sciences > Mechanical engineering and technology
triangle,cartabón,Technological Sciences > Industrial technology
triangle,triángulo,Technological Sciences > Mechanical engineering and technology
true measure,verdadera magnitud,Technological Sciences > Industrial technology
true measure,verdadera medida,Technological Sciences > Mechanical engineering and technology
wedge,cuña,Technological Sciences > Industrial technology
wedge,enchavetar,Technological Sciences > Mechanical engineering and technology
