Term,Translation,Context
ácido fuerte,azido sendo,Chemistry > Analytical chemistry
ácido fuerte,azido indartsu; azido sendo,Technological Sciences > Environmental technology and engineering
alcalinidad,alkalinitate,Chemistry > Analytical chemistry
alcalinidad,alkalinitate; alkalinotasun; basikotasun,Technological Sciences > Environmental technology and engineering
base,base,Chemistry > Analytical chemistry
base,alkali; base,Technological Sciences > Environmental technology and engineering
base fuerte,base sendo,Chemistry > Analytical chemistry
base fuerte,base gogor,Technological Sciences > Environmental technology and engineering
carga,karga,Chemistry > Analytical chemistry
carga,karga; zama,Technological Sciences > Environmental technology and engineering
composición,konposizio,Chemistry > Analytical chemistry
composición,konposizio; osaera,Technological Sciences > Environmental technology and engineering
conductividad,eroankortasun,Chemistry > Analytical chemistry
conductividad,eroaletasun; eroankortasun; konduktibitate,Technological Sciences > Environmental technology and engineering
desviación estándar,desbidazio estandar,Chemistry > Analytical chemistry
desviación estándar,desbideratze estandar; desbideratze normal; dispertsio-koefiziente; sakabanatze-koefiziente,Technological Sciences > Environmental technology and engineering
determinación,determinazio,Chemistry > Analytical chemistry
determinación,zehaztapen,Technological Sciences > Environmental technology and engineering
difusión,difusio,Chemistry > Analytical chemistry
difusión,barreiapen; difusio,Technological Sciences > Environmental technology and engineering
disolución,disoluzio,Chemistry > Analytical chemistry
disolución,disoluzio; soluzio,Technological Sciences > Environmental technology and engineering
disolución tampón,disoluzio indargetzaile,Chemistry > Analytical chemistry
disolución tampón,indargetze-disoluzio,Technological Sciences > Environmental technology and engineering
dispersión,dispertsio,Chemistry > Analytical chemistry
dispersión,barreiadura; dispertsio; sakabanaketa; sakabanatze,Technological Sciences > Environmental technology and engineering
emisión,igorpen,Chemistry > Analytical chemistry
emisión,emisio; igorpen; isuri; isurketa; isurpen,Technological Sciences > Environmental technology and engineering
equivalencia,baliokidetza,Chemistry > Analytical chemistry
equivalencia,baliokidetasun,Technological Sciences > Environmental technology and engineering
evaporación,lurrunketa,Chemistry > Analytical chemistry
evaporación,ebaporazio; lurrunketa; lurruntze,Technological Sciences > Environmental technology and engineering
filtración,iragazketa,Chemistry > Analytical chemistry
filtración,filtrazio; iragazketa; iragazpen,Technological Sciences > Environmental technology and engineering
intensidad de emisión,emisioaren intentsitate,Chemistry > Analytical chemistry
intensidad de emisión,emisio-intentsitate; isurpen-intentsitate,Technological Sciences > Environmental technology and engineering
interacción,elkarrekintza,Chemistry > Analytical chemistry
interacción,elkar-ekintza; elkarrekintza; interakzio,Technological Sciences > Environmental technology and engineering
interfase,interfase,Chemistry > Analytical chemistry
interfase,fasearte,Technological Sciences > Environmental technology and engineering
ligando,estekatzaile,Chemistry > Analytical chemistry
ligando,agente konplexatzaile; estekatzaile; konplexatzaile,Technological Sciences > Environmental technology and engineering
materia inerte,materia inerte,Chemistry > Analytical chemistry
materia inerte,gai geldo; gai inerte,Technological Sciences > Environmental technology and engineering
mezcla,nahaste,Chemistry > Analytical chemistry
mezcla,nahasketa; nahaste,Technological Sciences > Environmental technology and engineering
muestreo,lagin-biltze; laginketa,Chemistry > Analytical chemistry
muestreo,laginketa,Technological Sciences > Environmental technology and engineering
presión atmosférica,presio atmosferiko,Chemistry > Analytical chemistry
presión atmosférica,egurats presio; presio atmosferiko,Technological Sciences > Environmental technology and engineering
punto de ebullición,irakite-tenperatura,Chemistry > Analytical chemistry
punto de ebullición,irakite-puntu; irakite-tenperatura,Technological Sciences > Environmental technology and engineering
reacción de precipitación,hauspeaketa-erreakzio,Chemistry > Analytical chemistry
reacción de precipitación,hauspeatze-erreakzio,Technological Sciences > Environmental technology and engineering
reacción redox,erredox-erreakzio,Chemistry > Analytical chemistry
reacción redox,erredox erreakzio; oxidazio-erredukzio erreakzio,Technological Sciences > Environmental technology and engineering
rendimiento,etekin; berreskurapen,Chemistry > Analytical chemistry
rendimiento,eraginkortasun; errendimendu; etekin,Technological Sciences > Environmental technology and engineering
retención,atxikidura; erretentzio,Chemistry > Analytical chemistry
retención,atxikipen; erretentzio,Technological Sciences > Environmental technology and engineering
tampón,indargetzaile,Chemistry > Analytical chemistry
tampón,tanpoi,Technological Sciences > Environmental technology and engineering
transferencia de materia,materia-transferentzia,Chemistry > Analytical chemistry
transferencia de materia,masa-transferentzia; materia-transferentzia,Technological Sciences > Environmental technology and engineering
valoración,balorazio,Chemistry > Analytical chemistry
valoración,balorazio; bolumetria; balioespen; balioztapen; balorazio; ebaluazio,Technological Sciences > Environmental technology and engineering
