Term,Translation,Context
absorción,absortzio,Chemistry > Physical chemistry
absorción,absortzio; xurgapen,Technological Sciences > Environmental technology and engineering
ácido fuerte,azido sendo,Chemistry > Physical chemistry
ácido fuerte,azido indartsu; azido sendo,Technological Sciences > Environmental technology and engineering
base fuerte,base sendo,Chemistry > Physical chemistry
base fuerte,base gogor,Technological Sciences > Environmental technology and engineering
calor de reacción,erreakzio-bero; erreakzio-entalpia; erreakzioaren bero,Chemistry > Physical chemistry
calor de reacción,erreakzio bero,Technological Sciences > Environmental technology and engineering
carga,karga,Chemistry > Physical chemistry
carga,karga; zama,Technological Sciences > Environmental technology and engineering
caucho,goma; kautxu,Chemistry > Physical chemistry
caucho,kautxo,Technological Sciences > Environmental technology and engineering
combustión,errekuntza; konbustio,Chemistry > Physical chemistry
combustión,erreketa; errekuntza; konbustio,Technological Sciences > Environmental technology and engineering
composición,konposizio,Chemistry > Physical chemistry
composición,konposizio; osaera,Technological Sciences > Environmental technology and engineering
concentración iónica,kontzentrazio ioniko,Chemistry > Physical chemistry
concentración iónica,ioiaren kontzentrazio,Technological Sciences > Environmental technology and engineering
conductividad,eroankortasun; konduktibitate,Chemistry > Physical chemistry
conductividad,eroaletasun; eroankortasun; konduktibitate,Technological Sciences > Environmental technology and engineering
determinación experimental,determinazio esperimental,Chemistry > Physical chemistry
determinación experimental,zehaztapen esperimental,Technological Sciences > Environmental technology and engineering
difusión,difusio,Chemistry > Physical chemistry
difusión,barreiapen; difusio,Technological Sciences > Environmental technology and engineering
disolución,disoluzio,Chemistry > Physical chemistry
disolución,disoluzio; soluzio,Technological Sciences > Environmental technology and engineering
dispersión,dispertsio,Chemistry > Physical chemistry
dispersión,barreiadura; dispertsio; sakabanaketa; sakabanatze,Technological Sciences > Environmental technology and engineering
estado sólido,egoera solido; solido egoera,Chemistry > Physical chemistry
estado sólido,egoera solido,Technological Sciences > Environmental technology and engineering
estructura cristalina,egitura kristalino,Chemistry > Physical chemistry
estructura cristalina,kristal-egitura,Technological Sciences > Environmental technology and engineering
experimento,esperimentu,Chemistry > Physical chemistry
experimento,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
fase acuosa,fase akuoso,Chemistry > Physical chemistry
fase acuosa,ur-fase,Technological Sciences > Environmental technology and engineering
fracción molar,frakzio molar,Chemistry > Physical chemistry
fracción molar,frakzio molar; mol-frakzio,Technological Sciences > Environmental technology and engineering
fusión,fusio,Chemistry > Physical chemistry
fusión,fusio; urtze,Technological Sciences > Environmental technology and engineering
interacción,elkarrekintza,Chemistry > Physical chemistry
interacción,elkar-ekintza; elkarrekintza; interakzio,Technological Sciences > Environmental technology and engineering
mezcla,nahaste,Chemistry > Physical chemistry
mezcla,nahasketa; nahaste,Technological Sciences > Environmental technology and engineering
mezcla binaria,nahaste bitar,Chemistry > Physical chemistry
mezcla binaria,nahaste binario,Technological Sciences > Environmental technology and engineering
presión atmosférica,presio atmosferiko,Chemistry > Physical chemistry
presión atmosférica,egurats presio; presio atmosferiko,Technological Sciences > Environmental technology and engineering
punto de fusión,fusio-puntu,Chemistry > Physical chemistry
punto de fusión,urtze-puntu,Technological Sciences > Environmental technology and engineering
recipiente,ontzi,Chemistry > Physical chemistry
recipiente,andel; biltegi; tanga,Technological Sciences > Environmental technology and engineering
red cristalina,sare kristalino,Chemistry > Physical chemistry
red cristalina,kristal-sare,Technological Sciences > Environmental technology and engineering
reducción,erredukzio,Chemistry > Physical chemistry
reducción,erredukzio; murrizketa; murriztapen,Technological Sciences > Environmental technology and engineering
residuo,hondakin,Chemistry > Physical chemistry
residuo,errefus; hondakin; hondar,Technological Sciences > Environmental technology and engineering
temperatura ambiente,inguruko tenperatura,Chemistry > Physical chemistry
temperatura ambiente,giro-tenperatura,Technological Sciences > Environmental technology and engineering
temperatura de fusión,fusio-tenperatura,Chemistry > Physical chemistry
temperatura de fusión,fusio-tenperatura; urtze-tenperatura,Technological Sciences > Environmental technology and engineering
tensión,potentzial,Chemistry > Physical chemistry
tensión,tentsio,Technological Sciences > Environmental technology and engineering
transferencia de materia,masa-garraio,Chemistry > Physical chemistry
transferencia de materia,masa-transferentzia; materia-transferentzia,Technological Sciences > Environmental technology and engineering
tubo,hodi,Chemistry > Physical chemistry
tubo,tutu; hodi,Technological Sciences > Environmental technology and engineering
valoración,balorazio; estandarizazio; titulazio,Chemistry > Physical chemistry
valoración,balorazio; bolumetria; balioespen; balioztapen; balorazio; ebaluazio,Technological Sciences > Environmental technology and engineering
viscosidad,likatasun,Chemistry > Physical chemistry
viscosidad,biskositate; likatasun,Technological Sciences > Environmental technology and engineering
