Term,Translation,Context
acto,administrazio-egintza; egintza; egintza administratibo,Juridical Sciences & Law > Administrative law
acto,egitate,Juridical Sciences & Law > Constitutional law
administración local,administrazio lokal; toki administrazio,Juridical Sciences & Law > Administrative law
administración local,toki-administrazio; tokiko administrazio,Juridical Sciences & Law > Constitutional law
autoridad,agintari; agintaritza,Juridical Sciences & Law > Administrative law
autoridad,aginpide; agintari; agintaritza,Juridical Sciences & Law > Constitutional law
certificar,ziurtatu,Juridical Sciences & Law > Administrative law
certificar,egiaztatu; ziurtatu,Juridical Sciences & Law > Constitutional law
competencia,eskuduntza; eskumen,Juridical Sciences & Law > Administrative law
competencia,eskumen,Juridical Sciences & Law > Constitutional law
deber,eginbehar; eginbehar publiko,Juridical Sciences & Law > Administrative law
deber,behar; betebehar; eginbehar; eginbide,Juridical Sciences & Law > Constitutional law
delegación,eskuordetza; eskuordetze,Juridical Sciences & Law > Administrative law
delegación,delegazio,Juridical Sciences & Law > Constitutional law
demanda,demanda,Juridical Sciences & Law > Administrative law
demanda,eskakizun; eskari,Juridical Sciences & Law > Constitutional law
demandante,demandatzaile,Juridical Sciences & Law > Administrative law
demandante,eskatzaile,Juridical Sciences & Law > Constitutional law
derecho,eskubide; zuzenbide,Juridical Sciences & Law > Administrative law
derecho,eskubide,Juridical Sciences & Law > Constitutional law
diputación,aldundi,Juridical Sciences & Law > Administrative law
diputación,diputazio,Juridical Sciences & Law > Constitutional law
especialidad,espezialitate,Juridical Sciences & Law > Administrative law
especialidad,berezitasun,Juridical Sciences & Law > Constitutional law
expropiación,desjabetza; desjabetzapen; desjabetze,Juridical Sciences & Law > Administrative law
expropiación,desjabetze,Juridical Sciences & Law > Constitutional law
facultad,administrazio-ahalmen; ahalmen,Juridical Sciences & Law > Administrative law
facultad,ahal,Juridical Sciences & Law > Constitutional law
función,eginkizun; funtzio,Juridical Sciences & Law > Administrative law
función,betekizun; eginkizun,Juridical Sciences & Law > Constitutional law
irretroactividad,atzera-eragin ez; atzeraeragin ez; atzeraeragin ezin,Juridical Sciences & Law > Administrative law
irretroactividad,atzeraeraginezintasun,Juridical Sciences & Law > Constitutional law
obligación,betebehar; betebehar juridiko; obligazio,Juridical Sciences & Law > Administrative law
obligación,behar; betebehar; eginbehar; eginbide,Juridical Sciences & Law > Constitutional law
obligar,obligatu,Juridical Sciences & Law > Administrative law
obligar,behartu,Juridical Sciences & Law > Constitutional law
oposición,aurkakotza,Juridical Sciences & Law > Administrative law
oposición,kontrakotasun,Juridical Sciences & Law > Constitutional law
organización,antolaketa; antolakuntza; antolamendu,Juridical Sciences & Law > Administrative law
organización,antolaketa,Juridical Sciences & Law > Constitutional law
potestad,administrazio-ahal; ahal,Juridical Sciences & Law > Administrative law
potestad,ahalmen,Juridical Sciences & Law > Constitutional law
principio de legalidad,legezkotasun printzipio; legezkotasun-printzipio,Juridical Sciences & Law > Administrative law
principio de legalidad,legezkotasun; legezkotasun-printzipio; legezkotasunaren printzipio,Juridical Sciences & Law > Constitutional law
proceso,prozesu; prozesu judizial,Juridical Sciences & Law > Administrative law
proceso,auzibide,Juridical Sciences & Law > Constitutional law
rango,lerrun; maila,Juridical Sciences & Law > Administrative law
rango,lerrun,Juridical Sciences & Law > Constitutional law
recurso,errekurtso; helegite,Juridical Sciences & Law > Administrative law
recurso,errekurtso; eskabide; helegite; ahalbide; baliabide; bitarteko,Juridical Sciences & Law > Constitutional law
reglamento,erregelamendu,Juridical Sciences & Law > Administrative law
reglamento,araudi,Juridical Sciences & Law > Constitutional law
representación,ordezkapen,Juridical Sciences & Law > Administrative law
representación,ordezkaritza,Juridical Sciences & Law > Constitutional law
resolución,ebazpen; ebazpen-egintza; ebazte,Juridical Sciences & Law > Administrative law
resolución,ebazpen,Juridical Sciences & Law > Constitutional law
retribución,ordainsari,Juridical Sciences & Law > Administrative law
retribución,lansari,Juridical Sciences & Law > Constitutional law
retroactividad,atzera-eragin; atzeraeragin,Juridical Sciences & Law > Administrative law
retroactividad,atzeraeraginkortasun; atzeranzko eraginkortasun,Juridical Sciences & Law > Constitutional law
sanción,administrazio-zehapen; zehapen; zigor,Juridical Sciences & Law > Administrative law
sanción,zehapen,Juridical Sciences & Law > Constitutional law
sancionar,zehatu; zigortu,Juridical Sciences & Law > Administrative law
sancionar,berronetsi; zehaztapena jarri,Juridical Sciences & Law > Constitutional law
seguridad,segurtasun,Juridical Sciences & Law > Administrative law
seguridad,segurtasun; ziurtasun,Juridical Sciences & Law > Constitutional law
servicio público,zerbitzu publiko,Juridical Sciences & Law > Administrative law
servicio público,herri-zerbitzu,Juridical Sciences & Law > Constitutional law
situación,administrazio-egoera; egoera; egoera administratibo,Juridical Sciences & Law > Administrative law
situación,egoera,Juridical Sciences & Law > Constitutional law
suspender,geldieran utzi,Juridical Sciences & Law > Administrative law
suspender,bertan behera utzi; eten,Juridical Sciences & Law > Constitutional law
suspensión,eten; etendura; geldiera,Juridical Sciences & Law > Administrative law
suspensión,etendura,Juridical Sciences & Law > Constitutional law
uso,erabilera; erabilpen,Juridical Sciences & Law > Administrative law
uso,erabilera,Juridical Sciences & Law > Constitutional law
