Term,Translation,Context
acuerdo,akordio,Juridical Sciences & Law > Constitutional law
acuerdo,adostasun; akordio,Juridical Sciences & Law > Finance law
administración local,toki-administrazio; tokiko administrazio,Juridical Sciences & Law > Constitutional law
administración local,herri-erakunde,Juridical Sciences & Law > Finance law
anulación,deuseztatze,Juridical Sciences & Law > Constitutional law
anulación,anulazio; deuseztapen,Juridical Sciences & Law > Finance law
asesor,aholku,Juridical Sciences & Law > Constitutional law
asesor,aholkulari,Juridical Sciences & Law > Finance law
autorización,baimen,Juridical Sciences & Law > Constitutional law
autorización,eskuespen,Juridical Sciences & Law > Finance law
beneficio,onura,Juridical Sciences & Law > Constitutional law
beneficio,benefizio; etekin; onura; probetxu,Juridical Sciences & Law > Finance law
cambio,aldaketa,Juridical Sciences & Law > Constitutional law
cambio,truka-neurri,Juridical Sciences & Law > Finance law
competencia,eskumen,Juridical Sciences & Law > Constitutional law
competencia,lehia; eskumen,Juridical Sciences & Law > Finance law
Consejo de Ministros,ministro-kontseilu; ministroen kontseilu,Juridical Sciences & Law > Constitutional law
Consejo de Ministros,Ministroen Kontseilua,Juridical Sciences & Law > Finance law
cumplimiento,betetze,Juridical Sciences & Law > Constitutional law
cumplimiento,betepen,Juridical Sciences & Law > Finance law
declaración,adierazpen; aitorpen,Juridical Sciences & Law > Constitutional law
declaración,aitorpen; deklarazio,Juridical Sciences & Law > Finance law
declarante,adierazle,Juridical Sciences & Law > Constitutional law
declarante,aitortzaile,Juridical Sciences & Law > Finance law
declarar,adierazi; aitortu,Juridical Sciences & Law > Constitutional law
declarar,aitortu,Juridical Sciences & Law > Finance law
Derecho Público,herri-zuzenbide,Juridical Sciences & Law > Constitutional law
Derecho Público,Zuzenbide Publiko,Juridical Sciences & Law > Finance law
deuda pública,herri-zor,Juridical Sciences & Law > Constitutional law
deuda pública,herri-zor; zor publiko,Juridical Sciences & Law > Finance law
diputación,diputazio,Juridical Sciences & Law > Constitutional law
diputación,aldundi,Juridical Sciences & Law > Finance law
ejecutivo,betearazle,Juridical Sciences & Law > Constitutional law
ejecutivo,exekutibo,Juridical Sciences & Law > Finance law
ejercicio,ariketa,Juridical Sciences & Law > Constitutional law
ejercicio,ekitaldi,Juridical Sciences & Law > Finance law
hecho,gertakari,Juridical Sciences & Law > Constitutional law
hecho,egitate,Juridical Sciences & Law > Finance law
heredero,oinordeko,Juridical Sciences & Law > Constitutional law
heredero,jaraunsle,Juridical Sciences & Law > Finance law
irretroactividad,atzeraeraginezintasun,Juridical Sciences & Law > Constitutional law
irretroactividad,atzeraeraginkortasun ez,Juridical Sciences & Law > Finance law
jurado,zinpekoen epaimahai,Juridical Sciences & Law > Constitutional law
jurado,epaimahai,Juridical Sciences & Law > Finance law
menor de edad,adingabe; adingabeko,Juridical Sciences & Law > Constitutional law
menor de edad,adin gutxiko; adin txikiko; adingabe,Juridical Sciences & Law > Finance law
modificar,aldatu,Juridical Sciences & Law > Constitutional law
modificar,aldarazi,Juridical Sciences & Law > Finance law
periodo,aldi,Juridical Sciences & Law > Constitutional law
periodo,denbora-epe; epealdi,Juridical Sciences & Law > Finance law
plazo,epe,Juridical Sciences & Law > Constitutional law
plazo,denbora-epe; epealdi,Juridical Sciences & Law > Finance law
poder,aginte; botere,Juridical Sciences & Law > Constitutional law
poder,ahalorde; botere,Juridical Sciences & Law > Finance law
potestad reglamentaria,ahalmen erregelamendugile,Juridical Sciences & Law > Constitutional law
potestad reglamentaria,ahalgo erregelamendu-emaile,Juridical Sciences & Law > Finance law
principio de legalidad,legezkotasun; legezkotasun-printzipio; legezkotasunaren printzipio,Juridical Sciences & Law > Constitutional law
principio de legalidad,Legezkotasun-printzipio,Juridical Sciences & Law > Finance law
recurso,errekurtso; eskabide; helegite; ahalbide; baliabide; bitarteko,Juridical Sciences & Law > Constitutional law
recurso,errekurtso; helegite,Juridical Sciences & Law > Finance law
reducción,murrizketa,Juridical Sciences & Law > Constitutional law
reducción,murrizpen; murriztapen; txikipen,Juridical Sciences & Law > Finance law
reglamento,araudi,Juridical Sciences & Law > Constitutional law
reglamento,erreglamentu,Juridical Sciences & Law > Finance law
retroactividad,atzeraeraginkortasun; atzeranzko eraginkortasun,Juridical Sciences & Law > Constitutional law
retroactividad,atzeraeragin; atzeraeragintasun; atzerako eragin,Juridical Sciences & Law > Finance law
sucesión,hurrenkera; oinordetza,Juridical Sciences & Law > Constitutional law
sucesión,oinordetza,Juridical Sciences & Law > Finance law
sucesor,ondorengo,Juridical Sciences & Law > Constitutional law
sucesor,oinorde; ondorengo,Juridical Sciences & Law > Finance law
suspensión,etendura,Juridical Sciences & Law > Constitutional law
suspensión,etete,Juridical Sciences & Law > Finance law
Tribunal Constitucional,konstituzio-auzitegi,Juridical Sciences & Law > Constitutional law
Tribunal Constitucional,KA; Konstituzio Auzitegi,Juridical Sciences & Law > Finance law
tributo,zerga,Juridical Sciences & Law > Constitutional law
tributo,tributu,Juridical Sciences & Law > Finance law
validez,baliotasun,Juridical Sciences & Law > Constitutional law
validez,baliozkotasun,Juridical Sciences & Law > Finance law
