Term,Translation,Context
acuerdo,akordio,Juridical Sciences & Law > Constitutional law
acuerdo,adostasun,Juridical Sciences & Law > Law Philosophy
anulabilidad,deuseztagarritasun,Juridical Sciences & Law > Constitutional law
anulabilidad,anulagarritasun,Juridical Sciences & Law > Law Philosophy
argumento,arrazoibide,Juridical Sciences & Law > Constitutional law
argumento,argudio; argumentu,Juridical Sciences & Law > Law Philosophy
autoridad,aginpide; agintari; agintaritza,Juridical Sciences & Law > Constitutional law
autoridad,aginpide; aginte; agintari; autoritate,Juridical Sciences & Law > Law Philosophy
capacidad,gaitasun,Juridical Sciences & Law > Constitutional law
capacidad,ahalmen,Juridical Sciences & Law > Law Philosophy
característica,ezaugarri,Juridical Sciences & Law > Constitutional law
característica,berezkotasun,Juridical Sciences & Law > Law Philosophy
castigar,zigortu,Juridical Sciences & Law > Constitutional law
castigar,zehatu,Juridical Sciences & Law > Law Philosophy
certificar,egiaztatu; ziurtatu,Juridical Sciences & Law > Constitutional law
certificar,egiaztatu,Juridical Sciences & Law > Law Philosophy
compatibilidad,elkarkidetasun,Juridical Sciences & Law > Constitutional law
compatibilidad,bateragarritasun,Juridical Sciences & Law > Law Philosophy
competencia,eskumen,Juridical Sciences & Law > Constitutional law
competencia,eskuduntza; gaitasun,Juridical Sciences & Law > Law Philosophy
comunidad,erkidego,Juridical Sciences & Law > Constitutional law
comunidad,komunitate,Juridical Sciences & Law > Law Philosophy
declaración,adierazpen; aitorpen,Juridical Sciences & Law > Constitutional law
declaración,aldarrikapen,Juridical Sciences & Law > Law Philosophy
declarar,adierazi; aitortu,Juridical Sciences & Law > Constitutional law
declarar,aitortu,Juridical Sciences & Law > Law Philosophy
delegación,delegazio,Juridical Sciences & Law > Constitutional law
delegación,eskuordetza,Juridical Sciences & Law > Law Philosophy
efecto,eragin,Juridical Sciences & Law > Constitutional law
efecto,ondore,Juridical Sciences & Law > Law Philosophy
ejecutar,betearazi,Juridical Sciences & Law > Constitutional law
ejecutar,egikaritu; exekutatu; betearazi,Juridical Sciences & Law > Law Philosophy
enjuiciar,auziperatu; auzipetu,Juridical Sciences & Law > Constitutional law
enjuiciar,juzgatu,Juridical Sciences & Law > Law Philosophy
error,oker,Juridical Sciences & Law > Constitutional law
error,akats,Juridical Sciences & Law > Law Philosophy
establecer,ezarri,Juridical Sciences & Law > Constitutional law
establecer,xedatu,Juridical Sciences & Law > Law Philosophy
Estado de Derecho,zuzenbide-estatu; zuzenbidezko estatu,Juridical Sciences & Law > Constitutional law
Estado de Derecho,Zuzenbide Estatu; Zuzenbide-estatu; Zuzenbidezko Estatu,Juridical Sciences & Law > Law Philosophy
facultad,ahal,Juridical Sciences & Law > Constitutional law
facultad,ahalmen,Juridical Sciences & Law > Law Philosophy
función,betekizun; eginkizun,Juridical Sciences & Law > Constitutional law
función,funtzio,Juridical Sciences & Law > Law Philosophy
hecho,gertakari,Juridical Sciences & Law > Constitutional law
hecho,egitate,Juridical Sciences & Law > Law Philosophy
heredero,oinordeko,Juridical Sciences & Law > Constitutional law
heredero,jaraunsle,Juridical Sciences & Law > Law Philosophy
ilegalidad,legezkontrakotasun,Juridical Sciences & Law > Constitutional law
ilegalidad,legez kontrakotasun; zuzenbide  kontrakotasun,Juridical Sciences & Law > Law Philosophy
injusticia,bidegabetasun,Juridical Sciences & Law > Constitutional law
injusticia,bidegabekeria; injustizia,Juridical Sciences & Law > Law Philosophy
institución,erakunde,Juridical Sciences & Law > Constitutional law
institución,instituzio,Juridical Sciences & Law > Law Philosophy
jurado,zinpekoen epaimahai,Juridical Sciences & Law > Constitutional law
jurado,epaimahai,Juridical Sciences & Law > Law Philosophy
jurisdicción,jurisdikzio,Juridical Sciences & Law > Constitutional law
jurisdicción,eskumen,Juridical Sciences & Law > Law Philosophy
juzgar,epaitu,Juridical Sciences & Law > Constitutional law
juzgar,juzgatu,Juridical Sciences & Law > Law Philosophy
legitimidad,bidezkotasun,Juridical Sciences & Law > Constitutional law
legitimidad,legitimotasun; zilegitasun,Juridical Sciences & Law > Law Philosophy
mandato,agintaldi,Juridical Sciences & Law > Constitutional law
mandato,agindu,Juridical Sciences & Law > Law Philosophy
modelo,eredu,Juridical Sciences & Law > Constitutional law
modelo,jarraibide,Juridical Sciences & Law > Law Philosophy
necesidad,behar; betebehar; eginbehar; eginbide,Juridical Sciences & Law > Constitutional law
necesidad,beharrizan,Juridical Sciences & Law > Law Philosophy
nulidad,deuseztasun,Juridical Sciences & Law > Constitutional law
nulidad,deuseztapen; deuseztasun,Juridical Sciences & Law > Law Philosophy
obligación,behar; betebehar; eginbehar; eginbide,Juridical Sciences & Law > Constitutional law
obligación,betebehar; betekizun; eginbehar; obligazio,Juridical Sciences & Law > Law Philosophy
orden,hurrenkera,Juridical Sciences & Law > Constitutional law
orden,manamendu; agindu,Juridical Sciences & Law > Law Philosophy
organización,antolaketa,Juridical Sciences & Law > Constitutional law
organización,antolakuntza; antolamendu,Juridical Sciences & Law > Law Philosophy
proceso,auzibide,Juridical Sciences & Law > Constitutional law
proceso,epaiketa,Juridical Sciences & Law > Law Philosophy
prueba,erakusgarri,Juridical Sciences & Law > Constitutional law
prueba,froga,Juridical Sciences & Law > Law Philosophy
racionalidad,arrazoizkotasun,Juridical Sciences & Law > Constitutional law
racionalidad,arrazionaltasun; razionaltasun,Juridical Sciences & Law > Law Philosophy
rechazar,arbuiatu,Juridical Sciences & Law > Constitutional law
rechazar,ezetsi,Juridical Sciences & Law > Law Philosophy
régimen,araubide; erregimen,Juridical Sciences & Law > Constitutional law
régimen,eraentza,Juridical Sciences & Law > Law Philosophy
reglamento,araudi,Juridical Sciences & Law > Constitutional law
reglamento,araudi; arautegi; arauteria; erregelamendu,Juridical Sciences & Law > Law Philosophy
regular,arautu,Juridical Sciences & Law > Constitutional law
regular,arauak egin; arauak sortu; arautu; erregulatu,Juridical Sciences & Law > Law Philosophy
resolver,ebatzi,Juridical Sciences & Law > Constitutional law
resolver,ebatzi; ebazpenak eman,Juridical Sciences & Law > Law Philosophy
retroactividad,atzeraeraginkortasun; atzeranzko eraginkortasun,Juridical Sciences & Law > Constitutional law
retroactividad,atzera-eragin; atzeraeragin,Juridical Sciences & Law > Law Philosophy
sanción,zehapen,Juridical Sciences & Law > Constitutional law
sanción,santzio,Juridical Sciences & Law > Law Philosophy
sancionar,berronetsi; zehaztapena jarri,Juridical Sciences & Law > Constitutional law
sancionar,zehatu,Juridical Sciences & Law > Law Philosophy
seguridad,segurtasun; ziurtasun,Juridical Sciences & Law > Constitutional law
seguridad,ziurtasun,Juridical Sciences & Law > Law Philosophy
separación de poderes,aginteen banaketa; botere-banaketa; botereen banaketa,Juridical Sciences & Law > Constitutional law
separación de poderes,boterearen banaketa,Juridical Sciences & Law > Law Philosophy
unanimidad,ahobatezkotasun,Juridical Sciences & Law > Constitutional law
unanimidad,adostasun,Juridical Sciences & Law > Law Philosophy
uso,erabilera,Juridical Sciences & Law > Constitutional law
uso,usadio,Juridical Sciences & Law > Law Philosophy
validar,balioetsi,Juridical Sciences & Law > Constitutional law
validar,balioztatu,Juridical Sciences & Law > Law Philosophy
validez,baliotasun,Juridical Sciences & Law > Constitutional law
validez,baliozkotasun,Juridical Sciences & Law > Law Philosophy
violar,kalte egin; urratu,Juridical Sciences & Law > Constitutional law
violar,bortxatu,Juridical Sciences & Law > Law Philosophy
violencia,bortxa; indarkeria,Juridical Sciences & Law > Constitutional law
violencia,indarkeria,Juridical Sciences & Law > Law Philosophy
vulnerar,kalte egin; urratu,Juridical Sciences & Law > Constitutional law
vulnerar,bortxatu,Juridical Sciences & Law > Law Philosophy
