Term,Translation,Context
acto,egitate,Juridical Sciences & Law > Constitutional law
acto,egintza,Juridical Sciences & Law > Procedural law
actuación,jarduera; funtzionamendu; jardunbide; prozedura,Juridical Sciences & Law > Constitutional law
actuación,jarduketa,Juridical Sciences & Law > Procedural law
asistencia jurídica gratuita,doako zuzenbide-laguntza,Juridical Sciences & Law > Constitutional law
asistencia jurídica gratuita,doako justizia; doako laguntza juridiko,Juridical Sciences & Law > Procedural law
competencia,eskumen,Juridical Sciences & Law > Constitutional law
competencia,eskuduntza; eskumen,Juridical Sciences & Law > Procedural law
confiscación,bahikuntza,Juridical Sciences & Law > Constitutional law
confiscación,dekomiso; konfiskazio,Juridical Sciences & Law > Procedural law
decisión judicial,epaile-erabaki,Juridical Sciences & Law > Constitutional law
decisión judicial,erabaki judizial; pronuntziamendu judizial,Juridical Sciences & Law > Procedural law
declaración,adierazpen; aitorpen,Juridical Sciences & Law > Constitutional law
declaración,adierazpen; deklarazio,Juridical Sciences & Law > Procedural law
declarar,adierazi; aitortu,Juridical Sciences & Law > Constitutional law
declarar,adierazpena egin; deklaratu,Juridical Sciences & Law > Procedural law
demanda,eskakizun; eskari,Juridical Sciences & Law > Constitutional law
demanda,demanda,Juridical Sciences & Law > Procedural law
demandante,eskatzaile,Juridical Sciences & Law > Constitutional law
demandante,alderdi demandatzaile; demandatzaile,Juridical Sciences & Law > Procedural law
ejecutar,betearazi,Juridical Sciences & Law > Constitutional law
ejecutar,betearazi; exekutatu,Juridical Sciences & Law > Procedural law
juicio,epaiketa,Juridical Sciences & Law > Constitutional law
juicio,epaiketa; judizio,Juridical Sciences & Law > Procedural law
jurado,zinpekoen epaimahai,Juridical Sciences & Law > Constitutional law
jurado,zinpeko,Juridical Sciences & Law > Procedural law
Ley Orgánica del Poder Judicial,EALO; Epaitzeko Agintearen Lege Organikoa,Juridical Sciences & Law > Constitutional law
Ley Orgánica del Poder Judicial,BJLO; Botere Judiziaren Lege Organikoa; EBLO; Epai-Boterearen Lege Organikoa,Juridical Sciences & Law > Procedural law
medida preventiva,aurreneurri,Juridical Sciences & Law > Constitutional law
medida preventiva,prebentzio-neurri,Juridical Sciences & Law > Procedural law
nulidad,deuseztasun,Juridical Sciences & Law > Constitutional law
nulidad,anulazio; deuseztapen; deuseztatze,Juridical Sciences & Law > Procedural law
oposición,kontrakotasun,Juridical Sciences & Law > Constitutional law
oposición,aurka-egite,Juridical Sciences & Law > Procedural law
parcialidad,actitud partidista; alderdikeria,Juridical Sciences & Law > Constitutional law
parcialidad,partzialtasun,Juridical Sciences & Law > Procedural law
parte perjudicada,alde kaltetu,Juridical Sciences & Law > Constitutional law
parte perjudicada,alderdi kaltetu; kaltedun; kaltetu; kaltetutako alderdi,Juridical Sciences & Law > Procedural law
policía judicial,epai-polizia,Juridical Sciences & Law > Constitutional law
policía judicial,polizia judizial,Juridical Sciences & Law > Procedural law
ponente,autor del informe; txostengile,Juridical Sciences & Law > Constitutional law
ponente,ponente; txostengile,Juridical Sciences & Law > Procedural law
prisión preventiva,aurreneurrizko espetxeratze,Juridical Sciences & Law > Constitutional law
prisión preventiva,behin-behineko espetxealdi; behin-behineko espetxeratze,Juridical Sciences & Law > Procedural law
procesar,auziperatu; auzipetu,Juridical Sciences & Law > Constitutional law
procesar,auzipetu,Juridical Sciences & Law > Procedural law
proceso,auzibide,Juridical Sciences & Law > Constitutional law
proceso,prozesu,Juridical Sciences & Law > Procedural law
prueba,erakusgarri,Juridical Sciences & Law > Constitutional law
prueba,froga,Juridical Sciences & Law > Procedural law
recurso,errekurtso; eskabide; helegite; ahalbide; baliabide; bitarteko,Juridical Sciences & Law > Constitutional law
recurso,errekurtso,Juridical Sciences & Law > Procedural law
recurso de amparo,babes-helegite,Juridical Sciences & Law > Constitutional law
recurso de amparo,babes eskeko errekurtso; babes-errekurtso,Juridical Sciences & Law > Procedural law
suspender,bertan behera utzi; eten,Juridical Sciences & Law > Constitutional law
suspender,eseki,Juridical Sciences & Law > Procedural law
suspensión,etendura,Juridical Sciences & Law > Constitutional law
suspensión,esekipen,Juridical Sciences & Law > Procedural law
Tribunal Constitucional,konstituzio-auzitegi,Juridical Sciences & Law > Constitutional law
Tribunal Constitucional,Konstituzio Auzitegia,Juridical Sciences & Law > Procedural law
Tribunal de Justicia de la Unión Europea,Europar Batasunaren justizia auzitegi,Juridical Sciences & Law > Constitutional law
Tribunal de Justicia de la Unión Europea,Europar Batasuneko Justizia Auzitegia,Juridical Sciences & Law > Procedural law
tutela judicial efectiva,benetako babes judizial; epaileen babes eraginkor,Juridical Sciences & Law > Constitutional law
tutela judicial efectiva,babes judizial eraginkor; epai bidezko babes eraginkor; tutela judizial eraginkor,Juridical Sciences & Law > Procedural law
