Term,Translation,Context
acción,egitate,Juridical Sciences & Law > Constitutional law
acción,jarduera,Technological Sciences > Environmental technology and engineering
afinidad,elkarkidetasun,Juridical Sciences & Law > Constitutional law
afinidad,afinitate,Technological Sciences > Environmental technology and engineering
base,oinarri,Juridical Sciences & Law > Constitutional law
base,alkali; base,Technological Sciences > Environmental technology and engineering
cámara,ganbera,Juridical Sciences & Law > Constitutional law
cámara,ganbara; ganbera,Technological Sciences > Environmental technology and engineering
comparación,alderaketa; erkaketa; konparaketa,Juridical Sciences & Law > Constitutional law
comparación,alderaketa,Technological Sciences > Environmental technology and engineering
composición,osaera,Juridical Sciences & Law > Constitutional law
composición,konposizio; osaera,Technological Sciences > Environmental technology and engineering
disolver,itxi,Juridical Sciences & Law > Constitutional law
disolver,disolbatu,Technological Sciences > Environmental technology and engineering
efecto,eragin,Juridical Sciences & Law > Constitutional law
efecto,efektu,Technological Sciences > Environmental technology and engineering
evolución,bilakabide; bilakaera,Juridical Sciences & Law > Constitutional law
evolución,eboluzio,Technological Sciences > Environmental technology and engineering
juicio,epaiketa,Juridical Sciences & Law > Constitutional law
juicio,epai,Technological Sciences > Environmental technology and engineering
laguna,hutsune,Juridical Sciences & Law > Constitutional law
laguna,urmael,Technological Sciences > Environmental technology and engineering
limitación,murrizketa,Juridical Sciences & Law > Constitutional law
limitación,mugapen,Technological Sciences > Environmental technology and engineering
medida,neurri,Juridical Sciences & Law > Constitutional law
medida,neurketa,Technological Sciences > Environmental technology and engineering
medida preventiva,aurreneurri,Juridical Sciences & Law > Constitutional law
medida preventiva,ekintza prebentibo; neurri prebentibo,Technological Sciences > Environmental technology and engineering
medio,ahalbide; baliabide; bitarteko,Juridical Sciences & Law > Constitutional law
medio,ingurune,Technological Sciences > Environmental technology and engineering
movilidad,aldagarritasun,Juridical Sciences & Law > Constitutional law
movilidad,mugikortasun,Technological Sciences > Environmental technology and engineering
muestra,erakusgarri,Juridical Sciences & Law > Constitutional law
muestra,lagin,Technological Sciences > Environmental technology and engineering
plan,egitamu,Juridical Sciences & Law > Constitutional law
plan,plan,Technological Sciences > Environmental technology and engineering
plataforma continental,kontinente-zapalda,Juridical Sciences & Law > Constitutional law
plataforma continental,plataforma kontinental,Technological Sciences > Environmental technology and engineering
procesar,auziperatu; auzipetu,Juridical Sciences & Law > Constitutional law
procesar,prozesatu,Technological Sciences > Environmental technology and engineering
proceso,auzibide,Juridical Sciences & Law > Constitutional law
proceso,prozesu,Technological Sciences > Environmental technology and engineering
programa,egitamu,Juridical Sciences & Law > Constitutional law
programa,programa,Technological Sciences > Environmental technology and engineering
proyecto,egitasmo,Juridical Sciences & Law > Constitutional law
proyecto,proiektu,Technological Sciences > Environmental technology and engineering
prueba,erakusgarri,Juridical Sciences & Law > Constitutional law
prueba,entsegu; esperimentu; saiakuntza; ebidentzia; froga,Technological Sciences > Environmental technology and engineering
rango,lerrun,Juridical Sciences & Law > Constitutional law
rango,hein,Technological Sciences > Environmental technology and engineering
recurso,errekurtso; eskabide; helegite; ahalbide; baliabide; bitarteko,Juridical Sciences & Law > Constitutional law
recurso,baliabide,Technological Sciences > Environmental technology and engineering
reducción,murrizketa,Juridical Sciences & Law > Constitutional law
reducción,erredukzio; murrizketa; murriztapen,Technological Sciences > Environmental technology and engineering
sección,sail,Juridical Sciences & Law > Constitutional law
sección,ebakidura-azalera,Technological Sciences > Environmental technology and engineering
sucesión,hurrenkera; oinordetza,Juridical Sciences & Law > Constitutional law
sucesión,segida,Technological Sciences > Environmental technology and engineering
suspensión,etendura,Juridical Sciences & Law > Constitutional law
suspensión,esekidura; suspentsio,Technological Sciences > Environmental technology and engineering
transformación,eraldaketa,Juridical Sciences & Law > Constitutional law
transformación,eraldaketa; eraldatze; transformazio,Technological Sciences > Environmental technology and engineering
viabilidad,bideragarritasun,Juridical Sciences & Law > Constitutional law
viabilidad,eginkortasun,Technological Sciences > Environmental technology and engineering
