Term,Translation,Context
acción,akzio; ekintza,Physics > Electro-magnetism
acción,jarduera,Technological Sciences > Environmental technology and engineering
adaptación,egokitzapen,Physics > Electro-magnetism
adaptación,moldaketa; moldatze,Technological Sciences > Environmental technology and engineering
altura,altuera,Physics > Electro-magnetism
altura,altuera; garaiera,Technological Sciences > Environmental technology and engineering
balance energético,balantze energetiko,Physics > Electro-magnetism
balance energético,balantze energetiko; energia-balantze,Technological Sciences > Environmental technology and engineering
cantidad de movimiento,higidura-kantitate; momentu lineal,Physics > Electro-magnetism
cantidad de movimiento,higidura kantitate; higidura-kantitate,Technological Sciences > Environmental technology and engineering
carga,karga; karga elektriko,Physics > Electro-magnetism
carga,karga; zama,Technological Sciences > Environmental technology and engineering
conducción,eroapen; eroapen elektriko,Physics > Electro-magnetism
conducción,hoditeria; tutueria; kondukzio,Technological Sciences > Environmental technology and engineering
conductividad,eroaletasun; eroankortasun,Physics > Electro-magnetism
conductividad,eroaletasun; eroankortasun; konduktibitate,Technological Sciences > Environmental technology and engineering
conductividad eléctrica,eroaletasun elektriko; eroankortasun elektriko,Physics > Electro-magnetism
conductividad eléctrica,eroaletasun elektriko; eroankortasun elektriko; konduktibitate elektriko,Technological Sciences > Environmental technology and engineering
descomposición,deskonposaketa,Physics > Electro-magnetism
descomposición,degradazio; deskonposatze; deskonposizio; hondaketa,Technological Sciences > Environmental technology and engineering
desplazamiento,lerrakuntza; desplazamendu,Physics > Electro-magnetism
desplazamiento,desplazamendu,Technological Sciences > Environmental technology and engineering
discontinuidad,desjarraitasun; etenune,Physics > Electro-magnetism
discontinuidad,etenune,Technological Sciences > Environmental technology and engineering
dispersión,barreiadura; dispertsio; sakabanatze,Physics > Electro-magnetism
dispersión,barreiadura; dispertsio; sakabanaketa; sakabanatze,Technological Sciences > Environmental technology and engineering
disponibilidad,erabilgarritasun,Physics > Electro-magnetism
disponibilidad,erabilgarritasun; eskuragarritasun,Technological Sciences > Environmental technology and engineering
eficiencia,eraginkortasun,Physics > Electro-magnetism
eficiencia,eraginkortasun; errendimendu; etekin,Technological Sciences > Environmental technology and engineering
emisión,igorpen,Physics > Electro-magnetism
emisión,emisio; igorpen; isuri; isurketa; isurpen,Technological Sciences > Environmental technology and engineering
emisor,igorle,Physics > Electro-magnetism
emisor,igorle; iturburu; iturri; sorburu,Technological Sciences > Environmental technology and engineering
estación,estazio,Physics > Electro-magnetism
estación,urtaro,Technological Sciences > Environmental technology and engineering
expansión,espantsio; hedapen,Physics > Electro-magnetism
expansión,espantsio,Technological Sciences > Environmental technology and engineering
experimento,esperimentu; saiakuntza,Physics > Electro-magnetism
experimento,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
generador,generadore; sorgailu,Physics > Electro-magnetism
generador,sorgailu,Technological Sciences > Environmental technology and engineering
gravedad,grabitate,Physics > Electro-magnetism
gravedad,grabitate; grabitate-indar; grabitazio; indar grabitatorio,Technological Sciences > Environmental technology and engineering
interacción,elkarrekintza; interakzio,Physics > Electro-magnetism
interacción,elkar-ekintza; elkarrekintza; interakzio,Technological Sciences > Environmental technology and engineering
lámina,plaka; xafla,Physics > Electro-magnetism
lámina,xafla,Technological Sciences > Environmental technology and engineering
medida,neurri,Physics > Electro-magnetism
medida,neurketa,Technological Sciences > Environmental technology and engineering
medio,ingurune; medio,Physics > Electro-magnetism
medio,ingurune,Technological Sciences > Environmental technology and engineering
momento lineal,higidura-kantitate; momentu lineal,Physics > Electro-magnetism
momento lineal,higidura kantitate; higidura-kantitate,Technological Sciences > Environmental technology and engineering
movilidad,higikortasun,Physics > Electro-magnetism
movilidad,mugikortasun,Technological Sciences > Environmental technology and engineering
movimiento oscilatorio,higidura oszilakor; higidura oszilatzaile; oszilazio-higidura,Physics > Electro-magnetism
movimiento oscilatorio,mugimendu oszilakor,Technological Sciences > Environmental technology and engineering
origen de coordenadas,koordenatu-jatorri,Physics > Electro-magnetism
origen de coordenadas,koordenatuen jatorri,Technological Sciences > Environmental technology and engineering
producto,biderkadura,Physics > Electro-magnetism
producto,produktu,Technological Sciences > Environmental technology and engineering
propagación,hedapen; propagazio,Physics > Electro-magnetism
propagación,hedatze,Technological Sciences > Environmental technology and engineering
prueba,ebidentzia; froga,Physics > Electro-magnetism
prueba,entsegu; esperimentu; saiakuntza; ebidentzia; froga,Technological Sciences > Environmental technology and engineering
receptor,hargailu; hartzaile,Physics > Electro-magnetism
receptor,hartzaile,Technological Sciences > Environmental technology and engineering
recubrimiento,estalki,Physics > Electro-magnetism
recubrimiento,aldikako estaldura; estaldura; oinarriko estaldura,Technological Sciences > Environmental technology and engineering
rendimiento,errendimendu,Physics > Electro-magnetism
rendimiento,eraginkortasun; errendimendu; etekin,Technological Sciences > Environmental technology and engineering
resolver,bereizi,Physics > Electro-magnetism
resolver,ebatzi,Technological Sciences > Environmental technology and engineering
sección,ebakidura; sekzio,Physics > Electro-magnetism
sección,ebakidura-azalera,Technological Sciences > Environmental technology and engineering
serie,serie; serie matematiko,Physics > Electro-magnetism
serie,serie,Technological Sciences > Environmental technology and engineering
sucesión,progresio; segida,Physics > Electro-magnetism
sucesión,segida,Technological Sciences > Environmental technology and engineering
superposición,gainezarmen,Physics > Electro-magnetism
superposición,gainezarpen,Technological Sciences > Environmental technology and engineering
tensión,potentzial-diferentzia; tentsio,Physics > Electro-magnetism
tensión,tentsio,Technological Sciences > Environmental technology and engineering
transmisión,transmisio,Physics > Electro-magnetism
transmisión,trasnmisio,Technological Sciences > Environmental technology and engineering
