Term,Translation,Context
absorción,absortzio; xurgapen,Technological Sciences > Environmental technology and engineering
absorción,xurgapen,Technological Sciences > Telecommunications technology
adaptación,moldaketa; moldatze,Technological Sciences > Environmental technology and engineering
adaptación,egokitzapen,Technological Sciences > Telecommunications technology
balance energético,balantze energetiko; energia-balantze,Technological Sciences > Environmental technology and engineering
balance energético,balantze energetiko,Technological Sciences > Telecommunications technology
canal,kanal; ubide,Technological Sciences > Environmental technology and engineering
canal,kanal,Technological Sciences > Telecommunications technology
conductividad,eroaletasun; eroankortasun; konduktibitate,Technological Sciences > Environmental technology and engineering
conductividad,eroaletasun; eroankortasun,Technological Sciences > Telecommunications technology
conversión,konbertsio,Technological Sciences > Environmental technology and engineering
conversión,bihurketa,Technological Sciences > Telecommunications technology
descomposición,degradazio; deskonposatze; deskonposizio; hondaketa,Technological Sciences > Environmental technology and engineering
descomposición,deskonposaketa,Technological Sciences > Telecommunications technology
desviación estándar,desbideratze estandar; desbideratze normal; dispertsio-koefiziente; sakabanatze-koefiziente,Technological Sciences > Environmental technology and engineering
desviación estándar,desbiderapen estandar; desbiderapen tipiko,Technological Sciences > Telecommunications technology
dispersión,barreiadura; dispertsio; sakabanaketa; sakabanatze,Technological Sciences > Environmental technology and engineering
dispersión,dispertsio,Technological Sciences > Telecommunications technology
disponibilidad,erabilgarritasun; eskuragarritasun,Technological Sciences > Environmental technology and engineering
disponibilidad,erabilgarritasun,Technological Sciences > Telecommunications technology
dispositivo,dispositibo,Technological Sciences > Environmental technology and engineering
dispositivo,gailu,Technological Sciences > Telecommunications technology
distribución de Gauss,banaketa normal; distribuzio normal; Gauss-en banaketa; Gauss-en distribuzioa,Technological Sciences > Environmental technology and engineering
distribución de Gauss,banaketa gausstar,Technological Sciences > Telecommunications technology
distribución normal,banaketa normal; distribuzio normal; Gauss-en banaketa; Gauss-en distribuzioa,Technological Sciences > Environmental technology and engineering
distribución normal,banaketa gausstar,Technological Sciences > Telecommunications technology
eficiencia,eraginkortasun; errendimendu; etekin,Technological Sciences > Environmental technology and engineering
eficiencia,eraginkortasun,Technological Sciences > Telecommunications technology
eliminación,eliminazio; ezabaketa; ezabapen; kentze,Technological Sciences > Environmental technology and engineering
eliminación,ezabatze,Technological Sciences > Telecommunications technology
emisión,emisio; igorpen; isuri; isurketa; isurpen,Technological Sciences > Environmental technology and engineering
emisión,igorpen; transmisio,Technological Sciences > Telecommunications technology
emisor,igorle; iturburu; iturri; sorburu,Technological Sciences > Environmental technology and engineering
emisor,igorle; transmisore,Technological Sciences > Telecommunications technology
estación,urtaro,Technological Sciences > Environmental technology and engineering
estación,estazio,Technological Sciences > Telecommunications technology
factor de corrección,faktore zuzentzaile; zuzenketa-faktore,Technological Sciences > Environmental technology and engineering
factor de corrección,zuzenketa-faktore,Technological Sciences > Telecommunications technology
interfase,fasearte,Technological Sciences > Environmental technology and engineering
interfase,interfaze,Technological Sciences > Telecommunications technology
interrupción,etendura,Technological Sciences > Environmental technology and engineering
interrupción,etenaldi,Technological Sciences > Telecommunications technology
inversión,inbertsio; inbestitze,Technological Sciences > Environmental technology and engineering
inversión,inbertsio,Technological Sciences > Telecommunications technology
muestreo,laginketa,Technological Sciences > Environmental technology and engineering
muestreo,laginketa; lagintze,Technological Sciences > Telecommunications technology
ponderación,haztapen; haztatze; ponderazio,Technological Sciences > Environmental technology and engineering
ponderación,haztatze,Technological Sciences > Telecommunications technology
procesado,prozesamendu,Technological Sciences > Environmental technology and engineering
procesado,prozesaketa; prozesatze,Technological Sciences > Telecommunications technology
programación,egitarau,Technological Sciences > Environmental technology and engineering
programación,programazio,Technological Sciences > Telecommunications technology
propagación,hedatze,Technological Sciences > Environmental technology and engineering
propagación,hedapen; propagazio,Technological Sciences > Telecommunications technology
realimentación,atzera-lotura,Technological Sciences > Environmental technology and engineering
realimentación,atzeraelikadura; berrelikadura,Technological Sciences > Telecommunications technology
receptor,hartzaile,Technological Sciences > Environmental technology and engineering
receptor,hargailu; hartzaile,Technological Sciences > Telecommunications technology
recubrimiento,aldikako estaldura; estaldura; oinarriko estaldura,Technological Sciences > Environmental technology and engineering
recubrimiento,estaldura,Technological Sciences > Telecommunications technology
superposición,gainezarpen,Technological Sciences > Environmental technology and engineering
superposición,gainjartze,Technological Sciences > Telecommunications technology
transformación,eraldaketa; eraldatze; transformazio,Technological Sciences > Environmental technology and engineering
transformación,transformazio,Technological Sciences > Telecommunications technology
transmisión,trasnmisio,Technological Sciences > Environmental technology and engineering
transmisión,igorpen; transmisio,Technological Sciences > Telecommunications technology
umbral,atalase; muga-balio,Technological Sciences > Environmental technology and engineering
umbral,atari,Technological Sciences > Telecommunications technology
valor umbral,atalase; muga-balio,Technological Sciences > Environmental technology and engineering
valor umbral,atari-balio,Technological Sciences > Telecommunications technology
viabilidad,eginkortasun,Technological Sciences > Environmental technology and engineering
viabilidad,bideragarritasun,Technological Sciences > Telecommunications technology
