Term,Translation,Context
ácido clorhídrico,chlorhydric acid,Medical Sciences > Pharmaceutical Technology
ácido clorhídrico,hydrochloric acid,Technological Sciences > Environmental technology and engineering
almacén,store,Medical Sciences > Pharmaceutical Technology
almacén,storehouse,Technological Sciences > Environmental technology and engineering
balanza,balance,Medical Sciences > Pharmaceutical Technology
balanza,balance; weighing scale,Technological Sciences > Environmental technology and engineering
base,base,Medical Sciences > Pharmaceutical Technology
base,alkali; base,Technological Sciences > Environmental technology and engineering
brillo,shine,Medical Sciences > Pharmaceutical Technology
brillo,brightness,Technological Sciences > Environmental technology and engineering
carga,charge,Medical Sciences > Pharmaceutical Technology
carga,charge; load,Technological Sciences > Environmental technology and engineering
carga eléctrica,electric charge,Medical Sciences > Pharmaceutical Technology
carga eléctrica,electric charge; electrical charge,Technological Sciences > Environmental technology and engineering
caudal,flow,Medical Sciences > Pharmaceutical Technology
caudal,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
cierre,closure; lock,Medical Sciences > Pharmaceutical Technology
cierre,close down; closing,Technological Sciences > Environmental technology and engineering
cloruro,klorure,Medical Sciences > Pharmaceutical Technology
cloruro,chloride,Technological Sciences > Environmental technology and engineering
colorante,colouring,Medical Sciences > Pharmaceutical Technology
colorante,colorant; colourant; dye,Technological Sciences > Environmental technology and engineering
componente,ingredient,Medical Sciences > Pharmaceutical Technology
componente,component,Technological Sciences > Environmental technology and engineering
contaminación,contamination,Medical Sciences > Pharmaceutical Technology
contaminación,contamination; pollution,Technological Sciences > Environmental technology and engineering
desviación estándar,standard deviation,Medical Sciences > Pharmaceutical Technology
desviación estándar,dispersion coefficient; standard deviation,Technological Sciences > Environmental technology and engineering
determinación,assessment,Medical Sciences > Pharmaceutical Technology
determinación,determination,Technological Sciences > Environmental technology and engineering
disolución,dissolution,Medical Sciences > Pharmaceutical Technology
disolución,dissolution; solution,Technological Sciences > Environmental technology and engineering
distribución normal,normal distribution,Medical Sciences > Pharmaceutical Technology
distribución normal,Gaussian distribution; normal distribution,Technological Sciences > Environmental technology and engineering
dosificación,dosage,Medical Sciences > Pharmaceutical Technology
dosificación,dosing,Technological Sciences > Environmental technology and engineering
efecto,action; effect,Medical Sciences > Pharmaceutical Technology
efecto,effect,Technological Sciences > Environmental technology and engineering
eficacia,efficiency,Medical Sciences > Pharmaceutical Technology
eficacia,efficacy,Technological Sciences > Environmental technology and engineering
enlace,link,Medical Sciences > Pharmaceutical Technology
enlace,bond,Technological Sciences > Environmental technology and engineering
ensayo,assay,Medical Sciences > Pharmaceutical Technology
ensayo,experiment; test; trial,Technological Sciences > Environmental technology and engineering
fibra,fiber,Medical Sciences > Pharmaceutical Technology
fibra,fiber; fibre,Technological Sciences > Environmental technology and engineering
flujo,flux,Medical Sciences > Pharmaceutical Technology
flujo,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
fuente,source,Medical Sciences > Pharmaceutical Technology
fuente,emitter; sender; source; fontain; spring,Technological Sciences > Environmental technology and engineering
fusión,fusion,Medical Sciences > Pharmaceutical Technology
fusión,fusion; melting,Technological Sciences > Environmental technology and engineering
hongo,fungi,Medical Sciences > Pharmaceutical Technology
hongo,fungi; fungus,Technological Sciences > Environmental technology and engineering
indicador,indicator,Medical Sciences > Pharmaceutical Technology
indicador,index; indicator,Technological Sciences > Environmental technology and engineering
indicador biológico,biological marker,Medical Sciences > Pharmaceutical Technology
indicador biológico,bioindicator; biological indicator,Technological Sciences > Environmental technology and engineering
inspección,inspection,Medical Sciences > Pharmaceutical Technology
inspección,audit,Technological Sciences > Environmental technology and engineering
magnitud,magnitude,Medical Sciences > Pharmaceutical Technology
magnitud,impact magnitude; magnitude,Technological Sciences > Environmental technology and engineering
materia,matter,Medical Sciences > Pharmaceutical Technology
materia,material; matter,Technological Sciences > Environmental technology and engineering
material filtrante,filtration material,Medical Sciences > Pharmaceutical Technology
material filtrante,filter material,Technological Sciences > Environmental technology and engineering
matraz,volumetric flask,Medical Sciences > Pharmaceutical Technology
matraz,flask,Technological Sciences > Environmental technology and engineering
media,average,Medical Sciences > Pharmaceutical Technology
media,average; mean,Technological Sciences > Environmental technology and engineering
medida,measurement,Medical Sciences > Pharmaceutical Technology
medida,measure,Technological Sciences > Environmental technology and engineering
medio,media,Medical Sciences > Pharmaceutical Technology
medio,environment; medium,Technological Sciences > Environmental technology and engineering
normativa,regulations,Medical Sciences > Pharmaceutical Technology
normativa,legislation,Technological Sciences > Environmental technology and engineering
núcleo,core,Medical Sciences > Pharmaceutical Technology
núcleo,nucleus,Technological Sciences > Environmental technology and engineering
polvo,powder,Medical Sciences > Pharmaceutical Technology
polvo,dust,Technological Sciences > Environmental technology and engineering
producción,manufacturing,Medical Sciences > Pharmaceutical Technology
producción,output; production,Technological Sciences > Environmental technology and engineering
productor,manufacturer,Medical Sciences > Pharmaceutical Technology
productor,producer,Technological Sciences > Environmental technology and engineering
rayo,beam,Medical Sciences > Pharmaceutical Technology
rayo,ray,Technological Sciences > Environmental technology and engineering
reactivo,reagent,Medical Sciences > Pharmaceutical Technology
reactivo,reactant; reagent,Technological Sciences > Environmental technology and engineering
recubrimiento,coating; cover,Medical Sciences > Pharmaceutical Technology
recubrimiento,lining; plating; cover,Technological Sciences > Environmental technology and engineering
rendimiento,yield,Medical Sciences > Pharmaceutical Technology
rendimiento,efficiency; throughput; yield,Technological Sciences > Environmental technology and engineering
ruptura,breaking,Medical Sciences > Pharmaceutical Technology
ruptura,break; rupture,Technological Sciences > Environmental technology and engineering
sonda,probe,Medical Sciences > Pharmaceutical Technology
sonda,sound,Technological Sciences > Environmental technology and engineering
substrato,substract,Medical Sciences > Pharmaceutical Technology
substrato,substrate; substratum,Technological Sciences > Environmental technology and engineering
temperatura ambiente,room temperature,Medical Sciences > Pharmaceutical Technology
temperatura ambiente,ambient temperature,Technological Sciences > Environmental technology and engineering
temperatura de fusión,fusion temperature,Medical Sciences > Pharmaceutical Technology
temperatura de fusión,fusion temperature; melting temperature,Technological Sciences > Environmental technology and engineering
transparencia,transparency,Medical Sciences > Pharmaceutical Technology
transparencia,clarity; transparency,Technological Sciences > Environmental technology and engineering
tubo,tube,Medical Sciences > Pharmaceutical Technology
tubo,pipe; tube,Technological Sciences > Environmental technology and engineering
unidad de volumen,unit of volume,Medical Sciences > Pharmaceutical Technology
unidad de volumen,volume unit,Technological Sciences > Environmental technology and engineering
urea,urea,Medical Sciences > Pharmaceutical Technology
urea,CH<sub>4</sub>N2O; CO(NH<sub>2</sub>)<sub>2</sub>; urea,Technological Sciences > Environmental technology and engineering
valoración,assay,Medical Sciences > Pharmaceutical Technology
valoración,titration; volumetric analysis; assessment; evaluation; valuation,Technological Sciences > Environmental technology and engineering
vapor,steam,Medical Sciences > Pharmaceutical Technology
vapor,vapor; vapour,Technological Sciences > Environmental technology and engineering
velocidad,rate,Medical Sciences > Pharmaceutical Technology
velocidad,rate; speed; velocity,Technological Sciences > Environmental technology and engineering
velocidad de reacción,reaction rate,Medical Sciences > Pharmaceutical Technology
velocidad de reacción,rate of reaction; reaction rate,Technological Sciences > Environmental technology and engineering
