Term,Translation,Context
aislante,isolator,Physics > Aplied Physics
aislante,insulator,Physics > Electro-magnetism
cable,cable,Physics > Aplied Physics
cable,wire,Physics > Electro-magnetism
cable coaxial,coaxial cable,Physics > Aplied Physics
cable coaxial,coax; coaxial cable,Physics > Electro-magnetism
capacidad,capacitance,Physics > Aplied Physics
capacidad,capacitance; capacity,Physics > Electro-magnetism
carga,charge,Physics > Aplied Physics
carga,charge; electric charge; electrical charge,Physics > Electro-magnetism
carga eléctrica,electric charge,Physics > Aplied Physics
carga eléctrica,charge; electric charge; electrical charge,Physics > Electro-magnetism
centro,center; centre,Physics > Aplied Physics
centro,center; symmetry center,Physics > Electro-magnetism
conductividad eléctrica,electric conductivity,Physics > Aplied Physics
conductividad eléctrica,electrical conductivity,Physics > Electro-magnetism
conexión en serie,series connection,Physics > Aplied Physics
conexión en serie,association in series; series conection,Physics > Electro-magnetism
diferencia de potencial,potential difference,Physics > Aplied Physics
diferencia de potencial,potential difference; tension; voltage,Physics > Electro-magnetism
enlace,bond,Physics > Aplied Physics
enlace,link; bond,Physics > Electro-magnetism
equilibrio,equilibrium,Physics > Aplied Physics
equilibrio,equilibrium; mechanical equilibrium,Physics > Electro-magnetism
frecuencia,frecuency,Physics > Aplied Physics
frecuencia,frequency,Physics > Electro-magnetism
frecuencia angular,angular frecuency,Physics > Aplied Physics
frecuencia angular,angular frequency; pulsation,Physics > Electro-magnetism
frente de onda,wavefront,Physics > Aplied Physics
frente de onda,wave front; wavefront,Physics > Electro-magnetism
fuerza electromotriz inducida,induced emf,Physics > Aplied Physics
fuerza electromotriz inducida,induced electromotive force,Physics > Electro-magnetism
intensidad de corriente,current,Physics > Aplied Physics
intensidad de corriente,current intensity; intensity of current,Physics > Electro-magnetism
intensidad inducida,induced current; intensidad inducida,Physics > Aplied Physics
intensidad inducida,induced intensity,Physics > Electro-magnetism
interruptor,switch,Physics > Aplied Physics
interruptor,breaker,Physics > Electro-magnetism
ley de conservación,conservation law,Physics > Aplied Physics
ley de conservación,conservation law; law of conservation,Physics > Electro-magnetism
magnitud,magnitude,Physics > Aplied Physics
magnitud,physical quantity; quantity,Physics > Electro-magnetism
magnitud física,phisical magnitude,Physics > Aplied Physics
magnitud física,physical quantity; quantity,Physics > Electro-magnetism
magnitud vectorial,vector magnitude; vector quantity,Physics > Aplied Physics
magnitud vectorial,vector quantity,Physics > Electro-magnetism
módulo,module; modulus,Physics > Aplied Physics
módulo,modulus,Physics > Electro-magnetism
momento,moment of a force; torque,Physics > Aplied Physics
momento,moment; moment of a force; torque,Physics > Electro-magnetism
movimiento,motion,Physics > Aplied Physics
movimiento,motion; movement,Physics > Electro-magnetism
movimiento de rotación,rotary motion,Physics > Aplied Physics
movimiento de rotación,rotating motion; rotational motion,Physics > Electro-magnetism
movimiento oscilatorio,oscillatory motion,Physics > Aplied Physics
movimiento oscilatorio,oscillating motion; oscillating movement; oscillatory motion,Physics > Electro-magnetism
núcleo,core; nucleus,Physics > Aplied Physics
núcleo,nucleus,Physics > Electro-magnetism
orientación,sense,Physics > Aplied Physics
orientación,orientation,Physics > Electro-magnetism
origen de coordenadas,origin of coordinates; point of origin,Physics > Aplied Physics
origen de coordenadas,origin of coordinates,Physics > Electro-magnetism
permitividad,permittivity,Physics > Aplied Physics
permitividad,absolute permittivity; permittivity,Physics > Electro-magnetism
perturbación,perturbation,Physics > Aplied Physics
perturbación,disturbance; perturbation,Physics > Electro-magnetism
polarizar,polarise,Physics > Aplied Physics
polarizar,polarize,Physics > Electro-magnetism
pulsación,pulsation,Physics > Aplied Physics
pulsación,angular frequency; pulsation,Physics > Electro-magnetism
radio,radio,Physics > Aplied Physics
radio,radius,Physics > Electro-magnetism
resistencia,resistance,Physics > Aplied Physics
resistencia,ohmic resistance; resistance,Physics > Electro-magnetism
resistencia eléctrica,electric resistence,Physics > Aplied Physics
resistencia eléctrica,electrical resistance,Physics > Electro-magnetism
sentido,sense,Physics > Aplied Physics
sentido,direction of motion; directional sense; sense; sense of motion,Physics > Electro-magnetism
serie,series,Physics > Aplied Physics
serie,mathematical series; series,Physics > Electro-magnetism
sistema de cargas,charge system,Physics > Aplied Physics
sistema de cargas,system of charges,Physics > Electro-magnetism
sistema de partículas,system of particles,Physics > Aplied Physics
sistema de partículas,particle system,Physics > Electro-magnetism
sistema de referencia,frame of reference; reference system,Physics > Aplied Physics
sistema de referencia,reference system,Physics > Electro-magnetism
sólido rígido,rigid solid,Physics > Aplied Physics
sólido rígido,rigid body; solid body,Physics > Electro-magnetism
sonda,sonde,Physics > Aplied Physics
sonda,probe,Physics > Electro-magnetism
tensión,tension,Physics > Aplied Physics
tensión,potential difference; tension; voltage,Physics > Electro-magnetism
trayectoria,trajectory,Physics > Aplied Physics
trayectoria,path; trajectory,Physics > Electro-magnetism
vector velocidad,velocity vector,Physics > Aplied Physics
vector velocidad,linear velocity; speed; velocity,Physics > Electro-magnetism
velocidad,linear velocity; velocity,Physics > Aplied Physics
velocidad,linear velocity; speed; velocity,Physics > Electro-magnetism
velocidad de propagación,propagation velocity,Physics > Aplied Physics
velocidad de propagación,propagation velocity; speed of propagation; velocity of propagation,Physics > Electro-magnetism
velocidad lineal,linear velocity; velocity,Physics > Aplied Physics
velocidad lineal,linear velocity; speed; velocity,Physics > Electro-magnetism
