Term,Translation,Context
cambio de fase,change of phase; phase change,Physics > Electro-magnetism
cambio de fase,phase transition,Physics > General Physics specialities
capa,layer; slab,Physics > Electro-magnetism
capa,layer,Physics > General Physics specialities
carga eléctrica,charge; electric charge; electrical charge,Physics > Electro-magnetism
carga eléctrica,electric charge,Physics > General Physics specialities
caudal,flow,Physics > Electro-magnetism
caudal,flow rate,Physics > General Physics specialities
constante de integración,integration constant,Physics > Electro-magnetism
constante de integración,constant of integration,Physics > General Physics specialities
desfase,phase shift,Physics > Electro-magnetism
desfase,phase difference,Physics > General Physics specialities
desplazamiento,shift; displacement,Physics > Electro-magnetism
desplazamiento,displacement,Physics > General Physics specialities
diferencia de potencial,potential difference; tension; voltage,Physics > Electro-magnetism
diferencia de potencial,voltage,Physics > General Physics specialities
enlace,link; bond,Physics > Electro-magnetism
enlace,bond,Physics > General Physics specialities
expansión,espansion,Physics > Electro-magnetism
expansión,expansion,Physics > General Physics specialities
flujo,flux,Physics > Electro-magnetism
flujo,flow,Physics > General Physics specialities
frecuencia angular,angular frequency; pulsation,Physics > Electro-magnetism
frecuencia angular,angular frequency,Physics > General Physics specialities
frente de onda,wave front; wavefront,Physics > Electro-magnetism
frente de onda,wavefront,Physics > General Physics specialities
fuerza de atracción,attraction; attractive force,Physics > Electro-magnetism
fuerza de atracción,attraction force; attractive force,Physics > General Physics specialities
índice de refracción,index of refraction; refractive index,Physics > Electro-magnetism
índice de refracción,refraction index,Physics > General Physics specialities
intensidad de corriente,current intensity; intensity of current,Physics > Electro-magnetism
intensidad de corriente,current intensity; electric current,Physics > General Physics specialities
intensidad luminosa,light intensity; luminous intensity,Physics > Electro-magnetism
intensidad luminosa,luminous intensity,Physics > General Physics specialities
ley de conservación,conservation law; law of conservation,Physics > Electro-magnetism
ley de conservación,conservation law,Physics > General Physics specialities
magnitud,physical quantity; quantity,Physics > Electro-magnetism
magnitud,quantity,Physics > General Physics specialities
magnitud escalar,scalar quanty,Physics > Electro-magnetism
magnitud escalar,scalar quantity,Physics > General Physics specialities
magnitud física,physical quantity; quantity,Physics > Electro-magnetism
magnitud física,physical quantity,Physics > General Physics specialities
medición,measurement,Physics > Electro-magnetism
medición,measuring,Physics > General Physics specialities
medida,measure,Physics > Electro-magnetism
medida,measuring; measurement,Physics > General Physics specialities
métrica,metrics,Physics > Electro-magnetism
métrica,metric,Physics > General Physics specialities
módulo de compresibilidad,bulk modulus,Physics > Electro-magnetism
módulo de compresibilidad,compressibility modulus,Physics > General Physics specialities
momento,moment; moment of a force; torque,Physics > Electro-magnetism
momento,linear momentum; momentum; moment; torque,Physics > General Physics specialities
movimiento,motion; movement,Physics > Electro-magnetism
movimiento,motion,Physics > General Physics specialities
movimiento oscilatorio,oscillating motion; oscillating movement; oscillatory motion,Physics > Electro-magnetism
movimiento oscilatorio,oscillating motion,Physics > General Physics specialities
movimiento rectilíneo,rectilinear motion,Physics > Electro-magnetism
movimiento rectilíneo,linear motion,Physics > General Physics specialities
movimiento relativo,relative movement,Physics > Electro-magnetism
movimiento relativo,relative motion,Physics > General Physics specialities
onda sinusoidal,sinusoidal wave,Physics > Electro-magnetism
onda sinusoidal,sine wave,Physics > General Physics specialities
permitividad,absolute permittivity; permittivity,Physics > Electro-magnetism
permitividad,permittivity,Physics > General Physics specialities
perturbación,disturbance; perturbation,Physics > Electro-magnetism
perturbación,perturbation,Physics > General Physics specialities
posición de equilibrio,position of equilibrium,Physics > Electro-magnetism
posición de equilibrio,equilibrium position,Physics > General Physics specialities
prueba,evidence; proof,Physics > Electro-magnetism
prueba,test,Physics > General Physics specialities
radiofrecuencia,radio frequency; RF,Physics > Electro-magnetism
radiofrecuencia,radio frequency,Physics > General Physics specialities
rayo ultravioleta,UV ray,Physics > Electro-magnetism
rayo ultravioleta,ultraviolet ray,Physics > General Physics specialities
rayo X,Roentgen rays; X-ray; X-rays,Physics > Electro-magnetism
rayo X,X-ray,Physics > General Physics specialities
resistencia,ohmic resistance; resistance,Physics > Electro-magnetism
resistencia,resistor; resistance,Physics > General Physics specialities
sentido,direction of motion; directional sense; sense; sense of motion,Physics > Electro-magnetism
sentido,direction; sense,Physics > General Physics specialities
serie,mathematical series; series,Physics > Electro-magnetism
serie,series,Physics > General Physics specialities
sistema de ecuaciones,system of equations,Physics > Electro-magnetism
sistema de ecuaciones,equation system,Physics > General Physics specialities
sistema internacional de unidades,international system of units; International System of Units; SI; SI system,Physics > Electro-magnetism
sistema internacional de unidades,international system of units,Physics > General Physics specialities
sólido rígido,rigid body; solid body,Physics > Electro-magnetism
sólido rígido,rigid body,Physics > General Physics specialities
sucesión,progression; sequence,Physics > Electro-magnetism
sucesión,sequence,Physics > General Physics specialities
tensión,potential difference; tension; voltage,Physics > Electro-magnetism
tensión,tension,Physics > General Physics specialities
trayectoria,path; trajectory,Physics > Electro-magnetism
trayectoria,trajectory,Physics > General Physics specialities
velocidad,linear velocity; speed; velocity,Physics > Electro-magnetism
velocidad,speed; velocity,Physics > General Physics specialities
velocidad de propagación,propagation velocity; speed of propagation; velocity of propagation,Physics > Electro-magnetism
velocidad de propagación,velocity of propagation,Physics > General Physics specialities
