Term,Translation,Context
acoplar,couple,Physics > Electro-magnetism
acoplar,connect,Technological Sciences > Electrical technology and engineering
aislador,isolator,Physics > Electro-magnetism
aislador,insulator,Technological Sciences > Electrical technology and engineering
aparato de medida,measuring device; meter,Physics > Electro-magnetism
aparato de medida,measurement device; measuring instrument,Technological Sciences > Electrical technology and engineering
armadura,armature,Physics > Electro-magnetism
armadura,armature; armour,Technological Sciences > Electrical technology and engineering
asociación en paralelo,parallel association,Physics > Electro-magnetism
asociación en paralelo,parallel combination,Technological Sciences > Electrical technology and engineering
asociación en serie,association in series; series conection,Physics > Electro-magnetism
asociación en serie,series combination,Technological Sciences > Electrical technology and engineering
cable,wire,Physics > Electro-magnetism
cable,cable,Technological Sciences > Electrical technology and engineering
capacidad,capacitance; capacity,Physics > Electro-magnetism
capacidad,capacitance; electric capacity,Technological Sciences > Electrical technology and engineering
carga,charge; electric charge; electrical charge,Physics > Electro-magnetism
carga,load,Technological Sciences > Electrical technology and engineering
carga eléctrica,charge; electric charge; electrical charge,Physics > Electro-magnetism
carga eléctrica,electric load; electrical load,Technological Sciences > Electrical technology and engineering
chapa,plate; sheet,Physics > Electro-magnetism
chapa,sheet,Technological Sciences > Electrical technology and engineering
conexión en paralelo,parallel connection,Physics > Electro-magnetism
conexión en paralelo,parallel combination,Technological Sciences > Electrical technology and engineering
conexión en serie,association in series; series conection,Physics > Electro-magnetism
conexión en serie,series connection,Technological Sciences > Electrical technology and engineering
corriente de magnetización,magnetization current,Physics > Electro-magnetism
corriente de magnetización,excitation current; excitation system current; magnetising current,Technological Sciences > Electrical technology and engineering
corte,cut-off,Physics > Electro-magnetism
corte,breaking,Technological Sciences > Electrical technology and engineering
cortocircuito,short circuit,Physics > Electro-magnetism
cortocircuito,short-circuit,Technological Sciences > Electrical technology and engineering
desfase,phase shift,Physics > Electro-magnetism
desfase,phase difference; phase displacement; phase shift,Technological Sciences > Electrical technology and engineering
diferencia de fase,phase angle; phase difference,Physics > Electro-magnetism
diferencia de fase,phase difference; phase displacement; phase shift,Technological Sciences > Electrical technology and engineering
diferencia de potencial,potential difference; tension; voltage,Physics > Electro-magnetism
diferencia de potencial,potential difference; voltage; potential difference,Technological Sciences > Electrical technology and engineering
ecuaciones de Maxwell,electromagnetic field equations; Maxwell equations; Maxwell field equations; Maxwell's equation,Physics > Electro-magnetism
ecuaciones de Maxwell,Maxwell's equations,Technological Sciences > Electrical technology and engineering
eje,axis,Physics > Electro-magnetism
eje,shaft,Technological Sciences > Electrical technology and engineering
eje de transmisión,transmission axis,Physics > Electro-magnetism
eje de transmisión,dumb-bell shaft; spacer shaft,Technological Sciences > Electrical technology and engineering
elemento pasivo,pasive element,Physics > Electro-magnetism
elemento pasivo,passive element,Technological Sciences > Electrical technology and engineering
energía eléctrica,electric energy; electrical energy,Physics > Electro-magnetism
energía eléctrica,electric power; electrical energy,Technological Sciences > Electrical technology and engineering
flujo de potencia,power flow,Physics > Electro-magnetism
flujo de potencia,power flow; power flux,Technological Sciences > Electrical technology and engineering
fuente de corriente,source of current,Physics > Electro-magnetism
fuente de corriente,current source,Technological Sciences > Electrical technology and engineering
generador eléctrico,electric generator,Physics > Electro-magnetism
generador eléctrico,electrical generator,Technological Sciences > Electrical technology and engineering
intensidad de corriente,current intensity; intensity of current,Physics > Electro-magnetism
intensidad de corriente,amperage; current; current intensity; intensity,Technological Sciences > Electrical technology and engineering
interruptor,breaker,Physics > Electro-magnetism
interruptor,breaker; circuit breaker; interrupter; switch,Technological Sciences > Electrical technology and engineering
ley de Lenz,Lenz's law,Physics > Electro-magnetism
ley de Lenz,Lenz law,Technological Sciences > Electrical technology and engineering
magnetizar,magnetize,Physics > Electro-magnetism
magnetizar,magnetise,Technological Sciences > Electrical technology and engineering
masa,mass,Physics > Electro-magnetism
masa,earth; exposed conductive part; earthing; ground connection,Technological Sciences > Electrical technology and engineering
material conductor,conductor; conductor material,Physics > Electro-magnetism
material conductor,conducting material,Technological Sciences > Electrical technology and engineering
medida,measure,Physics > Electro-magnetism
medida,measurement; result of a measurement,Technological Sciences > Electrical technology and engineering
núcleo,nucleus,Physics > Electro-magnetism
núcleo,core,Technological Sciences > Electrical technology and engineering
número de espiras,number of coils,Physics > Electro-magnetism
número de espiras,turn number,Technological Sciences > Electrical technology and engineering
