Term,Translation,Context
aparato de medida,measuring device; meter,Physics > Electro-magnetism
aparato de medida,measuring device; measuring instrument; meter,Technological Sciences > Electronic technology
área,area,Physics > Electro-magnetism
área,surface area,Technological Sciences > Electronic technology
capa,layer; slab,Physics > Electro-magnetism
capa,layer,Technological Sciences > Electronic technology
capacidad,capacitance; capacity,Physics > Electro-magnetism
capacidad,capacitance,Technological Sciences > Electronic technology
carga,charge; electric charge; electrical charge,Physics > Electro-magnetism
carga,charge,Technological Sciences > Electronic technology
carga eléctrica,charge; electric charge; electrical charge,Physics > Electro-magnetism
carga eléctrica,electric charge; electrical charge,Technological Sciences > Electronic technology
conductividad eléctrica,electrical conductivity,Physics > Electro-magnetism
conductividad eléctrica,conductivity; electrical conductivity,Technological Sciences > Electronic technology
conexión en serie,association in series; series conection,Physics > Electro-magnetism
conexión en serie,series connection,Technological Sciences > Electronic technology
corte,cut-off,Physics > Electro-magnetism
corte,cut-off; cutoff,Technological Sciences > Electronic technology
cortocircuito,short circuit,Physics > Electro-magnetism
cortocircuito,s/c; short; short circuit,Technological Sciences > Electronic technology
diferencia de potencial,potential difference; tension; voltage,Physics > Electro-magnetism
diferencia de potencial,potential difference; voltage,Technological Sciences > Electronic technology
diodo emisor de luz,light diode; light-emitting diode,Physics > Electro-magnetism
diodo emisor de luz,LED diode; Light Emitting Diode,Technological Sciences > Electronic technology
elemento pasivo,pasive element,Physics > Electro-magnetism
elemento pasivo,passive component; passive element,Technological Sciences > Electronic technology
energía eléctrica,electric energy; electrical energy,Physics > Electro-magnetism
energía eléctrica,electric energy; electric power; electrical energy,Technological Sciences > Electronic technology
enlace,link; bond,Physics > Electro-magnetism
enlace,bond,Technological Sciences > Electronic technology
espectro,spectrum,Physics > Electro-magnetism
espectro,sprectrum,Technological Sciences > Electronic technology
flujo,flux,Physics > Electro-magnetism
flujo,flow; flux,Technological Sciences > Electronic technology
fuente de alimentación,power source,Physics > Electro-magnetism
fuente de alimentación,power source; power supply,Technological Sciences > Electronic technology
generador eléctrico,electric generator,Physics > Electro-magnetism
generador eléctrico,electric generator; electrical generator; generator,Technological Sciences > Electronic technology
intensidad de la corriente eléctrica,electric current intensity; electric intensity,Physics > Electro-magnetism
intensidad de la corriente eléctrica,current; current intensity; intensity,Technological Sciences > Electronic technology
interruptor,breaker,Physics > Electro-magnetism
interruptor,breaker; switch,Technological Sciences > Electronic technology
magnitud,physical quantity; quantity,Physics > Electro-magnetism
magnitud,magnitude,Technological Sciences > Electronic technology
material aislante,insulation material; insulator material,Physics > Electro-magnetism
material aislante,insulating material,Technological Sciences > Electronic technology
material conductor,conductor; conductor material,Physics > Electro-magnetism
material conductor,conductive material,Technological Sciences > Electronic technology
medida,measure,Physics > Electro-magnetism
medida,measurement,Technological Sciences > Electronic technology
módulo,modulus,Physics > Electro-magnetism
módulo,module,Technological Sciences > Electronic technology
pila,cell; electrochemical cell; electrochemicall cell; voltaic cell,Physics > Electro-magnetism
pila,electric cell; eletrochemical cell; voltaic cell,Technological Sciences > Electronic technology
portador,carrier; charge carrier,Physics > Electro-magnetism
portador,carrier; charge carrier; charged particle,Technological Sciences > Electronic technology
potencial,potential,Physics > Electro-magnetism
potencial,electric potential; potential,Technological Sciences > Electronic technology
régimen transitorio,transient regime,Physics > Electro-magnetism
régimen transitorio,transient response,Technological Sciences > Electronic technology
resistencia,ohmic resistance; resistance,Physics > Electro-magnetism
resistencia,resistor; resistance,Technological Sciences > Electronic technology
serie,mathematical series; series,Physics > Electro-magnetism
serie,series,Technological Sciences > Electronic technology
tensión,potential difference; tension; voltage,Physics > Electro-magnetism
tensión,potential difference; voltage,Technological Sciences > Electronic technology
trayectoria,path; trajectory,Physics > Electro-magnetism
trayectoria,path,Technological Sciences > Electronic technology
