Term,Translation,Context
acción,action,Physics > Electro-magnetism
acción,activity,Technological Sciences > Environmental technology and engineering
adaptación,matching,Physics > Electro-magnetism
adaptación,adaptation,Technological Sciences > Environmental technology and engineering
aislante,insulator,Physics > Electro-magnetism
aislante,insulator; isolating,Technological Sciences > Environmental technology and engineering
aparato de medida,measuring device; meter,Physics > Electro-magnetism
aparato de medida,measuring device; measuring instrument,Technological Sciences > Environmental technology and engineering
cambio de fase,change of phase; phase change,Physics > Electro-magnetism
cambio de fase,phase change,Technological Sciences > Environmental technology and engineering
capa,layer; slab,Physics > Electro-magnetism
capa,layer,Technological Sciences > Environmental technology and engineering
carga,charge; electric charge; electrical charge,Physics > Electro-magnetism
carga,charge; load,Technological Sciences > Environmental technology and engineering
carga eléctrica,charge; electric charge; electrical charge,Physics > Electro-magnetism
carga eléctrica,electric charge; electrical charge,Technological Sciences > Environmental technology and engineering
carga total,total charge,Physics > Electro-magnetism
carga total,total load,Technological Sciences > Environmental technology and engineering
caudal,flow,Physics > Electro-magnetism
caudal,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
condensador,capacitor,Physics > Electro-magnetism
condensador,condenser,Technological Sciences > Environmental technology and engineering
conductividad eléctrica,electrical conductivity,Physics > Electro-magnetism
conductividad eléctrica,electric conductivity; electrical conductivity,Technological Sciences > Environmental technology and engineering
corrimiento,shift,Physics > Electro-magnetism
corrimiento,landslide; landslip,Technological Sciences > Environmental technology and engineering
desplazamiento,shift; displacement,Physics > Electro-magnetism
desplazamiento,displacement,Technological Sciences > Environmental technology and engineering
diferencia de fase,phase angle; phase difference,Physics > Electro-magnetism
diferencia de fase,phase shift,Technological Sciences > Environmental technology and engineering
dispersión,dispersion; scattering,Physics > Electro-magnetism
dispersión,dispersion,Technological Sciences > Environmental technology and engineering
eficiencia,efficiency,Physics > Electro-magnetism
eficiencia,efficiency; throughput; yield,Technological Sciences > Environmental technology and engineering
eje de rotación,axis of rotation; rotation axis,Physics > Electro-magnetism
eje de rotación,rotation axis,Technological Sciences > Environmental technology and engineering
emisión,emission,Physics > Electro-magnetism
emisión,discharge; dump; dumping; emission; release,Technological Sciences > Environmental technology and engineering
emisor,emitter,Physics > Electro-magnetism
emisor,emitter; sender; source,Technological Sciences > Environmental technology and engineering
enlace,link; bond,Physics > Electro-magnetism
enlace,bond,Technological Sciences > Environmental technology and engineering
equilibrio,equilibrium; mechanical equilibrium,Physics > Electro-magnetism
equilibrio,equilibrium,Technological Sciences > Environmental technology and engineering
estación,station,Physics > Electro-magnetism
estación,season,Technological Sciences > Environmental technology and engineering
evidencia,evidence; proof,Physics > Electro-magnetism
evidencia,proof,Technological Sciences > Environmental technology and engineering
expansión,espansion,Physics > Electro-magnetism
expansión,expansion,Technological Sciences > Environmental technology and engineering
flujo,flux,Physics > Electro-magnetism
flujo,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
fuente,source,Physics > Electro-magnetism
fuente,emitter; sender; source; fontain; spring,Technological Sciences > Environmental technology and engineering
fuerza de atracción,attraction; attractive force,Physics > Electro-magnetism
fuerza de atracción,attractive force; force of attraction,Technological Sciences > Environmental technology and engineering
gravedad,gravity,Physics > Electro-magnetism
gravedad,gravitational force; gravitatory force; gravity,Technological Sciences > Environmental technology and engineering
interruptor,breaker,Physics > Electro-magnetism
interruptor,switch,Technological Sciences > Environmental technology and engineering
lámina,plate; sheet,Physics > Electro-magnetism
lámina,sheet,Technological Sciences > Environmental technology and engineering
ley de conservación,conservation law; law of conservation,Physics > Electro-magnetism
ley de conservación,conservation law,Technological Sciences > Environmental technology and engineering
magnitud,physical quantity; quantity,Physics > Electro-magnetism
magnitud,impact magnitude; magnitude,Technological Sciences > Environmental technology and engineering
materia,matter,Physics > Electro-magnetism
materia,material; matter,Technological Sciences > Environmental technology and engineering
medición,measurement,Physics > Electro-magnetism
medición,measure,Technological Sciences > Environmental technology and engineering
