Term,Translation,Context
aislamiento,insulation; isolation,Technological Sciences > Electrical technology and engineering
aislamiento,insulation,Technological Sciences > Electronic technology
alimentación,supply,Technological Sciences > Electrical technology and engineering
alimentación,alimentation; power; power source; power supply,Technological Sciences > Electronic technology
aparato de medida,measurement device; measuring instrument,Technological Sciences > Electrical technology and engineering
aparato de medida,measuring device; measuring instrument; meter,Technological Sciences > Electronic technology
capacidad,capacitance; electric capacity,Technological Sciences > Electrical technology and engineering
capacidad,capacitance,Technological Sciences > Electronic technology
carga,load,Technological Sciences > Electrical technology and engineering
carga,charge,Technological Sciences > Electronic technology
carga eléctrica,electric load; electrical load,Technological Sciences > Electrical technology and engineering
carga eléctrica,electric charge; electrical charge,Technological Sciences > Electronic technology
componente,component; element,Technological Sciences > Electrical technology and engineering
componente,component,Technological Sciences > Electronic technology
conexión en paralelo,parallel combination,Technological Sciences > Electrical technology and engineering
conexión en paralelo,parallel connection,Technological Sciences > Electronic technology
conmutación,change-over switching; changeover switching; commutation; switching,Technological Sciences > Electrical technology and engineering
conmutación,commutation,Technological Sciences > Electronic technology
conmutador,changeover switch; commutator; selector switch,Technological Sciences > Electrical technology and engineering
conmutador,switch,Technological Sciences > Electronic technology
corte,breaking,Technological Sciences > Electrical technology and engineering
corte,cut-off; cutoff,Technological Sciences > Electronic technology
cortocircuito,short-circuit,Technological Sciences > Electrical technology and engineering
cortocircuito,s/c; short; short circuit,Technological Sciences > Electronic technology
curva característica,characteristic,Technological Sciences > Electrical technology and engineering
curva característica,characteristic curve,Technological Sciences > Electronic technology
diferencia de potencial,potential difference; voltage; potential difference,Technological Sciences > Electrical technology and engineering
diferencia de potencial,potential difference; voltage,Technological Sciences > Electronic technology
elemento activo,live part,Technological Sciences > Electrical technology and engineering
elemento activo,active component; active element,Technological Sciences > Electronic technology
elemento pasivo,passive element,Technological Sciences > Electrical technology and engineering
elemento pasivo,passive component; passive element,Technological Sciences > Electronic technology
energía eléctrica,electric power; electrical energy,Technological Sciences > Electrical technology and engineering
energía eléctrica,electric energy; electric power; electrical energy,Technological Sciences > Electronic technology
flujo,flux,Technological Sciences > Electrical technology and engineering
flujo,flow; flux,Technological Sciences > Electronic technology
fuente de alimentación,power source,Technological Sciences > Electrical technology and engineering
fuente de alimentación,power source; power supply,Technological Sciences > Electronic technology
generador eléctrico,electrical generator,Technological Sciences > Electrical technology and engineering
generador eléctrico,electric generator; electrical generator; generator,Technological Sciences > Electronic technology
inductor,field system; inductor,Technological Sciences > Electrical technology and engineering
inductor,choke; coil,Technological Sciences > Electronic technology
interruptor,breaker; circuit breaker; interrupter; switch,Technological Sciences > Electrical technology and engineering
interruptor,breaker; switch,Technological Sciences > Electronic technology
inversor,inverter,Technological Sciences > Electrical technology and engineering
inversor,inverter; NOT gate,Technological Sciences > Electronic technology
material conductor,conducting material,Technological Sciences > Electrical technology and engineering
material conductor,conductive material,Technological Sciences > Electronic technology
medida,measurement; result of a measurement,Technological Sciences > Electrical technology and engineering
medida,measurement,Technological Sciences > Electronic technology
módulo,modulus,Technological Sciences > Electrical technology and engineering
módulo,module,Technological Sciences > Electronic technology
principio de conservación de la carga,law of the conservation of charge,Technological Sciences > Electrical technology and engineering
principio de conservación de la carga,charge conservation principle,Technological Sciences > Electronic technology
principio de conservación de la energía,principle of conservation of energy,Technological Sciences > Electrical technology and engineering
principio de conservación de la energía,law of conservation of energy,Technological Sciences > Electronic technology
proveedor,supplier; supply undertaking,Technological Sciences > Electrical technology and engineering
proveedor,provider,Technological Sciences > Electronic technology
receptor,receiver; receiving set,Technological Sciences > Electrical technology and engineering
receptor,receiver,Technological Sciences > Electronic technology
régimen permanente,stable regime; steady state,Technological Sciences > Electrical technology and engineering
régimen permanente,steady state,Technological Sciences > Electronic technology
régimen transitorio,transient state,Technological Sciences > Electrical technology and engineering
régimen transitorio,transient response,Technological Sciences > Electronic technology
regulador,regulator,Technological Sciences > Electrical technology and engineering
regulador,regulator; voltage regulator,Technological Sciences > Electronic technology
resistencia,resistance; resistor,Technological Sciences > Electrical technology and engineering
resistencia,resistor; resistance,Technological Sciences > Electronic technology
teorema de superposición,superposition theorem,Technological Sciences > Electrical technology and engineering
teorema de superposición,principle of superposition; superposition principle,Technological Sciences > Electronic technology
tierra,ground,Technological Sciences > Electrical technology and engineering
tierra,earth; ground,Technological Sciences > Electronic technology
transistor de efecto de campo,field effect transistor; unijunction transistor,Technological Sciences > Electrical technology and engineering
transistor de efecto de campo,FET; Field-Effect Transistor,Technological Sciences > Electronic technology
valor eficaz,effective value; rms value; root-mean-square value,Technological Sciences > Electrical technology and engineering
valor eficaz,effective value; RMS; root mean square,Technological Sciences > Electronic technology
valor máximo,maximum value; peak value,Technological Sciences > Electrical technology and engineering
valor máximo,maximum value,Technological Sciences > Electronic technology
valor nominal,nominal value; rated value,Technological Sciences > Electrical technology and engineering
valor nominal,nominal value,Technological Sciences > Electronic technology
