Term,Translation,Context
aislante,insulator,Technological Sciences > Electrical technology and engineering
aislante,insulator; isolating,Technological Sciences > Environmental technology and engineering
alimentación,supply,Technological Sciences > Electrical technology and engineering
alimentación,feed,Technological Sciences > Environmental technology and engineering
aparato de medida,measurement device; measuring instrument,Technological Sciences > Electrical technology and engineering
aparato de medida,measuring device; measuring instrument,Technological Sciences > Environmental technology and engineering
canal,channel,Technological Sciences > Electrical technology and engineering
canal,canal; channel,Technological Sciences > Environmental technology and engineering
carga,load,Technological Sciences > Electrical technology and engineering
carga,charge; load,Technological Sciences > Environmental technology and engineering
carga eléctrica,electric load; electrical load,Technological Sciences > Electrical technology and engineering
carga eléctrica,electric charge; electrical charge,Technological Sciences > Environmental technology and engineering
central eléctrica,electric power plant; electric power station; power station,Technological Sciences > Electrical technology and engineering
central eléctrica,electric plant,Technological Sciences > Environmental technology and engineering
componente,component; element,Technological Sciences > Electrical technology and engineering
componente,component,Technological Sciences > Environmental technology and engineering
condensador,capacitor,Technological Sciences > Electrical technology and engineering
condensador,condenser,Technological Sciences > Environmental technology and engineering
consumir,consume; use; absorb,Technological Sciences > Electrical technology and engineering
consumir,consume; use,Technological Sciences > Environmental technology and engineering
contador,electric meter; energy meter,Technological Sciences > Electrical technology and engineering
contador,counter,Technological Sciences > Environmental technology and engineering
cubierta,outer sheath; oversheath; sheath,Technological Sciences > Electrical technology and engineering
cubierta,roof,Technological Sciences > Environmental technology and engineering
desfase,phase difference; phase displacement; phase shift,Technological Sciences > Electrical technology and engineering
desfase,phase shift,Technological Sciences > Environmental technology and engineering
diferencia de fase,phase difference; phase displacement; phase shift,Technological Sciences > Electrical technology and engineering
diferencia de fase,phase shift,Technological Sciences > Environmental technology and engineering
eje,shaft,Technological Sciences > Electrical technology and engineering
eje,axis,Technological Sciences > Environmental technology and engineering
elemento,component; element,Technological Sciences > Electrical technology and engineering
elemento,element,Technological Sciences > Environmental technology and engineering
energía eléctrica,electric power; electrical energy,Technological Sciences > Electrical technology and engineering
energía eléctrica,electric energy; electrical energy,Technological Sciences > Environmental technology and engineering
ensayo,test,Technological Sciences > Electrical technology and engineering
ensayo,experiment; test; trial,Technological Sciences > Environmental technology and engineering
equivalencia,equivalence,Technological Sciences > Electrical technology and engineering
equivalencia,equivalencia,Technological Sciences > Environmental technology and engineering
estado estacionario,steady-state,Technological Sciences > Electrical technology and engineering
estado estacionario,stable condition; stationary phase; steady state,Technological Sciences > Environmental technology and engineering
flujo,flux,Technological Sciences > Electrical technology and engineering
flujo,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
fuente,source,Technological Sciences > Electrical technology and engineering
fuente,emitter; sender; source; fontain; spring,Technological Sciences > Environmental technology and engineering
galería,cable tunnel,Technological Sciences > Electrical technology and engineering
galería,gallery,Technological Sciences > Environmental technology and engineering
interruptor,breaker; circuit breaker; interrupter; switch,Technological Sciences > Electrical technology and engineering
interruptor,switch,Technological Sciences > Environmental technology and engineering
lecho fluido,fluid bed; fluidised bed,Technological Sciences > Electrical technology and engineering
lecho fluido,fluidized bed,Technological Sciences > Environmental technology and engineering
medida,measurement; result of a measurement,Technological Sciences > Electrical technology and engineering
medida,measure,Technological Sciences > Environmental technology and engineering
núcleo,core,Technological Sciences > Electrical technology and engineering
núcleo,nucleus,Technological Sciences > Environmental technology and engineering
panel solar,PV panel; solar panel,Technological Sciences > Electrical technology and engineering
panel solar,photovoltaic module; photovoltaic panel; solar module; solar panel,Technological Sciences > Environmental technology and engineering
principio de conservación de la energía,principle of conservation of energy,Technological Sciences > Electrical technology and engineering
principio de conservación de la energía,law of conservation of energy,Technological Sciences > Environmental technology and engineering
reactivo,reactive,Technological Sciences > Electrical technology and engineering
reactivo,reactant; reagent,Technological Sciences > Environmental technology and engineering
receptor,receiver; receiving set,Technological Sciences > Electrical technology and engineering
receptor,receiver; receptor,Technological Sciences > Environmental technology and engineering
red eléctrica,electric network; electrical network; electrical power network,Technological Sciences > Electrical technology and engineering
red eléctrica,electrical network,Technological Sciences > Environmental technology and engineering
refrigerante,coolant,Technological Sciences > Electrical technology and engineering
refrigerante,coolant; refrigerant,Technological Sciences > Environmental technology and engineering
relleno,backfill,Technological Sciences > Electrical technology and engineering
relleno,packing; filling,Technological Sciences > Environmental technology and engineering
rendimiento,efficiency; performance,Technological Sciences > Electrical technology and engineering
rendimiento,efficiency; throughput; yield,Technological Sciences > Environmental technology and engineering
resistencia,resistance; resistor,Technological Sciences > Electrical technology and engineering
resistencia,resistance,Technological Sciences > Environmental technology and engineering
resistencia eléctrica,ohmic resistance,Technological Sciences > Electrical technology and engineering
resistencia eléctrica,electrical resistance,Technological Sciences > Environmental technology and engineering
sección,section,Technological Sciences > Electrical technology and engineering
sección,section surface,Technological Sciences > Environmental technology and engineering
suspensión,hanging,Technological Sciences > Electrical technology and engineering
suspensión,suspension,Technological Sciences > Environmental technology and engineering
tensión,potential difference; voltage,Technological Sciences > Electrical technology and engineering
tensión,tension,Technological Sciences > Environmental technology and engineering
tierra,ground,Technological Sciences > Electrical technology and engineering
tierra,ground; soil,Technological Sciences > Environmental technology and engineering
torsión,torque,Technological Sciences > Electrical technology and engineering
torsión,torsion,Technological Sciences > Environmental technology and engineering
transportar,transmit,Technological Sciences > Electrical technology and engineering
transportar,transport,Technological Sciences > Environmental technology and engineering
tubo,conduit; duct; pipe,Technological Sciences > Electrical technology and engineering
tubo,pipe; tube,Technological Sciences > Environmental technology and engineering
umbral,threshold,Technological Sciences > Electrical technology and engineering
umbral,limit value; riegel; rock bar; threshold value,Technological Sciences > Environmental technology and engineering
velocidad,speed; velocity,Technological Sciences > Electrical technology and engineering
velocidad,rate; speed; velocity,Technological Sciences > Environmental technology and engineering
ventilador,fan,Technological Sciences > Electrical technology and engineering
ventilador,blower; ventilator,Technological Sciences > Environmental technology and engineering
vida útil,service life; useful life,Technological Sciences > Electrical technology and engineering
vida útil,useful life,Technological Sciences > Environmental technology and engineering
zanja,trench,Technological Sciences > Electrical technology and engineering
zanja,ditch,Technological Sciences > Environmental technology and engineering
