Term,Translation,Context
abatir,revolve,Technological Sciences > Industrial technology
abatir,fold down,Technological Sciences > Mechanical engineering and technology
achaflanar,bevel; splay,Technological Sciences > Industrial technology
achaflanar,chamfer,Technological Sciences > Mechanical engineering and technology
acotar,show dimension; show height,Technological Sciences > Industrial technology
acotar,dimension,Technological Sciences > Mechanical engineering and technology
ajuste,fitting,Technological Sciences > Industrial technology
ajuste,fit,Technological Sciences > Mechanical engineering and technology
ángulo de inclinación,inclination angle,Technological Sciences > Industrial technology
ángulo de inclinación,angle of inclination,Technological Sciences > Mechanical engineering and technology
biselar,bevel; splay,Technological Sciences > Industrial technology
biselar,chamfer,Technological Sciences > Mechanical engineering and technology
chapa,plate; sheet,Technological Sciences > Industrial technology
chapa,sheet metal,Technological Sciences > Mechanical engineering and technology
chaveta,cotter; key,Technological Sciences > Industrial technology
chaveta,taper key,Technological Sciences > Mechanical engineering and technology
chavetero,key seat; keyway,Technological Sciences > Industrial technology
chavetero,hub keyway; shaft keyseat,Technological Sciences > Mechanical engineering and technology
clavija,cotter pin; dowel,Technological Sciences > Industrial technology
clavija,pin,Technological Sciences > Mechanical engineering and technology
compás,drawing compass,Technological Sciences > Industrial technology
compás,compass,Technological Sciences > Mechanical engineering and technology
contorno aparente,limiting contour,Technological Sciences > Industrial technology
contorno aparente,apparent profile,Technological Sciences > Mechanical engineering and technology
corte parcial,broken-out section view,Technological Sciences > Industrial technology
corte parcial,clipping section,Technological Sciences > Mechanical engineering and technology
corte por planos paralelos,offset section view,Technological Sciences > Industrial technology
corte por planos paralelos,cutting by parallel planes,Technological Sciences > Mechanical engineering and technology
corte transversal,cross section,Technological Sciences > Industrial technology
corte transversal,crosswise cutting,Technological Sciences > Mechanical engineering and technology
cubo de rueda,hub,Technological Sciences > Industrial technology
cubo de rueda,wheel hub,Technological Sciences > Mechanical engineering and technology
eje,axis,Technological Sciences > Industrial technology
eje,axle; shaft,Technological Sciences > Mechanical engineering and technology
eje de revolución,axis of rotation; rotation axis,Technological Sciences > Industrial technology
eje de revolución,axis of revolution; axis of rotation,Technological Sciences > Mechanical engineering and technology
elemento geométrico,geometric element,Technological Sciences > Industrial technology
elemento geométrico,geometric feature,Technological Sciences > Mechanical engineering and technology
escala de ampliación,increase escale,Technological Sciences > Industrial technology
escala de ampliación,magnifying scale,Technological Sciences > Mechanical engineering and technology
escuadra,set square,Technological Sciences > Industrial technology
escuadra,square,Technological Sciences > Mechanical engineering and technology
intersección ficticia,fictitious intersection,Technological Sciences > Industrial technology
intersección ficticia,virtual intersection,Technological Sciences > Mechanical engineering and technology
lámina,drawing paper,Technological Sciences > Industrial technology
lámina,sheet,Technological Sciences > Mechanical engineering and technology
laminar,laminate,Technological Sciences > Industrial technology
laminar,laminate; roll,Technological Sciences > Mechanical engineering and technology
lengüeta,tongue,Technological Sciences > Industrial technology
lengüeta,tenon,Technological Sciences > Mechanical engineering and technology
montaje,assembly,Technological Sciences > Industrial technology
montaje,assembling; mounting,Technological Sciences > Mechanical engineering and technology
nervio,rib; stiffener,Technological Sciences > Industrial technology
nervio,rib,Technological Sciences > Mechanical engineering and technology
origen,coordinate origin; origin,Technological Sciences > Industrial technology
origen,origin,Technological Sciences > Mechanical engineering and technology
pasador,cotter pin; dowel,Technological Sciences > Industrial technology
pasador,pin,Technological Sciences > Mechanical engineering and technology
paso de rosca,size of thread,Technological Sciences > Industrial technology
paso de rosca,pitch of thread; thread pitch,Technological Sciences > Mechanical engineering and technology
perfil laminado,laminate profile,Technological Sciences > Industrial technology
perfil laminado,rolled profile,Technological Sciences > Mechanical engineering and technology
plano de corte,cutting plane,Technological Sciences > Industrial technology
plano de corte,section plane,Technological Sciences > Mechanical engineering and technology
plano proyectante,edgeview plane; inclined plane,Technological Sciences > Industrial technology
plano proyectante,plane as a line view; plane as an edge view,Technological Sciences > Mechanical engineering and technology
plantilla,gauge; pattern,Technological Sciences > Industrial technology
plantilla,pattern; template,Technological Sciences > Mechanical engineering and technology
rayado,cross-hatch line; section line,Technological Sciences > Industrial technology
rayado,hatching,Technological Sciences > Mechanical engineering and technology
refuerzo,rib; stiffener,Technological Sciences > Industrial technology
refuerzo,stiffener; strengthening,Technological Sciences > Mechanical engineering and technology
sistema de agujero único,only hole sistem,Technological Sciences > Industrial technology
sistema de agujero único,basic hole system,Technological Sciences > Mechanical engineering and technology
sistema de eje único,unique-axis sistem,Technological Sciences > Industrial technology
sistema de eje único,basic shaft system,Technological Sciences > Mechanical engineering and technology
tornillo de fijación,fasten screw; fixation screw,Technological Sciences > Industrial technology
tornillo de fijación,fixing bolt,Technological Sciences > Mechanical engineering and technology
trazado,line drawing,Technological Sciences > Industrial technology
trazado,drafting,Technological Sciences > Mechanical engineering and technology
