Term,Translation,Context
abiadura,rate; kinetic energy,Medical Sciences > Pharmaceutical Technology
abiadura,linear velocity; speed; velocity,Physics > Electro-magnetism
abiadura-konstante,rate constant,Medical Sciences > Pharmaceutical Technology
abiadura-konstante,velocity constant,Physics > Electro-magnetism
batezbesteko aritmetiko,arithmetic mean,Medical Sciences > Pharmaceutical Technology
batezbesteko aritmetiko,arithmetic average,Physics > Electro-magnetism
bolumen-unitate,unit of volume,Medical Sciences > Pharmaceutical Technology
bolumen-unitate,volume unit,Physics > Electro-magnetism
egokitzapen,packaging,Medical Sciences > Pharmaceutical Technology
egokitzapen,matching,Physics > Electro-magnetism
ekorketa,scanning,Medical Sciences > Pharmaceutical Technology
ekorketa,sweep,Physics > Electro-magnetism
ekuazio,ecuation,Medical Sciences > Pharmaceutical Technology
ekuazio,equation,Physics > Electro-magnetism
eragile,inducer,Medical Sciences > Pharmaceutical Technology
eragile,operator,Physics > Electro-magnetism
eramaile,vehicle,Medical Sciences > Pharmaceutical Technology
eramaile,carrier; charge carrier,Physics > Electro-magnetism
estaldura,coating; cover,Medical Sciences > Pharmaceutical Technology
estaldura,coverage,Physics > Electro-magnetism
indar,stress,Medical Sciences > Pharmaceutical Technology
indar,force,Physics > Electro-magnetism
ingurune,media,Medical Sciences > Pharmaceutical Technology
ingurune,medium,Physics > Electro-magnetism
izpi,beam,Medical Sciences > Pharmaceutical Technology
izpi,ray,Physics > Electro-magnetism
kondentsadore,condenser,Medical Sciences > Pharmaceutical Technology
kondentsadore,capacitor,Physics > Electro-magnetism
lotura,link,Medical Sciences > Pharmaceutical Technology
lotura,bond,Physics > Electro-magnetism
magnitude,magnitude,Medical Sciences > Pharmaceutical Technology
magnitude,physical quantity; quantity,Physics > Electro-magnetism
modulu,module,Medical Sciences > Pharmaceutical Technology
modulu,modulus,Physics > Electro-magnetism
nukleo,core,Medical Sciences > Pharmaceutical Technology
nukleo,nucleus,Physics > Electro-magnetism
saiakuntza,assay,Medical Sciences > Pharmaceutical Technology
saiakuntza,experiment,Physics > Electro-magnetism
talka,percussion,Medical Sciences > Pharmaceutical Technology
talka,collision,Physics > Electro-magnetism
xafla,blade,Medical Sciences > Pharmaceutical Technology
xafla,plate; sheet,Physics > Electro-magnetism
