Term,Translation,Context
adierazle biologiko,biological marker,Medical Sciences > Pharmaceutical Technology
adierazle biologiko,bioindicator; biological indicator,Technological Sciences > Environmental technology and engineering
araudi,regulations,Medical Sciences > Pharmaceutical Technology
araudi,legislation,Technological Sciences > Environmental technology and engineering
azido klorhidriko,chlorhydric acid,Medical Sciences > Pharmaceutical Technology
azido klorhidriko,hydrochloric acid,Technological Sciences > Environmental technology and engineering
balioztapen,validation,Medical Sciences > Pharmaceutical Technology
balioztapen,assessment; evaluation; valuation,Technological Sciences > Environmental technology and engineering
balorazio,assay,Medical Sciences > Pharmaceutical Technology
balorazio,titration; volumetric analysis; assessment; evaluation; valuation,Technological Sciences > Environmental technology and engineering
beira,glass,Medical Sciences > Pharmaceutical Technology
beira,crystal,Technological Sciences > Environmental technology and engineering
bolumen-unitate,unit of volume,Medical Sciences > Pharmaceutical Technology
bolumen-unitate,volume unit,Technological Sciences > Environmental technology and engineering
distira,shine,Medical Sciences > Pharmaceutical Technology
distira,brightness,Technological Sciences > Environmental technology and engineering
dosifikazio,dosage,Medical Sciences > Pharmaceutical Technology
dosifikazio,dosing,Technological Sciences > Environmental technology and engineering
ekoizle,manufacturer,Medical Sciences > Pharmaceutical Technology
ekoizle,producer,Technological Sciences > Environmental technology and engineering
ekoizpen,manufacturing,Medical Sciences > Pharmaceutical Technology
ekoizpen,output; production,Technological Sciences > Environmental technology and engineering
ekuazio,ecuation,Medical Sciences > Pharmaceutical Technology
ekuazio,equation,Technological Sciences > Environmental technology and engineering
elikagai,food,Medical Sciences > Pharmaceutical Technology
elikagai,nutrient,Technological Sciences > Environmental technology and engineering
eragile,inducer,Medical Sciences > Pharmaceutical Technology
eragile,actuator,Technological Sciences > Environmental technology and engineering
eragin,action; effect,Medical Sciences > Pharmaceutical Technology
eragin,impact,Technological Sciences > Environmental technology and engineering
estalki,coating; cover,Medical Sciences > Pharmaceutical Technology
estalki,roof,Technological Sciences > Environmental technology and engineering
ezaugarri organoleptiko,organoleptic characteristics,Medical Sciences > Pharmaceutical Technology
ezaugarri organoleptiko,organoleptic characteristic; organoleptic property,Technological Sciences > Environmental technology and engineering
fluxu,flux,Medical Sciences > Pharmaceutical Technology
fluxu,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
giro-tenperatura,room temperature,Medical Sciences > Pharmaceutical Technology
giro-tenperatura,ambient temperature,Technological Sciences > Environmental technology and engineering
hauskortasun,friability,Medical Sciences > Pharmaceutical Technology
hauskortasun,brittleness; fragility,Technological Sciences > Environmental technology and engineering
haustura,breaking,Medical Sciences > Pharmaceutical Technology
haustura,break; rupture,Technological Sciences > Environmental technology and engineering
hauts,powder,Medical Sciences > Pharmaceutical Technology
hauts,dust,Technological Sciences > Environmental technology and engineering
ingurune,media,Medical Sciences > Pharmaceutical Technology
ingurune,environment; medium,Technological Sciences > Environmental technology and engineering
izozte,freezing,Medical Sciences > Pharmaceutical Technology
izozte,frost,Technological Sciences > Environmental technology and engineering
izpi,beam,Medical Sciences > Pharmaceutical Technology
izpi,ray,Technological Sciences > Environmental technology and engineering
jalkin,precipitate,Medical Sciences > Pharmaceutical Technology
jalkin,sediment,Technological Sciences > Environmental technology and engineering
kloruro,klorure,Medical Sciences > Pharmaceutical Technology
kloruro,chloride,Technological Sciences > Environmental technology and engineering
koloratzaile,colouring,Medical Sciences > Pharmaceutical Technology
koloratzaile,colorant; colourant; dye,Technological Sciences > Environmental technology and engineering
lotura,link,Medical Sciences > Pharmaceutical Technology
lotura,bond,Technological Sciences > Environmental technology and engineering
lurrun,steam,Medical Sciences > Pharmaceutical Technology
lurrun,vapor; vapour,Technological Sciences > Environmental technology and engineering
material iragazle,filtration material,Medical Sciences > Pharmaceutical Technology
material iragazle,filter material,Technological Sciences > Environmental technology and engineering
nukleo,core,Medical Sciences > Pharmaceutical Technology
nukleo,nucleus,Technological Sciences > Environmental technology and engineering
osagai,ingredient,Medical Sciences > Pharmaceutical Technology
osagai,component,Technological Sciences > Environmental technology and engineering
saiakuntza,assay,Medical Sciences > Pharmaceutical Technology
saiakuntza,experiment; test; trial,Technological Sciences > Environmental technology and engineering
substratu,substract,Medical Sciences > Pharmaceutical Technology
substratu,substrate; substratum,Technological Sciences > Environmental technology and engineering
talka,percussion,Medical Sciences > Pharmaceutical Technology
talka,collision,Technological Sciences > Environmental technology and engineering
trinkotasun,consistency,Medical Sciences > Pharmaceutical Technology
trinkotasun,compaction,Technological Sciences > Environmental technology and engineering
tutu,tube,Medical Sciences > Pharmaceutical Technology
tutu,pipe,Technological Sciences > Environmental technology and engineering
urradura,scratch,Medical Sciences > Pharmaceutical Technology
urradura,abrasion,Technological Sciences > Environmental technology and engineering
xafla,blade,Medical Sciences > Pharmaceutical Technology
xafla,sheet,Technological Sciences > Environmental technology and engineering
zehaztapen,assessment,Medical Sciences > Pharmaceutical Technology
zehaztapen,determination,Technological Sciences > Environmental technology and engineering
zunda,probe,Medical Sciences > Pharmaceutical Technology
zunda,sound,Technological Sciences > Environmental technology and engineering
