Term,Translation,Context
abiadura angeluar,angular velocity,Physics > Aplied Physics
abiadura angeluar,angular speed,Technological Sciences > Electrical technology and engineering
abiadura lineal,linear velocity; velocity,Physics > Aplied Physics
abiadura lineal,linear speed,Technological Sciences > Electrical technology and engineering
ardatz,axis,Physics > Aplied Physics
ardatz,shaft,Technological Sciences > Electrical technology and engineering
batura bektorial,vector sum,Physics > Aplied Physics
batura bektorial,sum of phasors,Technological Sciences > Electrical technology and engineering
bihurdura,torsion,Physics > Aplied Physics
bihurdura,torque,Technological Sciences > Electrical technology and engineering
bira,revolution,Physics > Aplied Physics
bira,coil; turn,Technological Sciences > Electrical technology and engineering
bonbilla,bulb,Physics > Aplied Physics
bonbilla,lamp,Technological Sciences > Electrical technology and engineering
denbora-tarte,time interval,Physics > Aplied Physics
denbora-tarte,period of time; time period,Technological Sciences > Electrical technology and engineering
energia-iturri,power source,Physics > Aplied Physics
energia-iturri,energy source,Technological Sciences > Electrical technology and engineering
erresistentzia elektriko,electric resistence,Physics > Aplied Physics
erresistentzia elektriko,ohmic resistance,Technological Sciences > Electrical technology and engineering
frekuentzia,frecuency,Physics > Aplied Physics
frekuentzia,frequency,Technological Sciences > Electrical technology and engineering
isolatzaile,isolator,Physics > Aplied Physics
isolatzaile,insulator,Technological Sciences > Electrical technology and engineering
karga,charge,Physics > Aplied Physics
karga,load,Technological Sciences > Electrical technology and engineering
karga elektriko,electric charge,Physics > Aplied Physics
karga elektriko,electric load; electrical load; load,Technological Sciences > Electrical technology and engineering
konexio-kable,conection cable,Physics > Aplied Physics
konexio-kable,connecting cable,Technological Sciences > Electrical technology and engineering
maiztasun,frecuency,Physics > Aplied Physics
maiztasun,frequency,Technological Sciences > Electrical technology and engineering
masa,mass,Physics > Aplied Physics
masa,earth; exposed conductive part; earthing; ground connection,Technological Sciences > Electrical technology and engineering
paralelo-konexio,parallel connection,Physics > Aplied Physics
paralelo-konexio,parallel combination,Technological Sciences > Electrical technology and engineering
permitibitate,permittivity,Physics > Aplied Physics
permitibitate,permitivity,Technological Sciences > Electrical technology and engineering
posizio,position,Physics > Aplied Physics
posizio,bay,Technological Sciences > Electrical technology and engineering
saiakuntza,experiment,Physics > Aplied Physics
saiakuntza,test,Technological Sciences > Electrical technology and engineering
tentsio,tension,Physics > Aplied Physics
tentsio,potential difference; voltage,Technological Sciences > Electrical technology and engineering
tortsio,torsion,Physics > Aplied Physics
tortsio,torque,Technological Sciences > Electrical technology and engineering
xafla,plate,Physics > Aplied Physics
xafla,sheet,Technological Sciences > Electrical technology and engineering
