Term,Translation,Context
banda zabal,broad band,Physics > Electro-magnetism
banda zabal,wideband,Technological Sciences > Telecommunications technology
batezbesteko,average,Physics > Electro-magnetism
batezbesteko,mean; mean value,Technological Sciences > Telecommunications technology
denbora-tarte,period of time,Physics > Electro-magnetism
denbora-tarte,time interval,Technological Sciences > Telecommunications technology
desplazamendu,displacement,Physics > Electro-magnetism
desplazamendu,shifting,Technological Sciences > Telecommunications technology
distortsio,distorsion,Physics > Electro-magnetism
distortsio,distortion,Technological Sciences > Telecommunications technology
eremu,field,Physics > Electro-magnetism
eremu,domain,Technological Sciences > Telecommunications technology
eremu-intentsitate,field intensity,Physics > Electro-magnetism
eremu-intentsitate,field strength,Technological Sciences > Telecommunications technology
erregimen iragankor,transient regime,Physics > Electro-magnetism
erregimen iragankor,transient-state,Technological Sciences > Telecommunications technology
erregimen iraunkor,steady state,Physics > Electro-magnetism
erregimen iraunkor,steady-state,Technological Sciences > Telecommunications technology
espazio libre,free space,Physics > Electro-magnetism
espazio libre,free-space,Technological Sciences > Telecommunications technology
espazio libreko hedapen-galera,free space propagation loss,Physics > Electro-magnetism
espazio libreko hedapen-galera,free-space transmission loss,Technological Sciences > Telecommunications technology
etenaldi,interruption,Physics > Electro-magnetism
etenaldi,outage,Technological Sciences > Telecommunications technology
fase-aldaketa,change of phase; phase change,Physics > Electro-magnetism
fase-aldaketa,phase shift,Technological Sciences > Telecommunications technology
irrati-frekuentzia,radio frequency; RF,Physics > Electro-magnetism
irrati-frekuentzia,radio-frequency,Technological Sciences > Telecommunications technology
irrati-maiztasun,radio frequency; RF,Physics > Electro-magnetism
irrati-maiztasun,radio-frequency,Technological Sciences > Telecommunications technology
lotura,bond,Physics > Electro-magnetism
lotura,link,Technological Sciences > Telecommunications technology
maiztasun-tarte,frequency range,Physics > Electro-magnetism
maiztasun-tarte,frequency band,Technological Sciences > Telecommunications technology
oinarrizko harmoniko,first harmonic; fundamental frequency,Physics > Electro-magnetism
oinarrizko harmoniko,fundamental harmonic,Technological Sciences > Telecommunications technology
paralelo-konexio,parallel connection,Physics > Electro-magnetism
paralelo-konexio,parallel conexión,Technological Sciences > Telecommunications technology
permitibitate,absolute permittivity; permittivity,Physics > Electro-magnetism
permitibitate,permitivitty,Technological Sciences > Telecommunications technology
polarizazio-plano,polarization plane,Physics > Electro-magnetism
polarizazio-plano,plane of polarization,Technological Sciences > Telecommunications technology
potentzia-fluxu,power flow,Physics > Electro-magnetism
potentzia-fluxu,power flux,Technological Sciences > Telecommunications technology
serie-konexio,association in series; series conection,Physics > Electro-magnetism
serie-konexio,cascade conexion; series conexion,Technological Sciences > Telecommunications technology
transmisio,transmission,Physics > Electro-magnetism
transmisio,emission,Technological Sciences > Telecommunications technology
