Term,Translation,Context
adierazpen grafiko,graphic expression; graphics communication; technical drawing; technical graphic drawing,Technological Sciences > Industrial technology
adierazpen grafiko,graphic representation,Technological Sciences > Mechanical engineering and technology
ageriko inguru,limiting contour,Technological Sciences > Industrial technology
ageriko inguru,apparent profile,Technological Sciences > Mechanical engineering and technology
alakatu,bevel; splay,Technological Sciences > Industrial technology
alakatu,chamfer,Technological Sciences > Mechanical engineering and technology
ardatz,axis,Technological Sciences > Industrial technology
ardatz,axle; shaft,Technological Sciences > Mechanical engineering and technology
ebaketa-plano,cutting plane,Technological Sciences > Industrial technology
ebaketa-plano,section plane,Technological Sciences > Mechanical engineering and technology
ebakidura partzial,broken-out section view,Technological Sciences > Industrial technology
ebakidura partzial,clipping section,Technological Sciences > Mechanical engineering and technology
elementu geometriko,geometric element,Technological Sciences > Industrial technology
elementu geometriko,geometric feature,Technological Sciences > Mechanical engineering and technology
eraitsi,revolve,Technological Sciences > Industrial technology
eraitsi,fold down,Technological Sciences > Mechanical engineering and technology
fabrikazio-plano,construction drawing; construction plan; working drawing,Technological Sciences > Industrial technology
fabrikazio-plano,manufacturing drawing,Technological Sciences > Mechanical engineering and technology
finkapen-torloju,fasten screw; fixation screw,Technological Sciences > Industrial technology
finkapen-torloju,fixing bolt,Technological Sciences > Mechanical engineering and technology
handiagotze-eskala,increase escale,Technological Sciences > Industrial technology
handiagotze-eskala,magnifying scale,Technological Sciences > Mechanical engineering and technology
hari-neurri,size of thread,Technological Sciences > Industrial technology
hari-neurri,pitch of thread; thread pitch,Technological Sciences > Mechanical engineering and technology
itxurazko elkargune,fictitious intersection,Technological Sciences > Industrial technology
itxurazko elkargune,virtual intersection,Technological Sciences > Mechanical engineering and technology
itxurazko inguru,limiting contour,Technological Sciences > Industrial technology
itxurazko inguru,apparent profile,Technological Sciences > Mechanical engineering and technology
lerro eten,hidden line; stitch line,Technological Sciences > Industrial technology
lerro eten,dash line,Technological Sciences > Mechanical engineering and technology
marradura,cross-hatch line; section line,Technological Sciences > Industrial technology
marradura,hatching,Technological Sciences > Mechanical engineering and technology
marraketa,line drawing,Technological Sciences > Industrial technology
marraketa,drafting,Technological Sciences > Mechanical engineering and technology
marratu,draw lines; trace,Technological Sciences > Industrial technology
marratu,mark out,Technological Sciences > Mechanical engineering and technology
matadera,key seat; keyway,Technological Sciences > Industrial technology
matadera,hub keyway; shaft keyseat,Technological Sciences > Mechanical engineering and technology
mihi,tongue,Technological Sciences > Industrial technology
mihi,tenon,Technological Sciences > Mechanical engineering and technology
multzo-plano,assembly plane,Technological Sciences > Industrial technology
multzo-plano,general assembly drawing,Technological Sciences > Mechanical engineering and technology
muntaketa,assembly,Technological Sciences > Industrial technology
muntaketa,assembling; mounting,Technological Sciences > Mechanical engineering and technology
oinarri,base,Technological Sciences > Industrial technology
oinarri,support,Technological Sciences > Mechanical engineering and technology
ondoz ondoko ebakidurak,successive sections,Technological Sciences > Industrial technology
ondoz ondoko ebakidurak,successive section views,Technological Sciences > Mechanical engineering and technology
piezakatze-plano,assembly drawing,Technological Sciences > Industrial technology
piezakatze-plano,exploded view drawing,Technological Sciences > Mechanical engineering and technology
plano proiektatzaile,edgeview plane; inclined plane,Technological Sciences > Industrial technology
plano proiektatzaile,plane as a line view; plane as an edge view,Technological Sciences > Mechanical engineering and technology
profil ijeztu,laminate profile,Technological Sciences > Industrial technology
profil ijeztu,rolled profile,Technological Sciences > Mechanical engineering and technology
profil-bista,side view,Technological Sciences > Industrial technology
profil-bista,profile view,Technological Sciences > Mechanical engineering and technology
txabeta,cotter; key,Technological Sciences > Industrial technology
txabeta,taper key,Technological Sciences > Mechanical engineering and technology
xafla,plate; sheet,Technological Sciences > Industrial technology
xafla,sheet metal,Technological Sciences > Mechanical engineering and technology
zeharkako ebakidura,cross section,Technological Sciences > Industrial technology
zeharkako ebakidura,crosswise cutting,Technological Sciences > Mechanical engineering and technology
ziri,wedge,Technological Sciences > Industrial technology
ziri,pin,Technological Sciences > Mechanical engineering and technology
