Term,Translation,Context
aktibo ez-korronte,activo fijo; actvo no corriente,Economic Sciences > Economic accounting
aktibo ez-korronte,activo no corriente,Economic Sciences > Organization and management of enterprises
aurreratu,adelantar,Economic Sciences > Economic accounting
aurreratu,ahorrar,Economic Sciences > Organization and management of enterprises
balio-galera,minusvalía,Economic Sciences > Economic accounting
balio-galera,desvalorización,Economic Sciences > Organization and management of enterprises
burtsako balio,cotización bursátil,Economic Sciences > Economic accounting
burtsako balio,valor bursátil; valor en bolsa,Economic Sciences > Organization and management of enterprises
burtsako indize,índice bursátil,Economic Sciences > Economic accounting
burtsako indize,índice de bolsa,Economic Sciences > Organization and management of enterprises
erosketa-data,fecha de adquisición,Economic Sciences > Economic accounting
erosketa-data,fecha de compra,Economic Sciences > Organization and management of enterprises
errentagarritasun finantzario,rentabildiad financiera,Economic Sciences > Economic accounting
errentagarritasun finantzario,rentabilidad financiera,Economic Sciences > Organization and management of enterprises
eskudiru,dinero en efectivo,Economic Sciences > Economic accounting
eskudiru,efectivo; metálico,Economic Sciences > Organization and management of enterprises
funts propio,recurso propio,Economic Sciences > Economic accounting
funts propio,fondo propio,Economic Sciences > Organization and management of enterprises
gainbalio,plusvalía,Economic Sciences > Economic accounting
gainbalio,sobrevalor,Economic Sciences > Organization and management of enterprises
hobari,ventaja,Economic Sciences > Economic accounting
hobari,bonificación,Economic Sciences > Organization and management of enterprises
interes-tasa nominal,tanto de interés nominal; tasa de interés nominal; TIN,Economic Sciences > Economic accounting
interes-tasa nominal,tipo de interés nominal,Economic Sciences > Organization and management of enterprises
irabazi,ganar; ganancia,Economic Sciences > Economic accounting
irabazi,beneficio,Economic Sciences > Organization and management of enterprises
kontabilitate-balio garbi,valor contable neto,Economic Sciences > Economic accounting
kontabilitate-balio garbi,valor neto contable,Economic Sciences > Organization and management of enterprises
ondasun,bien,Economic Sciences > Economic accounting
ondasun,patrimonio,Economic Sciences > Organization and management of enterprises
salerosketa,compra-venta,Economic Sciences > Economic accounting
salerosketa,compraventa,Economic Sciences > Organization and management of enterprises
sozietateen gaineko zerga,impuesto sobre la renta de sociedades; impuesto sobre sociedades,Economic Sciences > Economic accounting
sozietateen gaineko zerga,impuesto de sociedades,Economic Sciences > Organization and management of enterprises
ustiapeneko sarrera,ingreso de explotación,Economic Sciences > Economic accounting
ustiapeneko sarrera,entrada de explotación,Economic Sciences > Organization and management of enterprises
zerga-tasa,tasa de gravamen; tasa de impuesto,Economic Sciences > Economic accounting
zerga-tasa,tipo impositivo,Economic Sciences > Organization and management of enterprises
zordundu,cargar,Economic Sciences > Economic accounting
zordundu,adeudar; debitar,Economic Sciences > Organization and management of enterprises
zorra kitatu,cancelar la deuda; liquidar,Economic Sciences > Economic accounting
zorra kitatu,cancelar una deuda; liquidar una deuda,Economic Sciences > Organization and management of enterprises
